date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,136.06,0,-1
2020-02-16,97.68,-1,NA
2020-02-17,121.97,-25,5
2020-02-18,101.35,0,-1
2020-02-19,113.72,0,-1
2020-02-20,116.92,-1,0
2020-02-21,137.82,-1,1
2020-02-22,129.22,-1,3
2020-02-23,97.24,1,NA
2020-02-24,121.81,3,0
2020-02-25,108.41,1,0
2020-02-26,111.27,-1,-1
2020-02-27,122.85,1,-2
2020-02-28,132.55,4,-2
2020-02-29,135.47,3,-2
2020-03-01,93.97,2,NA
2020-03-02,116.16,2,0
2020-03-03,115.69,-2,2
2020-03-04,115.03,0,-1
2020-03-05,117.92,0,-2
2020-03-06,152.7,2,-2
2020-03-07,138.83,6,-3
2020-03-08,96.3,-1,NA
2020-03-09,128.97,-16,0
2020-03-10,112.05,-16,1
2020-03-11,108.07,-18,1
2020-03-12,115.19,-19,3
2020-03-13,127.59,-15,3
2020-03-14,124.7,4,-2
2020-03-15,96.14,5,NA
2020-03-16,111.86,-20,5
2020-03-17,100.88,-21,5
2020-03-18,86.19,-26,11
2020-03-19,86.28,-26,10
2020-03-20,97.36,-26,13
2020-03-21,72.19,-12,NA
2020-03-22,54.99,-23,NA
2020-03-23,68.3,-28,14
2020-03-24,67.73,-32,13
2020-03-25,66.29,-34,14
2020-03-26,68.14,-34,15
2020-03-27,70.15,-34,18
2020-03-28,67.98,-20,NA
2020-03-29,56.21,-33,NA
2020-03-30,73.45,-34,14
2020-03-31,59.54,-38,15
2020-04-01,58.66,-40,17
2020-04-02,57.78,-41,17
2020-04-03,64.72,-39,19
2020-04-04,66.57,-24,NA
2020-04-05,46.61,-37,NA
2020-04-06,66.48,-38,16
2020-04-07,68.33,-43,16
2020-04-08,67.2,-42,17
2020-04-09,71.22,-44,18
2020-04-10,70.31,-50,22
2020-04-11,54.68,-36,NA
2020-04-12,41.78,-38,NA
2020-04-13,64.34,-40,18
2020-04-14,60.67,-39,18
2020-04-15,64.6,-39,17
2020-04-16,77.06,-40,16
2020-04-17,85.44,-40,20
2020-04-18,77.18,-24,NA
2020-04-19,58.95,-35,NA
2020-04-20,73.48,-37,15
2020-04-21,76.3,-41,16
2020-04-22,75.02,-40,16
2020-04-23,79.25,-39,17
2020-04-24,86.16,-37,18
2020-04-25,103.74,-27,NA
2020-04-26,65.41,-34,NA
2020-04-27,86.03,-36,16
2020-04-28,82.14,-39,7
2020-04-29,81.29,-39,15
2020-04-30,87.66,-39,15
2020-05-01,97.43,-38,17
2020-05-02,100.75,-24,NA
2020-05-03,76.3,-26,NA
2020-05-04,82.52,-33,14
2020-05-05,86.53,-36,13
2020-05-06,86.25,-35,14
2020-05-07,85.84,-36,15
2020-05-08,117.86,-34,15
2020-05-09,119.18,-21,NA
2020-05-10,81.48,-21,NA
2020-05-11,NA,-33,13
2020-05-12,NA,-34,12
2020-05-13,92.81,-33,13
2020-05-14,95.17,-35,13
2020-05-15,118.96,-33,14
2020-05-16,119.4,-15,NA
2020-05-17,86.25,-17,NA
2020-05-18,101.04,-28,12
2020-05-19,100.53,-33,12
2020-05-20,96.83,-32,10
2020-05-21,115,-33,11
2020-05-22,137.82,-33,13
2020-05-23,142.88,-15,NA
2020-05-24,112.84,-16,NA
2020-05-25,113.84,-58,19
2020-05-26,115.6,-35,11
2020-05-27,110.33,-34,12
2020-05-28,110.67,-36,13
2020-05-29,123.54,-32,15
2020-05-30,121.85,-12,NA
2020-05-31,79.72,-17,NA
2020-06-01,99.47,-32,12
2020-06-02,101.88,-35,12
2020-06-03,100.16,-35,13
