date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,142.31,-1,0
2020-02-16,106.65,-2,0
2020-02-17,115.46,-21,4
2020-02-18,105.24,1,1
2020-02-19,108.65,2,0
2020-02-20,111.98,1,0
2020-02-21,137.06,2,1
2020-02-22,141.17,3,-1
2020-02-23,112.84,1,-1
2020-02-24,113.38,2,0
2020-02-25,111.94,2,0
2020-02-26,115.09,3,-1
2020-02-27,117.75,1,0
2020-02-28,142.18,3,0
2020-02-29,141.46,3,-1
2020-03-01,112.15,2,-1
2020-03-02,111.15,2,0
2020-03-03,109.59,3,-1
2020-03-04,113.69,2,-1
2020-03-05,119.34,3,-1
2020-03-06,141.21,2,1
2020-03-07,142.57,5,-1
2020-03-08,116.17,3,-2
2020-03-09,123.42,2,-1
2020-03-10,115.75,2,0
2020-03-11,116.22,2,-1
2020-03-12,113.48,1,0
2020-03-13,123,0,1
2020-03-14,116.1,1,1
2020-03-15,97.99,0,1
2020-03-16,102.24,-12,4
2020-03-17,91.9,-20,8
2020-03-18,94.12,-22,9
2020-03-19,90.88,-25,11
2020-03-20,94.26,-30,13
2020-03-21,78.79,-21,10
2020-03-22,69.38,-25,8
2020-03-23,62.59,-41,17
2020-03-24,68.55,-40,15
2020-03-25,66.46,-40,17
2020-03-26,74.66,-40,16
2020-03-27,80.65,-39,17
2020-03-28,61.91,-28,14
2020-03-29,56.54,-28,10
2020-03-30,68.69,-39,15
2020-03-31,67.5,-42,17
2020-04-01,69.69,-41,16
2020-04-02,68.6,-42,17
2020-04-03,76.28,-42,20
2020-04-04,66.36,-33,13
2020-04-05,61.97,-31,10
2020-04-06,70.13,-42,16
2020-04-07,73.13,-43,16
2020-04-08,75.08,-42,16
2020-04-09,80.56,-44,18
2020-04-10,79.31,-55,24
2020-04-11,74.99,-35,12
2020-04-12,46.9,-41,10
2020-04-13,70.55,-46,19
2020-04-14,76.5,-42,16
2020-04-15,85.68,-40,15
2020-04-16,82.7,-41,17
2020-04-17,88.75,-41,20
2020-04-18,82.35,-29,12
2020-04-19,73.6,-25,8
2020-04-20,82.01,-39,15
2020-04-21,79.8,-40,16
2020-04-22,83.42,-39,15
2020-04-23,88.86,-39,17
2020-04-24,93.89,-40,20
2020-04-25,98.5,-26,9
2020-04-26,69.79,-29,10
2020-04-27,89.35,-35,15
2020-04-28,92.11,-38,8
2020-04-29,99.02,-35,14
2020-04-30,95,-39,17
2020-05-01,109.93,-37,16
2020-05-02,113.22,-21,7
2020-05-03,98.67,-21,5
2020-05-04,99.6,-33,12
2020-05-05,102.84,-34,11
2020-05-06,100.95,-34,13
2020-05-07,115.34,-34,12
2020-05-08,117.89,-36,17
2020-05-09,119.06,-21,9
2020-05-10,97,-18,5
2020-05-11,NA,-31,13
2020-05-12,NA,-32,11
2020-05-13,133.13,-30,10
2020-05-14,127.21,-32,10
2020-05-15,143.13,-32,13
2020-05-16,145.69,-16,5
2020-05-17,115.63,-18,5
2020-05-18,134.18,-29,10
2020-05-19,140.4,-30,10
2020-05-20,140.14,-30,10
2020-05-21,151.12,-31,10
2020-05-22,164.06,-33,14
2020-05-23,146.74,-16,6
2020-05-24,133.92,-22,2
2020-05-25,131.92,-68,16
2020-05-26,154.07,-30,9
2020-05-27,151.51,-28,9
2020-05-28,146.4,-29,12
2020-05-29,157.8,-28,13
2020-05-30,169.24,-3,3
2020-05-31,137.6,-7,2
2020-06-01,146.45,-25,7
2020-06-02,145.6,-27,7
2020-06-03,147.84,-26,9
2020-06-04,153.58,-27,9
2020-06-05,169.24,-27,10
2020-06-06,178.32,-3,2
2020-06-07,153.86,-9,0
2020-06-08,157.22,-24,6
2020-06-09,158.34,-26,6
2020-06-10,157.49,-26,7
2020-06-11,164.8,-27,7
2020-06-12,193.51,-27,7
2020-06-13,184.5,-4,1
2020-06-14,158.08,-5,0
2020-06-15,158.83,-25,6
2020-06-16,168.01,-26,5
2020-06-17,164.82,-24,6
2020-06-18,168.1,-26,7
2020-06-19,190.28,-28,7
2020-06-20,184.6,-3,0
2020-06-21,155.12,-6,-1
2020-06-22,175.17,-26,5
2020-06-23,176.71,-26,5
2020-06-24,178.45,-25,5
2020-06-25,191.52,-26,5
2020-06-26,227.24,-27,6
2020-06-27,197.83,-7,1
2020-06-28,184.2,-3,-1
2020-06-29,186.24,-25,5
2020-06-30,188.59,-26,5
2020-07-01,190.82,-26,4
2020-07-02,201.2,-30,4
2020-07-03,210.46,-53,11
2020-07-04,163.56,-28,1
2020-07-05,181.91,-15,-1
2020-07-06,175.77,-31,6
2020-07-07,185.44,-29,5
2020-07-08,190.79,-28,6
2020-07-09,208.07,-27,5
2020-07-10,203.5,-29,9
2020-07-11,218.5,-3,0
2020-07-12,187.54,-7,-1
2020-07-13,176.73,-26,4
2020-07-14,184.65,-25,4
2020-07-15,192.91,-25,4
2020-07-16,197.95,-27,5
2020-07-17,205.83,-27,6
2020-07-18,207.32,-6,-1
2020-07-19,175.58,-9,-1
2020-07-20,175.48,-26,5
2020-07-21,171.82,-27,5
2020-07-22,183.84,-25,6
2020-07-23,186.58,-26,6
2020-07-24,211.5,-26,6
2020-07-25,216.01,-5,-1
2020-07-26,182.77,-7,-1
2020-07-27,178.77,-26,5
2020-07-28,181.37,-25,5
2020-07-29,191.13,-26,4
2020-07-30,184.04,-28,5
2020-07-31,207.06,-28,6
2020-08-01,223.44,-9,-1
2020-08-02,168.98,-10,0
2020-08-03,178.38,-27,5
2020-08-04,152.34,-30,8
2020-08-05,186,-25,4
2020-08-06,188.66,-27,5
2020-08-07,205.69,-29,8
2020-08-08,222.89,-7,-1
2020-08-09,192.45,-7,-2
2020-08-10,180.95,-26,4
2020-08-11,181.53,-26,4
2020-08-12,184.45,-26,4
2020-08-13,180,-27,5
2020-08-14,213.68,-28,6
2020-08-15,211.42,-8,-1
2020-08-16,181.2,-7,-1
2020-08-17,169.27,-26,5
2020-08-18,177.05,-25,4
2020-08-19,183.05,-25,4
2020-08-20,191.48,-26,4
2020-08-21,220.73,-28,5
2020-08-22,214.11,-10,-1
2020-08-23,172.56,NA,-1
2020-08-24,162.01,-26,5
2020-08-25,158.83,-25,4
2020-08-26,166.48,-23,3
2020-08-27,180.17,-25,4
2020-08-28,187.08,-26,5
2020-08-29,175.63,-6,2
2020-08-30,168.61,NA,-1
2020-08-31,150.02,-24,4
2020-09-01,153.83,-25,4
2020-09-02,151.91,-25,5
2020-09-03,167.37,-25,4
2020-09-04,213.67,-28,3
2020-09-05,210.22,-14,-1
2020-09-06,190.2,NA,-3
2020-09-07,160.06,-66,13
2020-09-08,156.38,-26,3
2020-09-09,158.66,-24,3
2020-09-10,157.89,-26,4
2020-09-11,197.11,-25,3
2020-09-12,204.97,-10,-2
2020-09-13,156.37,-12,-1
2020-09-14,155.28,-22,3
2020-09-15,155.16,-21,3
2020-09-16,162.41,-22,3
2020-09-17,165.25,-23,2
2020-09-18,195.11,-24,3
2020-09-19,211.45,-9,-2
2020-09-20,163.58,-9,-2
2020-09-21,150.54,-23,3
2020-09-22,149.35,-22,3
2020-09-23,162.76,-21,3
2020-09-24,153.99,-21,4
2020-09-25,186.87,-21,4
2020-09-26,203.83,-8,0
2020-09-27,159.78,-9,0
2020-09-28,145.95,-21,4
2020-09-29,136.64,-21,5
2020-09-30,145.5,-21,3
2020-10-01,160.17,-20,3
2020-10-02,184.86,-21,3
2020-10-03,206.82,-9,-2
2020-10-04,151.56,-10,-1
2020-10-05,135.57,-23,4
2020-10-06,143.84,-21,3
2020-10-07,154.33,-21,3
2020-10-08,155.05,-20,4
2020-10-09,188.76,-22,4
2020-10-10,215.74,-8,-1
2020-10-11,155.24,-11,0
2020-10-12,142.62,-29,8
2020-10-13,141.03,-22,4
2020-10-14,149.63,-20,3
2020-10-15,162.15,-20,4
2020-10-16,179.26,-20,5
2020-10-17,212.58,-9,-1
2020-10-18,163.05,-9,0
2020-10-19,139.81,-20,5
2020-10-20,138.38,-20,4
2020-10-21,146.72,-19,4
2020-10-22,150.86,-20,4
2020-10-23,174.13,-21,5
2020-10-24,181.41,-10,1
2020-10-25,142.75,-11,1
2020-10-26,132.48,-21,6
2020-10-27,131.32,-21,4
2020-10-28,136.24,-20,5
2020-10-29,134.12,-22,7
2020-10-30,158.92,-22,6
2020-10-31,146.72,-8,1
2020-11-01,118.06,-11,2
2020-11-02,133.74,-21,6
2020-11-03,129.45,-22,4
