date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,126.98,-4,-1
2020-02-16,98.63,-3,-2
2020-02-17,96.94,-26,6
2020-02-18,113.23,-3,1
2020-02-19,95.3,0,0
2020-02-20,95.45,1,0
2020-02-21,122.74,8,-1
2020-02-22,126.55,2,-1
2020-02-23,88.27,7,-2
2020-02-24,90.87,3,-1
2020-02-25,93.35,0,1
2020-02-26,93.11,2,-1
2020-02-27,102.44,1,0
2020-02-28,127.45,8,-1
2020-02-29,133.26,3,-2
2020-03-01,90.17,6,-2
2020-03-02,89.17,4,-1
2020-03-03,94.84,2,0
2020-03-04,96.28,2,-1
2020-03-05,102.69,1,1
2020-03-06,125.02,6,0
2020-03-07,140.04,-4,-1
2020-03-08,102.41,-1,-1
2020-03-09,96.18,-2,1
2020-03-10,95.54,-2,1
2020-03-11,97.5,-3,1
2020-03-12,96.22,-3,2
2020-03-13,107.61,1,3
2020-03-14,98.64,-5,4
2020-03-15,72,-10,4
2020-03-16,76.34,-20,9
2020-03-17,72.65,-30,14
2020-03-18,63.9,-37,18
2020-03-19,58.86,-41,22
2020-03-20,67.94,-40,22
2020-03-21,54.67,-31,15
2020-03-22,43.5,-35,12
2020-03-23,56.96,-46,20
2020-03-24,57.08,-49,23
2020-03-25,54.81,-50,24
2020-03-26,60.51,-49,23
2020-03-27,67.35,-46,24
2020-03-28,38.19,-40,20
2020-03-29,35.53,-42,15
2020-03-30,54.44,-55,23
2020-03-31,57.3,-56,25
2020-04-01,58.36,-55,25
2020-04-02,54.02,-56,26
2020-04-03,56.62,-53,30
2020-04-04,57.67,-39,17
2020-04-05,49.09,-39,12
2020-04-06,59,-55,24
2020-04-07,62.94,-55,24
2020-04-08,61.47,-55,25
2020-04-09,58.15,-55,27
2020-04-10,73.95,-55,27
2020-04-11,70.65,-40,15
2020-04-12,30.78,-54,NA
2020-04-13,58.62,-54,25
2020-04-14,60.39,-53,27
2020-04-15,64.64,-54,26
2020-04-16,66.99,-52,26
2020-04-17,80.02,-49,26
2020-04-18,82.99,-36,14
2020-04-19,65.44,-36,11
2020-04-20,73.28,-53,23
2020-04-21,73.29,-53,24
2020-04-22,83.4,-53,22
2020-04-23,79.16,-53,24
2020-04-24,90.18,-50,24
2020-04-25,84.95,-33,12
2020-04-26,69.04,-37,9
2020-04-27,84.73,-52,21
2020-04-28,74.06,-54,19
2020-04-29,85.64,-52,23
2020-04-30,94.91,-52,21
2020-05-01,105.79,-48,22
2020-05-02,96.73,-33,10
2020-05-03,79.11,-32,7
2020-05-04,90.44,-50,20
2020-05-05,91.16,-51,22
2020-05-06,97.84,-51,21
2020-05-07,97.83,-50,22
2020-05-08,110.23,-47,21
2020-05-09,102.04,-30,12
2020-05-10,73.6,-32,8
2020-05-11,NA,-49,20
2020-05-12,NA,-49,21
2020-05-13,94.74,-50,22
2020-05-14,113.21,-49,20
2020-05-15,129.24,-47,19
2020-05-16,105.61,-28,11
2020-05-17,77.26,-30,11
2020-05-18,114.21,-47,18
2020-05-19,120.22,-48,19
2020-05-20,128,-48,18
2020-05-21,128.59,-48,19
2020-05-22,138.98,-46,17
2020-05-23,108.53,-24,9
2020-05-24,94.12,-28,5
2020-05-25,93.85,-82,23
2020-05-26,122.82,-47,20
2020-05-27,140.57,-45,18
2020-05-28,145.05,-45,18
2020-05-29,155.89,-42,18
2020-05-30,140.02,-12,8
2020-05-31,121.31,-14,4
2020-06-01,140.54,-43,15
2020-06-02,137.4,-44,18
2020-06-03,154.4,-43,16
2020-06-04,156.47,-42,16
2020-06-05,179.03,-38,14
2020-06-06,147.17,-8,5
2020-06-07,122.14,-11,2
2020-06-08,149.8,-42,14
2020-06-09,141.36,-43,18
2020-06-10,152.59,-43,15
2020-06-11,168.1,-43,14
2020-06-12,180.09,-40,12
2020-06-13,154.65,-6,3
2020-06-14,131.66,-11,0
2020-06-15,155.32,-43,13
2020-06-16,160.23,-43,14
2020-06-17,162.87,-43,14
2020-06-18,153.54,-43,15
2020-06-19,175.64,-40,11
2020-06-20,160.89,-4,2
2020-06-21,128.45,-7,-1
2020-06-22,151.88,-43,13
2020-06-23,165.78,-43,14
2020-06-24,166.9,-42,13
2020-06-25,172.09,-42,13
2020-06-26,182.59,-38,12
2020-06-27,172.14,-6,2
2020-06-28,132.51,-9,0
2020-06-29,143.31,-43,14
2020-06-30,163.34,-42,14
2020-07-01,165.2,-43,13
2020-07-02,165.16,-47,11
2020-07-03,149.73,-65,15
2020-07-04,116.74,-24,3
2020-07-05,117.27,-14,-2
2020-07-06,149.24,-47,13
2020-07-07,159.39,-45,14
2020-07-08,159.47,-43,14
2020-07-09,159.84,-43,14
2020-07-10,186.47,-40,12
2020-07-11,159.51,-11,4
2020-07-12,140,-11,-1
2020-07-13,154.38,-43,12
2020-07-14,150.87,-44,16
2020-07-15,166.91,-41,12
2020-07-16,174.66,-42,12
2020-07-17,185.12,-40,12
2020-07-18,173.54,-7,4
2020-07-19,148.65,-10,-1
2020-07-20,158.13,-42,11
2020-07-21,159.68,-43,14
2020-07-22,166.53,-41,13
2020-07-23,179.19,-41,12
2020-07-24,197.99,-38,12
2020-07-25,175.06,-5,4
2020-07-26,140.65,-9,1
2020-07-27,156.89,-42,11
2020-07-28,159.78,-41,13
2020-07-29,163.09,-42,13
2020-07-30,167.89,-41,12
2020-07-31,188.48,-38,10
2020-08-01,179.61,-7,2
2020-08-02,142.08,-8,-1
2020-08-03,160.87,-42,11
2020-08-04,164.38,-42,13
2020-08-05,161.37,-42,12
2020-08-06,165.17,-41,12
2020-08-07,190.53,-39,11
2020-08-08,178.87,-8,3
2020-08-09,147.96,-7,0
2020-08-10,151.44,-42,12
2020-08-11,160.25,-42,12
2020-08-12,150.94,-41,14
2020-08-13,170.44,-41,12
2020-08-14,179.89,-39,12
2020-08-15,182.6,-3,0
2020-08-16,146.34,-4,-2
2020-08-17,150.53,-43,11
2020-08-18,154.08,-42,12
2020-08-19,160.32,-42,12
2020-08-20,160.52,-42,12
2020-08-21,179.94,-40,10
2020-08-22,172.3,NA,1
2020-08-23,138.86,NA,-2
2020-08-24,146.26,-43,12
2020-08-25,150.74,-43,13
2020-08-26,150.09,-43,12
2020-08-27,157.08,-41,12
2020-08-28,165.56,-39,11
2020-08-29,167.34,NA,1
2020-08-30,137.91,NA,-1
2020-08-31,141.89,-43,11
2020-09-01,149.19,-43,12
2020-09-02,149.81,-42,11
2020-09-03,155.85,-43,11
2020-09-04,170.81,-41,9
2020-09-05,149.23,NA,0
2020-09-06,124.41,NA,-2
2020-09-07,110.38,-80,18
2020-09-08,135.09,-45,13
2020-09-09,132.18,-42,13
2020-09-10,145.15,-42,11
2020-09-11,165.38,-38,11
2020-09-12,171.31,-7,3
2020-09-13,133.15,-9,0
2020-09-14,130.8,-39,10
2020-09-15,135.42,-40,11
2020-09-16,139.85,-41,11
2020-09-17,139.88,-39,11
2020-09-18,167.61,-36,10
2020-09-19,177.75,-6,1
2020-09-20,134.13,-8,0
2020-09-21,128.88,-41,10
2020-09-22,130.36,-41,12
2020-09-23,134.32,-39,12
2020-09-24,134.13,-38,12
2020-09-25,163.47,-37,10
2020-09-26,171.73,-6,1
2020-09-27,131.34,-8,0
2020-09-28,117.68,-39,12
2020-09-29,117.99,-39,12
2020-09-30,116.43,-40,13
2020-10-01,121.47,-37,12
2020-10-02,143.35,-33,11
2020-10-03,153.82,-8,3
2020-10-04,127,-9,0
2020-10-05,115.45,-39,11
2020-10-06,122.13,-39,12
2020-10-07,124.46,-38,12
2020-10-08,125.25,-37,11
2020-10-09,161.5,-34,10
2020-10-10,165.8,-9,1
2020-10-11,123.71,-8,0
2020-10-12,112.55,-40,12
2020-10-13,115.78,-38,12
2020-10-14,120.93,-41,13
2020-10-15,129.78,-42,13
2020-10-16,143.32,-42,12
2020-10-17,143.7,-9,4
2020-10-18,104.67,-15,2
2020-10-19,105.96,-38,12
2020-10-20,98.2,-41,17
2020-10-21,108.03,-39,15
2020-10-22,103.48,-37,16
2020-10-23,129.21,-32,14
2020-10-24,139.47,-8,6
2020-10-25,91.47,-13,5
2020-10-26,104.85,-37,13
2020-10-27,105.79,-37,14
2020-10-28,105.49,-39,14
2020-10-29,110.21,-36,14
2020-10-30,134.51,-33,13
2020-10-31,125.25,-7,5
2020-11-01,89.05,-11,5
2020-11-02,102.56,-38,13
2020-11-03,107.35,-39,13
