date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,133.25,3,0
2020-02-16,111.65,0,0
2020-02-17,142.68,-13,3
2020-02-18,111.91,1,2
2020-02-19,117.24,2,0
2020-02-20,122.87,1,3
2020-02-21,153.13,1,0
2020-02-22,148.6,4,-1
2020-02-23,106.88,2,0
2020-02-24,112.64,1,3
2020-02-25,120.28,2,-1
2020-02-26,111.7,1,-1
2020-02-27,128.18,4,-1
2020-02-28,155.17,3,-1
2020-02-29,156.21,4,-3
2020-03-01,116.5,3,-1
2020-03-02,112.67,0,3
2020-03-03,115.83,3,-1
2020-03-04,118.34,0,1
2020-03-05,126.36,2,2
2020-03-06,170.63,1,0
2020-03-07,171.45,9,-2
2020-03-08,122.8,6,-1
2020-03-09,125.7,2,-1
2020-03-10,119.66,1,0
2020-03-11,137.67,1,0
2020-03-12,133.83,4,-1
2020-03-13,147.28,1,1
2020-03-14,147.41,5,0
2020-03-15,131.75,-5,3
2020-03-16,105.41,-12,4
2020-03-17,101.11,-17,7
2020-03-18,97.42,-23,9
2020-03-19,98.63,-25,11
2020-03-20,106.12,-29,15
2020-03-21,92.78,-17,8
2020-03-22,67.42,-28,NA
2020-03-23,70.78,-36,16
2020-03-24,84.16,-36,15
2020-03-25,89.61,-38,14
2020-03-26,94.85,-36,15
2020-03-27,93.58,-38,16
2020-03-28,91.92,-22,9
2020-03-29,68.94,-34,NA
2020-03-30,84.09,-36,14
2020-03-31,73.65,-38,17
2020-04-01,82.07,-38,14
2020-04-02,90.56,-37,16
2020-04-03,97.53,-39,17
2020-04-04,83.38,-25,10
2020-04-05,57.58,-37,NA
2020-04-06,79.24,-40,16
2020-04-07,81.98,-42,18
2020-04-08,79.45,-41,17
2020-04-09,86.91,-42,17
2020-04-10,96.51,-51,21
2020-04-11,87.46,-26,9
2020-04-12,43.87,-50,NA
2020-04-13,90.03,-41,14
2020-04-14,89.07,-38,15
2020-04-15,92.62,-40,14
2020-04-16,102.25,-37,16
2020-04-17,109.69,-41,18
2020-04-18,104.87,-25,8
2020-04-19,58.06,-41,NA
2020-04-20,98.55,-38,14
2020-04-21,101.31,-38,14
2020-04-22,98.53,-39,15
2020-04-23,91.25,-41,19
2020-04-24,124.61,-40,17
2020-04-25,117.09,-25,8
2020-04-26,87.62,-35,NA
2020-04-27,107.42,-36,14
2020-04-28,114.69,-36,8
2020-04-29,101.86,-38,16
2020-04-30,122,-35,14
2020-05-01,140.83,-36,13
2020-05-02,136.59,-20,5
2020-05-03,117.34,-29,NA
2020-05-04,121.66,-32,11
2020-05-05,120.57,-32,12
2020-05-06,127.58,-33,11
2020-05-07,129.49,-32,12
2020-05-08,136.84,-36,17
2020-05-09,143.9,-20,5
2020-05-10,103.52,-24,3
2020-05-11,NA,-29,10
2020-05-12,NA,-28,10
2020-05-13,139.09,-29,9
2020-05-14,140.63,-28,9
2020-05-15,159.05,-31,12
2020-05-16,168.25,-16,3
2020-05-17,124.73,-20,5
2020-05-18,132.84,-27,10
2020-05-19,142.22,-27,9
2020-05-20,143.96,-27,8
2020-05-21,163.89,-28,9
2020-05-22,188.2,-32,11
2020-05-23,176.26,-16,3
2020-05-24,143.15,-23,2
2020-05-25,151.49,-71,18
2020-05-26,143.94,-28,10
2020-05-27,145.05,-28,11
2020-05-28,152.95,-26,9
2020-05-29,181.2,-26,10
2020-05-30,180.27,-7,2
2020-05-31,143.79,-14,3
2020-06-01,144.82,-27,8
2020-06-02,145.67,-26,8
2020-06-03,149.62,-26,8
2020-06-04,156.53,-25,9
2020-06-05,187.11,-27,10
2020-06-06,193.45,-9,2
2020-06-07,154.5,-15,3
2020-06-08,144.68,-26,9
2020-06-09,138.98,-25,10
2020-06-10,158.26,-25,8
2020-06-11,171.34,-25,7
2020-06-12,196.62,-27,8
2020-06-13,217.82,-6,0
2020-06-14,165.85,-12,2
2020-06-15,167.34,-26,7
2020-06-16,150.16,-25,7
2020-06-17,160.29,-27,7
2020-06-18,174.22,-26,7
2020-06-19,207.32,-28,7
2020-06-20,217.36,-7,0
2020-06-21,156.47,-15,2
2020-06-22,163.12,-30,8
2020-06-23,158.75,-27,9
2020-06-24,160.25,-28,8
2020-06-25,168.99,-27,9
2020-06-26,206.53,-28,9
2020-06-27,207.46,-4,1
2020-06-28,166.25,-8,2
2020-06-29,164.25,-28,8
2020-06-30,161.21,-28,7
2020-07-01,167.75,-32,9
2020-07-02,189.29,-34,8
2020-07-03,211.8,-59,15
2020-07-04,175.53,-28,3
2020-07-05,167.56,-22,3
2020-07-06,171.2,-32,9
2020-07-07,160.31,-31,8
2020-07-08,166.51,-29,8
2020-07-09,173.07,-28,8
2020-07-10,205.58,-31,9
2020-07-11,228.46,-7,1
2020-07-12,154.87,-17,5
2020-07-13,161.27,-30,8
2020-07-14,166.84,-30,8
2020-07-15,165.11,-29,7
2020-07-16,173.68,-29,9
2020-07-17,202.02,-31,10
2020-07-18,223.74,-9,3
2020-07-19,165.49,-19,3
2020-07-20,158.85,-31,9
2020-07-21,153.17,-30,9
2020-07-22,159.65,-30,8
2020-07-23,173.84,-28,9
2020-07-24,206.12,-30,10
2020-07-25,211.99,-9,3
2020-07-26,164.25,-18,3
2020-07-27,153.98,-31,8
2020-07-28,155.37,-30,8
2020-07-29,159.8,-31,9
2020-07-30,167.57,-30,9
2020-07-31,194.22,-32,9
2020-08-01,251.61,-12,2
2020-08-02,161.65,-18,2
2020-08-03,156.09,-31,7
2020-08-04,165.73,-29,7
2020-08-05,165.04,-30,7
2020-08-06,168.39,-30,8
2020-08-07,190.06,-29,8
2020-08-08,199.26,-10,1
2020-08-09,157.17,-18,2
2020-08-10,158.11,-32,7
2020-08-11,158.58,-30,7
2020-08-12,155.85,-30,6
2020-08-13,169.48,-29,7
2020-08-14,196.74,-31,9
2020-08-15,217.21,-10,1
2020-08-16,157.6,-18,3
2020-08-17,151.38,-29,6
2020-08-18,150.49,-27,6
2020-08-19,154.99,-28,6
2020-08-20,157.54,-27,7
2020-08-21,186.99,-29,8
2020-08-22,186.4,NA,2
2020-08-23,156.91,NA,3
2020-08-24,152.04,-28,6
2020-08-25,134.86,-29,8
2020-08-26,151.34,-27,6
2020-08-27,156.14,-27,6
2020-08-28,173.13,-27,8
2020-08-29,175.78,NA,2
2020-08-30,131.61,NA,4
2020-08-31,145.87,-28,5
2020-09-01,147.6,-28,5
2020-09-02,166.64,-29,4
2020-09-03,167.08,-28,4
2020-09-04,221.9,-30,4
2020-09-05,210.58,NA,0
2020-09-06,162.69,NA,0
2020-09-07,160.5,-74,16
2020-09-08,157.81,-30,4
2020-09-09,146.46,-28,3
2020-09-10,169.31,-28,2
2020-09-11,193.45,-28,2
2020-09-12,203.56,-14,-1
2020-09-13,148.05,-21,0
2020-09-14,146.97,-25,2
2020-09-15,151.27,-25,3
2020-09-16,139.44,-27,5
2020-09-17,159.58,-26,4
2020-09-18,196.52,-26,4
2020-09-19,187.19,-14,0
2020-09-20,146.8,-16,0
2020-09-21,141.06,-26,3
