date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,146.5,-1,-1
2020-02-16,123.78,8,-2
2020-02-17,142.67,-24,5
2020-02-18,115.5,-13,4
2020-02-19,127.43,-13,2
2020-02-20,127.27,-13,2
2020-02-21,146.01,-16,4
2020-02-22,151.88,4,-2
2020-02-23,120.87,11,-2
2020-02-24,111.14,6,0
2020-02-25,114.91,3,0
2020-02-26,117.99,4,0
2020-02-27,98.95,-14,8
2020-02-28,135.17,0,3
2020-02-29,154.09,8,-2
2020-03-01,109.3,11,-2
2020-03-02,113.55,8,-1
2020-03-03,114.38,4,0
2020-03-04,119.79,5,0
2020-03-05,129.21,6,-1
2020-03-06,145.52,4,0
2020-03-07,138.41,6,-3
2020-03-08,110.78,6,-2
2020-03-09,107.39,4,0
2020-03-10,115.5,-1,1
2020-03-11,113.8,0,0
2020-03-12,114.24,0,-1
2020-03-13,133.85,-2,2
2020-03-14,109.42,1,-1
2020-03-15,79.98,1,1
2020-03-16,96.72,-14,4
2020-03-17,85.33,-23,8
2020-03-18,84.1,-28,9
2020-03-19,90.09,-27,9
2020-03-20,98.68,-31,14
2020-03-21,90.4,-18,8
2020-03-22,59.1,-20,7
2020-03-23,55.39,-39,16
2020-03-24,62.64,-43,16
2020-03-25,62.05,-44,16
2020-03-26,58.71,-43,15
2020-03-27,68.6,-43,18
2020-03-28,59.91,-29,11
2020-03-29,43.54,-30,NA
2020-03-30,65.72,-44,16
2020-03-31,64.28,-48,17
2020-04-01,64.02,-46,17
2020-04-02,63.84,-47,17
2020-04-03,71.01,-47,21
2020-04-04,70.77,-31,10
2020-04-05,47.95,-32,NA
2020-04-06,68.15,-44,15
2020-04-07,70.4,-47,15
2020-04-08,64.22,-48,18
2020-04-09,64.28,-50,19
2020-04-10,67,-55,24
2020-04-11,63.37,-34,11
2020-04-12,42,-37,NA
2020-04-13,59.04,-49,19
2020-04-14,64.75,-48,17
2020-04-15,77.69,-48,17
2020-04-16,75.71,-48,17
2020-04-17,81.64,-48,21
2020-04-18,74.13,-29,9
2020-04-19,55.37,-30,NA
2020-04-20,81.65,-45,15
2020-04-21,68.11,-48,18
2020-04-22,73.12,-46,18
2020-04-23,86.1,-46,15
2020-04-24,91.55,-47,19
2020-04-25,95.54,-26,7
2020-04-26,66.88,-30,NA
2020-04-27,81.56,-43,15
2020-04-28,91.51,-46,9
2020-04-29,85.76,-45,15
2020-04-30,93.58,-45,15
2020-05-01,108.73,-44,17
2020-05-02,106.99,-26,5
2020-05-03,89.22,-22,3
2020-05-04,88.03,-41,14
2020-05-05,100.45,-42,13
2020-05-06,106.32,-41,14
2020-05-07,104.19,-42,13
2020-05-08,109.89,-44,18
2020-05-09,98.2,-26,8
2020-05-10,78.83,-25,5
2020-05-11,NA,-39,14
2020-05-12,NA,-41,13
2020-05-13,113.39,-40,13
2020-05-14,118.48,-40,11
2020-05-15,122.77,-41,17
2020-05-16,126.72,-22,4
2020-05-17,100.32,-19,3
2020-05-18,122.81,-35,10
2020-05-19,131.77,-37,10
2020-05-20,135.88,-38,10
2020-05-21,142.71,-37,8
2020-05-22,172.41,-39,10
2020-05-23,140.78,-16,1
2020-05-24,128.32,-18,-1
2020-05-25,122.43,-67,14
2020-05-26,147.08,-35,9
2020-05-27,146.72,-35,10
2020-05-28,142.26,-35,10
2020-05-29,153.89,-34,13
2020-05-30,139.95,-11,4
2020-05-31,113.98,-14,3
2020-06-01,122.22,-28,8
2020-06-02,121.17,-31,9
2020-06-03,144.94,-32,10
2020-06-04,143.8,-30,7
2020-06-05,165.03,-32,9
2020-06-06,149.51,-9,2
2020-06-07,138.37,-12,0
2020-06-08,143.68,-28,6
2020-06-09,152.94,-30,7
2020-06-10,154.8,-32,9
2020-06-11,158.95,-31,7
2020-06-12,179.82,-32,9
2020-06-13,154.21,-11,2
2020-06-14,144.27,-9,0
2020-06-15,156.89,-27,6
2020-06-16,156.46,-29,6
2020-06-17,161.53,-30,6
2020-06-18,160.55,-32,5
2020-06-19,182.66,-35,7
2020-06-20,187.14,-8,-2
2020-06-21,136.02,-4,-2
2020-06-22,164.51,-30,5
2020-06-23,172.85,-31,6
2020-06-24,177.96,-30,7
2020-06-25,174.03,-29,5
2020-06-26,199.78,-32,6
2020-06-27,184.06,-11,1
2020-06-28,147.37,-7,-1
2020-06-29,168.05,-29,6
2020-06-30,183.53,-31,6
2020-07-01,187.88,-31,4
2020-07-02,187.2,-33,3
2020-07-03,203.12,-51,8
2020-07-04,174.17,-20,-4
2020-07-05,177.88,-11,-4
2020-07-06,188.13,-34,5
2020-07-07,187.52,-34,5
2020-07-08,196.78,-33,6
2020-07-09,199.88,-32,5
2020-07-10,211.28,-35,7
2020-07-11,183.97,-11,2
2020-07-12,150.14,-11,0
2020-07-13,179.86,-31,6
2020-07-14,174.15,-31,5
2020-07-15,182.56,-31,5
2020-07-16,180.79,-30,6
2020-07-17,200.73,-33,7
2020-07-18,208.06,-10,-2
2020-07-19,159.58,-11,-1
2020-07-20,179.48,-30,5
2020-07-21,179.09,-31,5
2020-07-22,179.25,-31,6
2020-07-23,188.15,-31,5
2020-07-24,222.45,-34,5
2020-07-25,201.28,-10,-3
2020-07-26,174.41,-13,-2
2020-07-27,171.52,-31,6
2020-07-28,179.25,-30,5
2020-07-29,204.19,-31,6
2020-07-30,215.44,-32,4
2020-07-31,227.59,-33,5
2020-08-01,244.73,-12,-3
2020-08-02,163.72,-15,1
2020-08-03,192,-30,5
2020-08-04,167.54,-33,8
2020-08-05,188.11,-31,5
2020-08-06,201.17,-30,3
2020-08-07,222.43,-33,5
