date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,137.43,-4,NA
2020-02-16,154.66,-9,NA
2020-02-17,116.86,-2,2
2020-02-18,115.87,4,0
2020-02-19,118.82,-1,-1
2020-02-20,127.43,0,3
2020-02-21,175.86,1,2
2020-02-22,142.5,-1,NA
2020-02-23,127.88,6,NA
2020-02-24,128.47,-15,4
2020-02-25,107.83,-43,8
2020-02-26,143.49,-7,-1
2020-02-27,128.91,-1,-1
2020-02-28,168.44,-3,-1
2020-02-29,166.94,8,NA
2020-03-01,121.26,-2,NA
2020-03-02,122.11,3,-2
2020-03-03,128.87,4,-2
2020-03-04,127.87,-2,-1
2020-03-05,146.51,3,-2
2020-03-06,191.84,0,-1
2020-03-07,176.18,9,NA
2020-03-08,148.79,3,NA
2020-03-09,128.72,2,-1
2020-03-10,133.35,4,-1
2020-03-11,134.23,1,-3
2020-03-12,153.31,2,-2
2020-03-13,172.82,-1,0
2020-03-14,163.92,-1,NA
2020-03-15,184.47,-2,NA
2020-03-16,122.46,-7,2
2020-03-17,102.95,-11,8
2020-03-18,105.81,-17,6
2020-03-19,97.28,-18,8
2020-03-20,121.28,-22,12
2020-03-21,86.32,-18,NA
2020-03-22,66.02,-21,NA
2020-03-23,78.74,-23,11
2020-03-24,73.85,-33,14
2020-03-25,76,-35,13
2020-03-26,76.96,-34,15
2020-03-27,85.67,-39,19
2020-03-28,74.75,-32,NA
2020-03-29,57.8,-29,NA
2020-03-30,68.33,-34,14
2020-03-31,72.03,-34,15
2020-04-01,71.34,-39,14
2020-04-02,70.12,-38,16
2020-04-03,78.67,-40,NA
2020-04-04,65.65,-32,NA
2020-04-05,61.55,-31,NA
2020-04-06,70.68,-36,16
2020-04-07,73.55,-36,16
2020-04-08,79.89,-40,14
2020-04-09,83.18,-38,15
2020-04-10,77.86,-60,NA
2020-04-11,66.53,-36,NA
2020-04-12,46.47,-41,NA
2020-04-13,75.76,-34,15
2020-04-14,82.12,-33,14
2020-04-15,84.57,-34,12
2020-04-16,92.05,-35,14
2020-04-17,95.3,-37,17
2020-04-18,79.45,-24,NA
2020-04-19,62.84,-29,NA
2020-04-20,88.97,-31,12
2020-04-21,89.63,-31,11
2020-04-22,90.71,-36,11
2020-04-23,86.48,-33,14
2020-04-24,105.27,-34,15
2020-04-25,99.82,-25,NA
2020-04-26,79.61,-27,NA
2020-04-27,94.66,-27,12
2020-04-28,88.37,-30,8
2020-04-29,91.87,-34,13
2020-04-30,102.92,-30,11
2020-05-01,123.84,-30,12
2020-05-02,113.73,-17,NA
2020-05-03,92.17,-21,NA
2020-05-04,102.49,-25,10
2020-05-05,111.8,-27,9
2020-05-06,114.61,-28,8
2020-05-07,116.61,-27,9
2020-05-08,117.34,-30,16
2020-05-09,120.02,-16,NA
2020-05-10,99.19,-12,NA
2020-05-11,NA,-25,9
2020-05-12,NA,-24,9
2020-05-13,117.83,-26,8
2020-05-14,122.44,-27,10
2020-05-15,147.45,-26,12
2020-05-16,132.97,-14,NA
2020-05-17,113.8,-10,NA
2020-05-18,127.85,-16,6
2020-05-19,133.75,-17,7
2020-05-20,132.62,-20,7
2020-05-21,150.5,-20,6
2020-05-22,175.14,-21,8
2020-05-23,154.25,-9,NA
2020-05-24,128.98,-10,NA
2020-05-25,128.77,-57,NA
2020-05-26,134.19,-19,8
2020-05-27,156.32,-21,7
2020-05-28,150.95,-20,8
2020-05-29,185.83,-23,9
2020-05-30,185.63,-7,NA
2020-05-31,137.55,-8,NA
2020-06-01,137.16,-18,6
2020-06-02,147.46,-16,5
2020-06-03,140.38,-20,5
2020-06-04,150.27,-20,6
2020-06-05,180.6,-26,7
2020-06-06,192.07,-10,NA
2020-06-07,96.87,-16,NA
2020-06-08,137.25,-26,10
2020-06-09,146.97,-18,6
2020-06-10,182.1,-21,5
2020-06-11,170.4,-22,6
2020-06-12,211.17,-24,7
2020-06-13,198.16,-7,NA
2020-06-14,170.45,-11,NA
2020-06-15,152.09,-21,5
2020-06-16,157.71,-21,5
2020-06-17,159.66,-24,3
2020-06-18,178.69,-25,5
2020-06-19,203.38,-27,6
2020-06-20,197.76,-13,NA
2020-06-21,160.47,-18,NA
2020-06-22,156.12,-25,7
