date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,114.55,-4,NA
2020-02-16,92.14,-1,NA
2020-02-17,104.98,-18,5
2020-02-18,105.53,-1,1
2020-02-19,102.26,1,1
2020-02-20,109.11,2,0
2020-02-21,121.01,-3,-1
2020-02-22,135.53,3,NA
2020-02-23,103.04,5,NA
2020-02-24,98.17,1,0
2020-02-25,104.51,0,1
2020-02-26,111.71,3,0
2020-02-27,114.86,4,-1
2020-02-28,135.29,1,-1
2020-02-29,123.04,4,NA
2020-03-01,99.07,5,NA
2020-03-02,122.18,4,-1
2020-03-03,109.96,3,0
2020-03-04,113.07,2,0
2020-03-05,124.51,3,-2
2020-03-06,154.75,-8,0
2020-03-07,129.77,-6,NA
2020-03-08,104.75,1,NA
2020-03-09,115.02,5,-1
2020-03-10,118.68,3,1
2020-03-11,114.79,4,0
2020-03-12,121.25,1,0
2020-03-13,134.82,1,1
2020-03-14,96.73,-3,NA
2020-03-15,94.9,-2,NA
2020-03-16,103.35,-7,5
2020-03-17,100.35,-11,7
2020-03-18,98.6,-15,8
2020-03-19,94.44,-14,10
2020-03-20,108.83,-23,14
2020-03-21,85.29,-18,NA
2020-03-22,80.78,-15,NA
2020-03-23,81.21,-21,10
2020-03-24,83.5,-22,13
2020-03-25,80.35,-24,15
2020-03-26,82.26,-23,14
2020-03-27,94.2,-28,NA
2020-03-28,83.97,-20,NA
2020-03-29,66.69,-10,NA
2020-03-30,87.82,-26,12
2020-03-31,78.87,-28,16
2020-04-01,62.96,-29,NA
2020-04-02,64.12,-28,NA
2020-04-03,86.26,-32,NA
2020-04-04,80.12,-21,NA
2020-04-05,64.63,-19,NA
2020-04-06,88.91,-27,14
2020-04-07,87.24,-31,NA
2020-04-08,84.05,-31,NA
2020-04-09,87.47,-30,NA
2020-04-10,93.04,-44,NA
2020-04-11,69.38,-23,NA
2020-04-12,53.7,-32,NA
2020-04-13,64.12,-32,NA
2020-04-14,74.86,-29,NA
2020-04-15,86.34,-28,17
2020-04-16,97.35,-25,15
2020-04-17,99.22,-29,NA
2020-04-18,88.87,-16,NA
2020-04-19,81.75,-18,NA
2020-04-20,91.83,-28,15
2020-04-21,96.61,-28,15
2020-04-22,92.68,-26,13
2020-04-23,98.64,-25,15
2020-04-24,117.43,-28,NA
2020-04-25,106.58,-19,NA
2020-04-26,91.44,-20,NA
2020-04-27,100.39,-24,13
2020-04-28,96.81,-25,10
2020-04-29,121.32,-27,12
2020-04-30,125.64,-26,12
2020-05-01,138.44,-25,13
2020-05-02,102.92,-11,NA
2020-05-03,97.16,-12,NA
2020-05-04,109.61,-21,11
2020-05-05,116.46,-23,13
2020-05-06,119.11,-21,10
2020-05-07,110.12,-20,11
2020-05-08,144.32,-23,12
2020-05-09,119.81,-11,NA
2020-05-10,103.58,-2,NA
2020-05-11,NA,-21,10
2020-05-12,NA,-23,14
2020-05-13,133.89,-19,13
2020-05-14,146.73,-19,7
2020-05-15,164.12,-24,12
2020-05-16,152.3,-8,NA
2020-05-17,143.58,-9,NA
2020-05-18,146.46,-17,10
2020-05-19,142.96,-17,9
2020-05-20,148.91,-17,10
2020-05-21,173.97,-18,7
2020-05-22,193.7,-27,7
2020-05-23,157.47,-15,NA
2020-05-24,138.56,-14,NA
2020-05-25,139.73,-70,NA
2020-05-26,153.62,-18,9
2020-05-27,159.18,-18,8
2020-05-28,164.94,-16,7
2020-05-29,182.26,-18,6
2020-05-30,171.28,3,NA
2020-05-31,145.8,2,NA
2020-06-01,165.06,-16,4
2020-06-02,160.82,-17,6
2020-06-03,162.22,-16,7
2020-06-04,183.04,-16,5
2020-06-05,202.14,-20,6
2020-06-06,168.95,-4,NA
2020-06-07,166.07,-2,NA
2020-06-08,178.95,-15,6
2020-06-09,164.9,-16,7
2020-06-10,187.74,-16,5
2020-06-11,191.75,-16,4
2020-06-12,213.85,-21,5
2020-06-13,196.38,0,NA
2020-06-14,186.26,1,NA
2020-06-15,189.53,-17,5
2020-06-16,200.35,-19,6
2020-06-17,202.68,-16,5
2020-06-18,208.13,-17,6
2020-06-19,250.16,-24,4
2020-06-20,213.62,-4,NA
2020-06-21,182.49,-1,NA
2020-06-22,189.38,-19,4
2020-06-23,200.04,-20,5
2020-06-24,208.79,-19,6
2020-06-25,235.56,-19,5
2020-06-26,268.13,-23,4
2020-06-27,242.22,-3,NA
2020-06-28,222.18,-4,NA
2020-06-29,193.46,-18,5
2020-06-30,188.33,-20,11
2020-07-01,250.47,-19,4
2020-07-02,290.66,-28,3
2020-07-03,251.25,-56,NA
2020-07-04,186.54,-25,NA
2020-07-05,199.3,-5,NA
2020-07-06,212.45,-24,4
2020-07-07,207.04,-22,6
2020-07-08,212.84,-22,6
2020-07-09,229.53,-21,4
2020-07-10,251.67,-28,8
2020-07-11,255.91,-1,NA
2020-07-12,217.35,-6,NA
2020-07-13,200.93,-20,5
2020-07-14,199.22,-20,6
2020-07-15,215.06,-20,4
2020-07-16,223.39,-18,3
2020-07-17,253,-25,6
2020-07-18,248.79,3,NA
2020-07-19,210.47,1,NA
2020-07-20,201.52,-20,6
2020-07-21,195.53,-21,6
2020-07-22,225.21,-18,5
2020-07-23,242.76,-20,4
2020-07-24,256.19,-22,5
2020-07-25,234.98,1,NA
2020-07-26,215.56,-2,NA
2020-07-27,218.95,-20,5
2020-07-28,200.97,-21,6
2020-07-29,212.49,-19,5
2020-07-30,246.15,-21,6
2020-07-31,277.74,-25,4
2020-08-01,262.3,1,NA
2020-08-02,234.44,-4,NA
2020-08-03,224.44,-20,4
2020-08-04,216.46,-22,7
2020-08-05,229.03,-21,6
2020-08-06,238.02,-21,5
2020-08-07,277.94,-26,6
2020-08-08,258.21,0,NA
2020-08-09,218.02,-5,NA
2020-08-10,221.75,-23,4
2020-08-11,228.33,-23,6
2020-08-12,230.62,-22,7
2020-08-13,247.32,-25,5
2020-08-14,289.42,-25,6
2020-08-15,262.26,-3,NA
2020-08-16,235.95,-9,NA
2020-08-17,223.66,NA,3
2020-08-18,206.73,NA,7
2020-08-19,219.34,NA,7
2020-08-20,230.43,NA,5
2020-08-21,251.75,NA,5
2020-08-24,191.6,NA,5
2020-08-25,185.72,NA,7
2020-08-26,177.12,NA,5
2020-08-27,201.44,NA,6
2020-08-28,221.56,NA,4
2020-08-31,171.71,NA,4
2020-09-01,170.12,NA,6
2020-09-02,175.49,NA,5
2020-09-03,212.06,NA,3
2020-09-04,252.76,NA,3
2020-09-08,168.29,NA,5
2020-09-09,186.5,NA,4
2020-09-10,210.31,NA,3
2020-09-11,206.85,-25,2
2020-09-12,212.57,-9,NA
2020-09-13,164.86,-6,NA
2020-09-14,164.67,-19,2
2020-09-15,169.61,-21,4
2020-09-16,172.3,-21,3
2020-09-17,185.1,-21,4
2020-09-18,224.75,-21,3
2020-09-19,207.04,-6,NA
2020-09-20,147.67,-1,NA
2020-09-21,160.39,-25,3
2020-09-22,158.83,-25,5
2020-09-23,157.47,-23,6
2020-09-24,161.83,-24,5
2020-09-25,189.57,-26,6
2020-09-26,177.28,-18,NA
2020-09-27,136.96,-6,NA
2020-09-28,133.62,-24,6
2020-09-29,151.6,-23,7
2020-09-30,144.98,-23,7
2020-10-01,172.02,-23,6
2020-10-02,183.19,-25,5
2020-10-03,165.99,-10,NA
2020-10-04,122.26,-3,NA
2020-10-05,137.39,-22,5
2020-10-06,140.04,-24,5
2020-10-07,145.56,-22,6
2020-10-08,151.36,-23,5
2020-10-09,177.47,-25,5
2020-10-10,170.62,-11,NA
2020-10-11,128.4,-6,NA
2020-10-12,133.77,-24,5
2020-10-13,135.76,-25,6
2020-10-14,143.07,-21,7
2020-10-15,154.51,-22,6
2020-10-16,175.33,-23,8
2020-10-17,141.95,-10,NA
2020-10-18,119.53,-4,NA
2020-10-19,126.89,-20,6
2020-10-20,134.71,-24,8
2020-10-21,141.63,-19,6
2020-10-22,125.88,-27,12
2020-10-23,162.22,-29,10
2020-10-24,117.12,-16,NA
2020-10-25,105.68,-9,NA
2020-10-26,119.34,-24,6
2020-10-27,121.52,-22,8
2020-10-28,131.21,-19,8
2020-10-29,141.98,-22,7
2020-10-30,163.07,-25,6
2020-10-31,127.63,-11,NA
2020-11-01,100.23,-10,NA
2020-11-02,107.82,-23,6
2020-11-03,115.88,-25,7
