date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,95.22,-5,NA
2020-02-16,76.97,-5,NA
2020-02-17,100.58,-18,4
2020-02-18,94.52,0,1
2020-02-19,98.9,1,0
2020-02-20,105.76,1,0
2020-02-21,120.68,-1,1
2020-02-22,101.1,-3,NA
2020-02-23,71.35,-6,NA
2020-02-24,89.95,1,2
2020-02-25,97.39,2,1
2020-02-26,114.75,2,-1
2020-02-27,110.89,0,-1
2020-02-28,118.19,-2,-3
2020-02-29,110.83,1,NA
2020-03-01,79,-1,NA
2020-03-02,94.73,3,0
2020-03-03,99.68,2,-1
2020-03-04,95.39,2,0
2020-03-05,110.49,1,-2
2020-03-06,111.36,1,-2
2020-03-07,105.04,-1,NA
2020-03-08,69.96,-6,NA
2020-03-09,94.99,2,1
2020-03-10,110.78,2,-1
2020-03-11,97.33,2,-2
2020-03-12,116.43,-1,-2
2020-03-13,94.81,-13,3
2020-03-14,78.82,-4,NA
2020-03-15,63.96,-7,NA
2020-03-16,92.61,-17,5
2020-03-17,82.27,-21,7
2020-03-18,80.16,-23,7
2020-03-19,92.93,-27,9
2020-03-20,80.71,-28,11
2020-03-21,64.89,-15,NA
2020-03-22,48.67,-25,NA
2020-03-23,71.93,-24,10
2020-03-24,71.49,-25,9
2020-03-25,65.87,-28,9
2020-03-26,73.81,-32,11
2020-03-27,73.46,-33,13
2020-03-28,64.63,-23,NA
2020-03-29,54.46,-29,NA
2020-03-30,64.63,-33,15
2020-03-31,70.34,-33,12
2020-04-01,68.95,-32,11
2020-04-02,68.89,-35,13
2020-04-03,67.21,-38,18
2020-04-04,51.51,-25,NA
2020-04-05,55.27,-34,NA
2020-04-06,66.16,-33,13
2020-04-07,73.7,-35,13
2020-04-08,74.74,-35,11
2020-04-09,71.96,-36,13
2020-04-10,82.85,-40,15
2020-04-11,67.7,-28,NA
2020-04-12,45.25,-32,NA
2020-04-13,70.19,-34,15
2020-04-14,69.96,-34,15
2020-04-15,84.39,-33,12
2020-04-16,84.91,-33,12
2020-04-17,85.83,-35,14
2020-04-18,73.52,-20,NA
2020-04-19,66.8,-29,NA
2020-04-20,91.05,-30,10
2020-04-21,86.94,-30,11
2020-04-22,82.27,-34,12
2020-04-23,97.39,-32,10
2020-04-24,106.05,-32,11
2020-04-25,92,-17,NA
2020-04-26,73,-27,NA
2020-04-27,95.57,-29,11
2020-04-28,81.81,-30,5
2020-04-29,100.09,-28,9
2020-04-30,106.98,-31,9
2020-05-01,112.17,-31,9
2020-05-02,102.32,-14,NA
2020-05-03,79.14,-23,NA
2020-05-04,103.94,-29,9
2020-05-05,98.75,-28,8
2020-05-06,115.24,-28,8
2020-05-07,109.36,-29,9
2020-05-08,115.96,-31,10
2020-05-09,113.79,-10,NA
2020-05-10,74.8,-17,NA
2020-05-11,NA,-27,8
2020-05-12,NA,-26,11
2020-05-13,109.04,-27,8
2020-05-14,127.14,-27,8
2020-05-15,113.64,-31,11
2020-05-16,101.13,-21,NA
2020-05-17,93.6,-18,NA
2020-05-18,134.62,-25,7
2020-05-19,130.68,-24,6
2020-05-20,120.22,-26,6
2020-05-21,136.04,-25,6
2020-05-22,161.53,-30,7
2020-05-23,154.61,-12,NA
2020-05-24,95.16,-19,NA
2020-05-25,81.84,-66,NA
2020-05-26,128.59,-24,7
2020-05-27,122.05,-22,6
2020-05-28,129.2,-24,5
2020-05-29,163.62,-27,5
2020-05-30,183.89,-7,NA
2020-05-31,116.69,-15,NA
2020-06-01,123.12,-22,5
2020-06-02,124.54,-22,5
2020-06-03,130.71,-23,3
2020-06-04,147.1,-23,4
2020-06-05,148.55,-28,4
2020-06-06,146.76,-11,NA
2020-06-07,108.55,-16,NA
2020-06-08,130.42,-23,5
2020-06-09,136.04,-23,6
2020-06-10,129.03,-20,4
2020-06-11,150.09,-21,4
2020-06-12,172.31,-26,4
2020-06-13,159.91,-4,NA
2020-06-14,104.87,-8,NA
2020-06-15,127.09,-23,4
2020-06-16,142.99,-22,5
2020-06-17,131.49,-22,4
2020-06-18,146.44,-22,4
2020-06-19,130.48,-28,7
2020-06-20,137.8,-12,NA
2020-06-21,98.15,-12,NA
2020-06-22,127.4,-25,7
2020-06-23,143.45,-23,6
2020-06-24,153.68,-22,5
2020-06-25,142.32,-26,4
2020-06-26,161.04,-30,5
2020-06-27,143.83,-10,NA
2020-06-28,107.21,-11,NA
2020-06-29,136.24,-25,6
2020-06-30,142.15,-26,5
2020-07-01,142.58,-25,4
2020-07-02,139.86,-28,3
2020-07-03,142.64,-47,7
2020-07-04,120.89,-20,NA
2020-07-05,99.65,-12,NA
2020-07-06,127.52,-29,6
2020-07-07,135.75,-26,7
2020-07-08,136.53,-25,5
2020-07-09,135.37,-25,5
2020-07-10,158.2,-28,6
2020-07-11,135.95,-9,NA
2020-07-12,99.65,-11,NA
2020-07-13,133.63,-26,6
2020-07-14,135.78,-26,7
2020-07-15,132.1,-24,6
2020-07-16,156.05,-26,5
2020-07-17,185.69,-31,6
2020-07-18,164.69,-8,NA
2020-07-19,93.51,-9,NA
2020-07-20,129.03,-25,5
2020-07-21,133.31,-26,6
2020-07-22,137.25,-25,5
2020-07-23,153.91,-28,5
2020-07-24,152.58,-31,6
2020-07-25,143.31,-10,NA
2020-07-26,106.29,-13,NA
2020-07-27,112.89,-28,7
2020-07-28,114.98,-28,8
2020-07-29,131.52,-26,6
2020-07-30,140.41,-29,6
2020-07-31,148.93,-28,5
2020-08-01,129.29,-8,NA
2020-08-02,93.08,-12,NA
2020-08-03,128.04,-27,5
2020-08-04,127.32,-26,5
2020-08-05,129.32,-23,5
2020-08-06,131.26,-28,4
2020-08-07,151.68,-30,5
2020-08-08,121.38,-12,NA
2020-08-09,111.82,-6,NA
2020-08-10,127.78,-27,5
2020-08-11,139.69,-25,5
2020-08-12,123.09,-22,4
2020-08-13,130.82,-26,3
2020-08-14,146.99,-24,3
2020-08-15,128.85,-10,NA
2020-08-16,98.12,-10,NA
2020-08-17,113.33,NA,4
2020-08-18,124.42,NA,4
2020-08-19,116.14,NA,3
2020-08-20,136.33,NA,3
2020-08-21,148.06,NA,3
2020-08-24,123.81,NA,4
2020-08-25,127.67,NA,4
2020-08-26,126.3,NA,4
2020-08-27,135.49,NA,3
2020-08-28,150.9,NA,4
2020-08-31,114.48,NA,4
2020-09-01,101.48,NA,6
2020-09-02,120.68,NA,3
2020-09-03,152.58,NA,1
2020-09-04,165.15,NA,3
2020-09-07,109.62,-65,NA
2020-09-08,135.11,NA,3
2020-09-09,108.34,NA,5
2020-09-10,132.39,NA,2
2020-09-11,160.11,-21,1
2020-09-12,152.43,-11,NA
2020-09-13,98.93,-13,NA
2020-09-14,121.06,-16,1
2020-09-15,135.72,-17,3
2020-09-16,129.46,-19,3
2020-09-17,151.33,-20,3
2020-09-18,214.46,-20,2
2020-09-19,219.44,-15,NA
2020-09-20,135.78,-12,NA
2020-09-21,122.31,-17,3
2020-09-22,123.81,-18,5
2020-09-23,126.85,-15,4
2020-09-24,120.39,-19,3
2020-09-25,160.95,-20,2
2020-09-26,152.84,-9,1
2020-09-27,108.86,-11,2
2020-09-28,113.3,-14,4
2020-09-29,117.82,-16,4
2020-09-30,112.08,-15,2
2020-10-01,129.32,-16,0
2020-10-02,153.79,-17,1
2020-10-03,126.04,-8,1
2020-10-04,88.79,-12,1
2020-10-05,112.92,-14,2
2020-10-06,113.59,-18,3
2020-10-07,125.38,-15,3
2020-10-08,122.77,-18,3
2020-10-09,159.07,-19,2
2020-10-10,147.31,-10,3
2020-10-11,98,-8,1
2020-10-12,113.62,-18,5
2020-10-13,118.51,-16,4
2020-10-14,131.63,-14,4
2020-10-15,144.03,-22,4
2020-10-16,158.29,-28,5
2020-10-17,143.11,-11,2
2020-10-18,89.02,-10,2
2020-10-19,108.4,-28,7
2020-10-20,129.03,-24,6
2020-10-21,130.3,-14,3
2020-10-22,152.46,-17,3
2020-10-23,154.66,-20,5
2020-10-24,138.7,-5,2
2020-10-25,78.71,-13,3
2020-10-26,86.73,-21,9
2020-10-27,59.97,-46,18
2020-10-28,74.97,-24,9
2020-10-29,108.66,-17,4
2020-10-30,132.3,-19,2
2020-10-31,122.28,-8,1
2020-11-01,88.79,-9,2
2020-11-02,105.39,-16,5
2020-11-03,111.65,-19,4
