date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,134.11,2,-1
2020-02-16,90.93,4,0
2020-02-17,107.89,-5,2
2020-02-18,102.41,5,0
2020-02-19,105.22,3,0
2020-02-20,98.92,0,4
2020-02-21,126.03,2,1
2020-02-22,119.31,3,-2
2020-02-23,86.67,4,-1
2020-02-24,101.46,2,1
2020-02-25,108.27,6,-2
2020-02-26,111.75,4,-1
2020-02-27,117.11,-2,1
2020-02-28,135,-2,2
2020-02-29,130.89,2,-1
2020-03-01,97.27,4,-2
2020-03-02,106.33,2,1
2020-03-03,113.46,3,0
2020-03-04,112.37,4,-1
2020-03-05,120.81,4,-1
2020-03-06,136.22,1,1
2020-03-07,137.92,3,-2
2020-03-08,105.63,3,-2
2020-03-09,110.97,2,0
2020-03-10,114.33,4,0
2020-03-11,112.39,3,0
2020-03-12,116.02,2,0
2020-03-13,122.4,-1,1
2020-03-14,111.1,3,1
2020-03-15,80.38,-3,2
2020-03-16,95.05,-12,4
2020-03-17,89.75,-12,6
2020-03-18,90.1,-17,6
2020-03-19,91.73,-18,7
2020-03-20,88.1,-22,11
2020-03-21,76.91,-13,6
2020-03-22,59.46,-23,6
2020-03-23,68.31,-26,12
2020-03-24,70.42,-27,11
2020-03-25,76.77,-30,12
2020-03-26,83.05,-30,11
2020-03-27,84.74,-31,13
2020-03-28,79.92,-22,6
2020-03-29,58.36,-30,8
2020-03-30,73.79,-30,11
2020-03-31,63.47,-33,14
2020-04-01,68.2,-36,14
2020-04-02,75.25,-35,13
2020-04-03,75.68,-36,15
2020-04-04,61.78,-28,8
2020-04-05,50.35,-35,8
2020-04-06,69.85,-37,13
2020-04-07,71.7,-37,12
2020-04-08,67.47,-39,14
2020-04-09,75.82,-39,14
2020-04-10,78.99,-49,18
2020-04-11,70.31,-28,8
2020-04-12,43.31,-38,10
2020-04-13,76.33,-39,14
2020-04-14,79.94,-35,12
2020-04-15,84.44,-36,13
2020-04-16,87.36,-36,13
2020-04-17,98.75,-36,13
2020-04-18,82.04,-25,8
2020-04-19,65.28,-31,8
2020-04-20,88.53,-37,13
2020-04-21,91.72,-35,12
2020-04-22,92.28,-36,12
2020-04-23,86,-36,15
2020-04-24,99.71,-36,14
2020-04-25,86.62,-26,8
2020-04-26,64.07,-32,9
2020-04-27,96.66,-33,11
2020-04-28,97.27,-34,4
2020-04-29,98.08,-35,12
2020-04-30,98.98,-34,12
2020-05-01,116.27,-33,11
2020-05-02,112.75,-19,3
2020-05-03,93.47,-24,4
2020-05-04,111.27,-30,9
2020-05-05,105.58,-30,11
2020-05-06,111.71,-31,11
2020-05-07,121.16,-29,9
2020-05-08,124.16,-30,13
2020-05-09,128.66,-16,3
2020-05-10,88.8,-19,2
2020-05-11,NA,-29,10
2020-05-12,NA,-27,9
2020-05-13,118.5,-30,10
2020-05-14,137.01,-28,8
2020-05-15,154.9,-30,8
2020-05-16,145.53,-13,1
2020-05-17,115.56,-20,3
2020-05-18,130.86,-28,9
2020-05-19,131.95,-27,9
2020-05-20,131.36,-29,11
2020-05-21,147.75,-28,9
2020-05-22,162.47,-28,10
2020-05-23,155.59,-11,1
2020-05-24,124.7,-18,2
2020-05-25,123.59,-62,15
2020-05-26,143.42,-25,6
2020-05-27,146.52,-26,8
2020-05-28,155.59,-25,7
2020-05-29,175.2,-25,7
2020-05-30,168.72,-5,0
2020-05-31,141.3,-10,0
2020-06-01,150.67,-24,6
2020-06-02,147.18,-23,5
2020-06-03,151.56,-25,6
2020-06-04,154.84,-24,7
2020-06-05,173.8,-26,8
2020-06-06,176.36,-8,0
2020-06-07,139.59,-14,0
2020-06-08,148.88,-24,6
2020-06-09,149.69,-23,5
2020-06-10,153.72,-25,7
2020-06-11,167.04,-24,6
2020-06-12,189.43,-25,5
2020-06-13,181.9,-6,-2
2020-06-14,135.12,-13,2
2020-06-15,157.46,-24,6
2020-06-16,154.77,-24,6
2020-06-17,156.73,-26,7
2020-06-18,169.48,-25,6
2020-06-19,192.9,-26,6
2020-06-20,193.29,-6,-1
2020-06-21,141.04,-10,-1
2020-06-22,158.19,-27,6
2020-06-23,155.66,-26,6
2020-06-24,167.7,-25,5
2020-06-25,184.34,-25,5
2020-06-26,211.44,-26,5
2020-06-27,204.6,-11,0
2020-06-28,147.07,-12,2
2020-06-29,161.71,-26,7
2020-06-30,164.4,-25,6
2020-07-01,173.72,-26,6
2020-07-02,201.73,-30,5
2020-07-03,206.53,-50,9
2020-07-04,164.26,-21,-1
2020-07-05,151.77,-18,1
2020-07-06,174.19,-31,7
2020-07-07,167.71,-27,6
2020-07-08,168.8,-28,6
2020-07-09,179.63,-28,6
2020-07-10,191.29,-29,7
2020-07-11,197.88,-11,-1
2020-07-12,145.86,-14,2
2020-07-13,165.95,-28,6
2020-07-14,175.15,-27,5
2020-07-15,233.44,-28,6
2020-07-16,181.11,-28,7
2020-07-17,192.92,-29,8
2020-07-18,185.2,-11,1
2020-07-19,134.51,-14,2
2020-07-20,166.58,-30,7
2020-07-21,165.59,-28,6
2020-07-22,161.6,-29,7
2020-07-23,166.69,-28,8
2020-07-24,191.63,-29,7
2020-07-25,185,-11,1
2020-07-26,141.89,-15,1
2020-07-27,164.09,-30,7
2020-07-28,156.84,-26,6
2020-07-29,169.15,-27,7
2020-07-30,169.87,-28,7
2020-07-31,182.69,-30,7
2020-08-01,185.16,-13,0
2020-08-02,134.45,-17,2
2020-08-03,162.3,-29,8
2020-08-04,168.55,-27,6
2020-08-05,163.42,-27,7
2020-08-06,180.39,-29,7
2020-08-07,196.36,-29,7
2020-08-08,188.21,-11,0
2020-08-09,150.09,-15,2
2020-08-10,163.99,-30,7
2020-08-11,156.64,-27,6
2020-08-12,165.09,-28,7
2020-08-13,169.6,-27,7
2020-08-14,193.38,-28,8
2020-08-15,173.99,-16,3
2020-08-16,139.67,-16,2
2020-08-17,161.25,-28,7
2020-08-18,161.63,-24,5
2020-08-19,161.43,-26,6
2020-08-20,170.78,-25,6
2020-08-21,178.59,-27,7
2020-08-22,180.79,-12,0
2020-08-23,139.03,-15,1
2020-08-24,149.8,-27,6
2020-08-25,155.71,-26,5
2020-08-26,155.39,-25,6
2020-08-27,160.7,-24,5
2020-08-28,178.39,-26,6
2020-08-29,160.7,-15,2
2020-08-30,128.23,-15,1
2020-08-31,150.13,-28,6
2020-09-01,155.02,-25,4
2020-09-02,163.35,-26,5
2020-09-03,169.87,-25,5
2020-09-04,202.87,-28,4
2020-09-05,192.3,-17,-1
2020-09-06,145.66,-19,0
2020-09-07,144.08,-66,12
2020-09-08,161.09,-28,3
2020-09-09,157.91,-26,3
2020-09-10,171.96,-26,2
2020-09-11,180.69,-26,2
2020-09-12,193.46,-15,-2
2020-09-13,139.64,-16,0
2020-09-14,152.78,-25,3
2020-09-15,160.56,-22,2
2020-09-16,162.74,-25,3
2020-09-17,177.26,-24,5
2020-09-18,219.34,-24,3
2020-09-19,251.1,-11,-2
2020-09-20,147.69,-15,0
2020-09-21,144.62,-26,4
2020-09-22,144.74,-24,4
2020-09-23,140.08,-23,4
2020-09-24,154.01,-24,6
2020-09-25,174.21,-24,6
2020-09-26,182.53,-12,0
2020-09-27,137.18,-13,0
2020-09-28,141.69,-23,5
2020-09-29,140.27,-23,6
2020-09-30,154.79,-25,4
2020-10-01,166.79,-20,2
2020-10-02,190.98,-22,3
2020-10-03,193.96,-14,-2
2020-10-04,146.55,-16,0
2020-10-05,151.41,-25,3
2020-10-06,148.92,-22,2
2020-10-07,151.42,-24,3
2020-10-08,164.96,-22,3
2020-10-09,195.4,-23,3
2020-10-10,175.27,-15,2
2020-10-11,131.18,-16,2
2020-10-12,146.42,-33,7
2020-10-13,150.06,-27,4
2020-10-14,153.95,-27,4
2020-10-15,165.3,-26,4
2020-10-16,186.98,-28,5
2020-10-17,210.54,-13,-1
2020-10-18,145.36,-16,0
2020-10-19,148.91,-24,5
2020-10-20,146.97,-20,3
2020-10-21,149.62,-23,4
2020-10-22,163.56,-20,3
2020-10-23,195.86,-22,4
2020-10-24,190.88,-14,1
2020-10-25,135.65,-17,1
2020-10-26,145.37,-23,5
2020-10-27,148.8,-21,3
2020-10-28,149.42,-24,7
2020-10-29,150.06,-22,6
2020-10-30,174.63,-22,5
2020-10-31,174.84,-15,-1
2020-11-01,111.73,-19,2
2020-11-02,129.53,-24,6
2020-11-03,137.83,-26,5
