date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,154.62,5,0
2020-02-16,113.62,2,-1
2020-02-17,117.32,-17,4
2020-02-18,117.5,1,0
2020-02-19,119.88,2,0
2020-02-20,122.35,3,1
2020-02-21,157.63,2,-1
2020-02-22,165.67,6,-2
2020-02-23,110.04,4,-2
2020-02-24,110.42,2,1
2020-02-25,109.55,0,2
2020-02-26,117.56,-3,2
2020-02-27,126.8,3,0
2020-02-28,152.19,2,-2
2020-02-29,176.26,6,-3
2020-03-01,120.45,4,-3
2020-03-02,116.89,4,-1
2020-03-03,123.52,3,-1
2020-03-04,124.1,5,-2
2020-03-05,133.18,3,-1
2020-03-06,160.53,0,-1
2020-03-07,170.7,8,-3
2020-03-08,113.57,3,-2
2020-03-09,112.46,1,1
2020-03-10,126.66,1,0
2020-03-11,118.87,2,-1
2020-03-12,118.24,3,0
2020-03-13,133.9,0,-1
2020-03-14,107.58,4,3
2020-03-15,81.4,-2,3
2020-03-16,90.41,-12,6
2020-03-17,94.7,-24,9
2020-03-18,83,-26,13
2020-03-19,80.29,-28,14
2020-03-20,93.57,-30,14
2020-03-21,68.17,-15,10
2020-03-22,40.67,-32,12
2020-03-23,66.8,-41,17
2020-03-24,70.67,-43,19
2020-03-25,74.94,-42,18
2020-03-26,73.66,-43,19
2020-03-27,82.02,-43,19
2020-03-28,62.56,-26,13
2020-03-29,58.43,-33,11
2020-03-30,85.22,-41,15
2020-03-31,83.84,-43,18
2020-04-01,87.36,-43,17
2020-04-02,86.13,-42,18
2020-04-03,93.78,-43,18
2020-04-04,78.53,-26,12
2020-04-05,63.92,-33,9
2020-04-06,85.88,-43,16
2020-04-07,90.28,-44,17
2020-04-08,91.63,-44,18
2020-04-09,92.64,-44,19
2020-04-10,102.9,-51,20
2020-04-11,88.1,-31,11
2020-04-12,47.83,-41,11
2020-04-13,86.08,-43,18
2020-04-14,90.07,-42,18
2020-04-15,95.01,-41,18
2020-04-16,98.69,-40,18
2020-04-17,97.48,-42,20
2020-04-18,99.62,-24,10
2020-04-19,81.84,-30,8
2020-04-20,100.89,-40,15
2020-04-21,103.94,-41,16
2020-04-22,107.64,-40,15
2020-04-23,111.92,-39,17
2020-04-24,118.66,-40,18
2020-04-25,94.2,-28,13
2020-04-26,84.85,-27,7
2020-04-27,106.66,-38,15
2020-04-28,110.15,-40,10
2020-04-29,104.4,-40,17
2020-04-30,122.68,-37,15
2020-05-01,137.88,-38,14
2020-05-02,113.86,-20,6
2020-05-03,91.83,-25,6
2020-05-04,112.25,-38,14
2020-05-05,112.19,-39,17
2020-05-06,122.66,-38,14
2020-05-07,130.36,-37,15
2020-05-08,149.5,-38,15
2020-05-09,137.37,-17,6
2020-05-10,90.99,-23,6
2020-05-11,NA,-36,14
2020-05-12,NA,-36,14
2020-05-13,137.64,-35,14
2020-05-14,131.96,-36,16
2020-05-15,159.27,-36,14
2020-05-16,138.97,-17,7
2020-05-17,108.77,-25,8
2020-05-18,140.18,-35,13
2020-05-19,147.72,-36,14
2020-05-20,156.72,-35,13
2020-05-21,160.85,-35,13
2020-05-22,180.59,-38,12
2020-05-23,142.93,-17,5
2020-05-24,116.2,-20,3
2020-05-25,110.75,-75,21
2020-05-26,154.77,-34,12
2020-05-27,155.37,-33,12
2020-05-28,156.31,-31,13
2020-05-29,182.45,-31,9
2020-05-30,165.47,-3,2
2020-05-31,126.87,-10,2
2020-06-01,150.88,-32,9
2020-06-02,158.73,-31,10
2020-06-03,160.29,-31,11
2020-06-04,172.59,-28,10
2020-06-05,191.02,-30,9
2020-06-06,174.21,-4,1
2020-06-07,137.42,-9,1
2020-06-08,166.4,-30,9
2020-06-09,158.54,-31,12
2020-06-10,177.28,-29,10
2020-06-11,184.54,-27,9
2020-06-12,204.82,-29,7
2020-06-13,198,-2,0
2020-06-14,150.95,-10,0
2020-06-15,181.64,-29,8
2020-06-16,183.53,-29,9
2020-06-17,178.45,-29,8
2020-06-18,193.02,-28,8
2020-06-19,221,-30,6
2020-06-20,199.44,-5,1
2020-06-21,146.6,-8,0
2020-06-22,165.92,-32,9
2020-06-23,188.41,-30,8
2020-06-24,189.08,-27,8
2020-06-25,196.9,-28,8
2020-06-26,229.81,-30,7
2020-06-27,212.67,-6,2
2020-06-28,164.2,-8,0
2020-06-29,184.47,-29,7
2020-06-30,180.67,-29,9
2020-07-01,202.79,-28,7
2020-07-02,207.98,-30,7
2020-07-03,210.33,-57,10
2020-07-04,167.17,-25,0
2020-07-05,162.98,-13,0
2020-07-06,187.55,-33,8
2020-07-07,195.97,-32,8
2020-07-08,202.37,-31,8
2020-07-09,201.32,-29,8
2020-07-10,229.22,-29,6
2020-07-11,216.39,-3,0
2020-07-12,175.04,-10,0
2020-07-13,188.21,-30,6
2020-07-14,195.38,-31,7
2020-07-15,172.19,-31,10
2020-07-16,214.96,-28,7
2020-07-17,226.24,-30,6
2020-07-18,216.64,-7,1
2020-07-19,158.01,-13,2
2020-07-20,179.72,-32,7
2020-07-21,179.65,-32,10
2020-07-22,205.05,-30,7
2020-07-23,209.41,-29,7
2020-07-24,222.03,-31,6
2020-07-25,213.15,-3,-1
2020-07-26,164.31,-7,0
2020-07-27,186.8,-32,8
2020-07-28,197.99,-31,8
2020-07-29,199.69,-31,7
2020-07-30,206.31,-31,10
2020-07-31,219.31,-32,6
2020-08-01,197.03,-4,-1
2020-08-02,154.81,-8,0
2020-08-03,179.28,-31,7
2020-08-04,184.85,-30,7
2020-08-05,186.13,-29,6
2020-08-06,195.23,-29,7
2020-08-07,212.25,-31,6
2020-08-08,197.59,-3,0
2020-08-09,153.7,-8,0
