date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,132.78,-2,NA
2020-02-16,79.55,NA,NA
2020-02-17,115.99,-11,NA
2020-02-18,111.93,2,NA
2020-02-19,109.71,-2,NA
2020-02-20,109.39,-3,NA
2020-02-21,134.69,2,NA
2020-02-22,171.2,2,NA
2020-02-23,98.89,NA,NA
2020-02-24,98.41,2,NA
2020-02-25,108.91,4,NA
2020-02-26,115.75,0,NA
2020-02-27,140.25,0,NA
2020-02-28,137.47,-2,NA
2020-02-29,171.12,2,NA
2020-03-01,109.07,NA,NA
2020-03-02,105.97,-2,NA
2020-03-03,125.54,5,NA
2020-03-04,132.62,3,NA
2020-03-05,128.8,-2,NA
2020-03-06,147.57,1,NA
2020-03-07,166.75,6,NA
2020-03-08,101.11,NA,NA
2020-03-09,128.48,-11,NA
2020-03-10,123.07,-12,NA
2020-03-11,111.54,-9,NA
2020-03-12,108.99,-10,NA
2020-03-13,126.01,-11,NA
2020-03-14,113.29,4,NA
2020-03-15,74.7,NA,NA
2020-03-16,104.22,-4,NA
2020-03-17,93.16,-6,NA
2020-03-18,85.76,-9,NA
2020-03-19,84.81,-10,NA
2020-03-20,90.37,-25,NA
2020-03-21,84.25,-4,NA
2020-03-22,53.22,-20,NA
2020-03-23,66.51,-29,NA
2020-03-24,66.59,-30,NA
2020-03-25,70.01,-33,NA
2020-03-26,69.45,-33,NA
2020-03-27,84.41,-37,NA
2020-03-28,65.55,-15,NA
2020-03-29,55.13,-25,NA
2020-03-30,73.27,-34,NA
2020-03-31,68.58,-38,NA
2020-04-01,72.39,-38,NA
2020-04-02,70.17,-39,NA
2020-04-03,72.71,-44,NA
2020-04-04,71.2,-19,NA
2020-04-05,55.45,-22,NA
2020-04-06,74.3,-40,NA
2020-04-07,72.24,-40,NA
2020-04-08,88.31,-43,NA
2020-04-09,77.88,-41,NA
2020-04-10,88.78,-53,NA
2020-04-11,89.5,-33,NA
2020-04-12,44.23,-40,NA
2020-04-13,75.89,-36,NA
2020-04-14,76.77,-37,NA
2020-04-15,83.05,-41,NA
2020-04-16,79.32,-37,NA
2020-04-17,100.72,-42,NA
2020-04-18,83.21,-14,NA
2020-04-19,53.7,-32,NA
2020-04-20,89.58,-24,NA
2020-04-21,100.08,-32,NA
2020-04-22,100.56,-32,NA
2020-04-23,105.33,-28,NA
2020-04-24,113.05,-35,NA
2020-04-25,89.82,-17,NA
2020-04-26,72.79,-25,NA
2020-04-27,99.2,-27,NA
2020-04-28,101.27,-25,NA
2020-04-29,105.09,-30,NA
2020-04-30,121.32,-28,NA
2020-05-01,128.48,-31,NA
2020-05-02,157.76,-20,NA
2020-05-03,103.18,-23,NA
2020-05-04,109.55,-19,NA
2020-05-05,107.48,-20,NA
2020-05-06,126.81,-25,NA
2020-05-07,119.89,-22,NA
2020-05-08,135.88,-26,NA
2020-05-09,132.54,-2,NA
2020-05-11,NA,-15,NA
2020-05-12,NA,-17,NA
2020-05-13,125.06,-21,NA
2020-05-14,135.72,-18,NA
2020-05-15,127.45,-20,NA
2020-05-16,119.49,-1,NA
2020-05-18,125.06,-12,NA
2020-05-19,132.86,-15,NA
2020-05-20,145.03,-22,NA
2020-05-21,145.43,-17,NA
2020-05-22,174.22,-21,NA
2020-05-23,155.61,-12,NA
2020-05-25,129.51,-69,NA
2020-05-26,142.24,-16,NA
2020-05-27,147.89,-22,NA
2020-05-28,141.05,-17,NA
2020-05-29,174.78,-14,NA
2020-05-30,184.65,16,NA
2020-06-01,144.31,-16,NA
2020-06-02,151.47,-14,NA
2020-06-03,135.4,-19,NA
2020-06-04,144.07,-19,NA
2020-06-05,173.19,-18,NA
2020-06-06,153.38,8,NA
2020-06-08,154.73,-17,NA
2020-06-09,157.6,-19,NA
2020-06-10,149.24,-17,NA
2020-06-11,146.78,-16,NA
2020-06-12,171.92,-15,NA
2020-06-13,178.76,7,NA
2020-06-15,149.32,-16,NA
2020-06-16,156.56,-19,NA
2020-06-17,180.19,-20,NA
2020-06-18,160.54,-20,NA
2020-06-19,196.26,-21,NA
2020-06-20,199.2,4,NA
2020-06-21,124.34,-20,NA
2020-06-22,148.53,-18,NA
2020-06-23,156.09,-18,NA
2020-06-24,147.33,-20,NA
2020-06-25,168.58,-18,NA
2020-06-26,169.61,-19,NA
2020-06-27,194.91,-1,NA
2020-06-29,135.8,-17,NA
