date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,119.46,-5,0
2020-02-16,96.56,5,-1
2020-02-17,100.05,-6,2
2020-02-18,91.28,2,0
2020-02-19,91.21,2,-1
2020-02-20,104.17,4,-1
2020-02-21,128.13,2,0
2020-02-22,132.77,16,-3
2020-02-23,99.01,10,-2
2020-02-24,91.64,3,1
2020-02-25,92.07,2,0
2020-02-26,88.17,0,1
2020-02-27,105.87,2,0
2020-02-28,131.9,1,0
2020-02-29,136.52,0,-2
2020-03-01,105.2,11,-3
2020-03-02,94.94,3,0
2020-03-03,99.68,3,-1
2020-03-04,96.02,3,-1
2020-03-05,107.48,4,-2
2020-03-06,135.93,3,0
2020-03-07,138.06,19,-4
2020-03-08,103.17,7,-2
2020-03-09,99.52,2,1
2020-03-10,99.18,1,1
2020-03-11,98.48,0,0
2020-03-12,100.99,1,0
2020-03-13,121.63,-3,1
2020-03-14,80.65,2,2
2020-03-15,62.08,-6,3
2020-03-16,67.98,-22,7
2020-03-17,64.79,-27,10
2020-03-18,62.46,-31,12
2020-03-19,59.87,-32,13
2020-03-20,70.65,-34,16
2020-03-21,61.93,-29,9
2020-03-22,43.59,-33,10
2020-03-23,56.15,-47,18
2020-03-24,56.82,-51,20
2020-03-25,48.78,-58,23
2020-03-26,47.25,-58,25
2020-03-27,53.56,-57,28
2020-03-28,46.68,-43,15
2020-03-29,39.61,-41,12
2020-03-30,49.75,-55,22
2020-03-31,48.27,-57,24
2020-04-01,50.2,-57,23
2020-04-02,51.87,-56,23
2020-04-03,60.45,-56,25
2020-04-04,46.36,-45,15
2020-04-05,41.29,-40,11
2020-04-06,52.76,-55,22
2020-04-07,56.11,-56,22
2020-04-08,55.58,-58,22
2020-04-09,54.61,-58,24
2020-04-10,61.35,-62,28
2020-04-11,53.88,-43,13
2020-04-12,34.8,-46,12
2020-04-13,52.43,-54,23
2020-04-14,54.75,-55,23
2020-04-15,58.28,-56,23
2020-04-16,64.29,-54,23
2020-04-17,61.64,-55,27
2020-04-18,63.89,-39,13
2020-04-19,50.8,-37,10
2020-04-20,65.38,-56,21
2020-04-21,65.58,-57,22
2020-04-22,66.39,-57,22
2020-04-23,64.62,-57,25
2020-04-24,75.63,-55,24
2020-04-25,62.97,-39,13
2020-04-26,55.14,-37,10
2020-04-27,69.11,-55,21
2020-04-28,70.64,-56,15
2020-04-29,65.67,-57,23
2020-04-30,72.2,-56,24
2020-05-01,80.69,-54,23
2020-05-02,74.2,-35,9
2020-05-03,59.44,-35,9
2020-05-04,73.15,-49,19
2020-05-05,70.88,-51,22
2020-05-06,78.22,-51,19
2020-05-07,82.15,-50,19
2020-05-08,94.47,-51,22
2020-05-09,90.48,-30,8
2020-05-10,63.96,-29,7
2020-05-11,NA,-46,18
2020-05-12,NA,-47,17
2020-05-13,90.53,-47,17
2020-05-14,88.83,-46,19
2020-05-15,98.92,-48,20
2020-05-16,99.3,-25,6
2020-05-17,71.93,-23,8
2020-05-18,92.47,-40,15
2020-05-19,93.1,-41,17
2020-05-20,95.99,-41,15
2020-05-21,98.32,-41,15
2020-05-22,119.24,-45,16
2020-05-23,103.2,-24,5
2020-05-24,83.12,-25,2
2020-05-25,84.41,-75,22
2020-05-26,101.39,-39,14
2020-05-27,100.39,-38,14
2020-05-28,105,-37,14
2020-05-29,117.93,-38,15
2020-05-30,110.06,-11,4
2020-05-31,89.21,-11,3
2020-06-01,101.26,-36,12
2020-06-02,105.89,-37,12
2020-06-03,100.43,-37,12
2020-06-04,106.99,-36,12
2020-06-05,124.49,-38,13
2020-06-06,114.02,-15,3
2020-06-07,95.48,-12,2
2020-06-08,106.52,-35,11
2020-06-09,107.06,-36,13
2020-06-10,109.72,-36,12
2020-06-11,115.84,-35,11
2020-06-12,131.95,-36,12
2020-06-13,121.31,-11,2
2020-06-14,99.35,-7,1
2020-06-15,110.06,-34,10
2020-06-16,109.59,-35,11
2020-06-17,117.86,-35,10
2020-06-18,119.07,-35,10
2020-06-19,135.23,-37,10
2020-06-20,127.37,-13,1
2020-06-21,89.44,-11,1
2020-06-22,110.89,-36,11
2020-06-23,113.45,-36,11
2020-06-24,118.81,-36,10
2020-06-25,120.12,-36,10
2020-06-26,143.86,-37,11
2020-06-27,124.36,-16,4
2020-06-28,106.92,-10,2
2020-06-29,113.14,-38,11
2020-06-30,118.42,-39,11
2020-07-01,125.46,-45,11
2020-07-02,134.5,-45,10
2020-07-03,127.71,-63,16
2020-07-04,97.4,-33,1
2020-07-05,100.13,-19,0
2020-07-06,118.23,-46,12
