date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,153.52,-4,NA
2020-02-16,97.06,NA,NA
2020-02-17,108.67,-2,NA
2020-02-18,113.08,2,NA
2020-02-19,113.39,1,NA
2020-02-20,123.79,4,NA
2020-02-21,163.81,2,NA
2020-02-22,147.74,8,NA
2020-02-23,108.51,NA,NA
2020-02-24,105.78,9,NA
2020-02-25,104.57,1,NA
2020-02-26,100.05,-4,NA
2020-02-27,125.42,-10,NA
2020-02-28,149,-3,NA
2020-02-29,156.67,6,NA
2020-03-01,118.64,NA,NA
2020-03-02,107.35,8,NA
2020-03-03,113.45,1,NA
2020-03-04,117.75,0,NA
2020-03-05,125.74,1,NA
2020-03-06,152.42,-2,NA
2020-03-07,158.77,12,NA
2020-03-08,110.61,NA,NA
2020-03-09,116.49,10,NA
2020-03-10,118.54,-2,NA
2020-03-11,107.3,1,NA
2020-03-12,113.39,2,NA
2020-03-13,122.22,0,NA
2020-03-14,95.38,6,NA
2020-03-15,80.72,NA,NA
2020-03-16,80.2,-6,NA
2020-03-17,83.98,-18,NA
2020-03-18,78.83,-26,NA
2020-03-19,81.25,-26,NA
2020-03-20,79.67,-29,NA
2020-03-21,64.18,-20,NA
2020-03-22,46.64,-36,NA
2020-03-23,71.64,-33,NA
2020-03-24,62.87,-40,NA
2020-03-25,60.14,-48,NA
2020-03-26,56.57,-45,NA
2020-03-27,62.24,-49,NA
2020-03-28,52.99,-32,NA
2020-03-29,51.68,-33,NA
2020-03-30,64.97,-45,NA
2020-03-31,71.69,-49,NA
2020-04-01,59.77,-52,NA
2020-04-02,70.85,-49,NA
2020-04-03,71.43,-52,NA
2020-04-04,57.14,-30,NA
2020-04-05,49.26,-38,NA
2020-04-06,73.69,-46,NA
2020-04-07,68.07,-49,NA
2020-04-08,74.32,-54,NA
2020-04-09,68.28,-47,NA
2020-04-10,77.78,-54,NA
2020-04-11,66.91,-34,NA
2020-04-12,46.53,-45,NA
2020-04-13,64.44,-43,NA
2020-04-14,73.69,-51,NA
2020-04-15,70.33,-50,NA
2020-04-16,76.58,-46,NA
2020-04-17,74.26,-47,NA
2020-04-18,74.21,-28,NA
2020-04-19,59.98,-27,NA
2020-04-20,92.91,-39,NA
2020-04-21,89.39,-45,NA
2020-04-22,87.92,-47,NA
2020-04-23,79.83,-44,NA
2020-04-24,100.42,-44,NA
2020-04-25,77.73,-26,NA
2020-04-27,91.86,-38,NA
2020-04-28,87.08,-44,NA
2020-04-29,78.99,-47,NA
2020-04-30,90.97,-44,NA
2020-05-01,113.97,-42,NA
2020-05-02,98.21,-20,NA
2020-05-03,75.53,-29,NA
2020-05-04,100.37,-33,NA
2020-05-05,92.02,-40,NA
2020-05-06,108.72,-43,NA
2020-05-07,104.88,-38,NA
2020-05-08,120.9,-37,NA
2020-05-09,115.49,-27,NA
2020-05-10,80.99,-25,NA
2020-05-11,NA,-31,NA
2020-05-12,NA,-37,NA
2020-05-13,112.61,-37,NA
2020-05-14,115.44,-36,NA
2020-05-15,129.94,-36,NA
2020-05-16,125.37,-20,NA
2020-05-17,94.59,-33,NA
2020-05-18,113.03,-27,NA
2020-05-19,114.29,-33,NA
2020-05-20,121.22,-35,NA
2020-05-21,123.16,-31,NA
2020-05-22,159.87,-36,NA
2020-05-23,130.46,-30,NA
2020-05-24,119.38,-32,NA
2020-05-25,120.33,-75,NA
2020-05-26,131.88,-32,NA
2020-05-27,137.87,-29,NA
2020-05-28,148.21,-29,NA
2020-05-29,179.78,-29,NA
2020-05-30,126.89,-6,NA
2020-06-01,135.45,-24,NA
2020-06-02,145.54,-30,NA
2020-06-03,138.34,-30,NA
2020-06-04,150.05,-26,NA
2020-06-05,181.36,-29,NA
2020-06-06,149.42,-7,NA
2020-06-08,141.44,-16,NA
2020-06-09,154.88,-26,NA
2020-06-10,153.78,-30,NA
2020-06-11,163.45,-23,NA
2020-06-12,201.89,-26,NA
2020-06-13,193.07,-9,NA
2020-06-15,153.94,-23,NA
2020-06-16,151.16,-27,NA
2020-06-17,145.27,-28,NA
2020-06-18,168.75,-23,NA
2020-06-19,216.7,-30,NA
2020-06-20,215.28,-6,NA
2020-06-22,156.67,-24,NA
2020-06-23,164.65,-28,NA
2020-06-24,166.91,-26,NA
2020-06-25,177.42,-24,NA
2020-06-26,227.05,-26,NA
2020-06-27,195.01,-7,NA
2020-06-29,163.81,-20,NA
2020-06-30,158.98,-24,NA
2020-07-01,170.9,-29,NA
2020-07-02,185.08,-30,NA
2020-07-03,191.12,-60,NA
2020-07-04,151.73,-25,NA
2020-07-06,187.39,-23,NA
2020-07-07,167.49,-31,NA
2020-07-08,172.43,-30,NA
2020-07-09,198.84,-27,NA
2020-07-10,207.41,-27,NA
2020-07-11,215.7,-2,NA
2020-07-13,165.55,-21,NA
