date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,212.89,-1,NA
2020-02-16,203.89,5,NA
2020-02-17,176.36,-35,6
2020-02-18,126.63,1,-1
2020-02-19,138.64,0,0
2020-02-20,127.58,4,-1
2020-02-21,154.72,2,0
2020-02-22,176.32,4,NA
2020-02-23,157.34,7,NA
2020-02-24,119.85,3,0
2020-02-25,117.27,2,-1
2020-02-26,108.63,2,0
2020-02-27,113.3,5,-1
2020-02-28,139.19,5,-1
2020-02-29,156.91,0,NA
2020-03-01,124.54,3,NA
2020-03-02,106.29,4,-1
2020-03-03,119.95,6,-2
2020-03-04,117.64,2,-1
2020-03-05,124.26,7,-2
2020-03-06,144.48,2,-1
2020-03-07,150.32,-2,NA
2020-03-08,132.25,4,NA
2020-03-09,117.15,2,-1
2020-03-10,109.47,1,0
2020-03-11,115.84,0,1
2020-03-12,117.76,3,-1
2020-03-13,128.23,0,0
2020-03-14,117.64,-9,NA
2020-03-15,94.86,-11,NA
2020-03-16,82.34,-26,9
2020-03-17,93.53,-24,7
2020-03-18,97.73,-24,7
2020-03-19,89.06,-22,8
2020-03-20,92.3,-31,12
2020-03-21,70.89,-24,NA
2020-03-22,72.55,-34,NA
2020-03-23,62.43,-37,13
2020-03-24,65.36,-38,14
2020-03-25,70.03,-40,15
2020-03-26,69.72,-39,14
2020-03-27,77.65,-41,NA
2020-03-28,64.82,-36,NA
2020-03-29,63.61,-38,NA
2020-03-30,75.78,-37,12
2020-03-31,71.69,-37,12
2020-04-01,82.36,-39,12
2020-04-02,74.6,-37,12
2020-04-03,73.94,-38,NA
2020-04-04,60.81,-34,NA
2020-04-05,46.83,-44,NA
2020-04-06,60.3,-40,NA
2020-04-07,76.48,-41,14
2020-04-08,72.12,-41,15
2020-04-09,74.02,-40,14
2020-04-10,77.71,-40,NA
2020-04-11,76.38,-34,NA
2020-04-12,45.22,-45,NA
2020-04-13,79.49,-36,13
2020-04-14,77.07,-34,12
2020-04-15,86.48,-37,13
2020-04-16,84.96,-34,12
2020-04-17,87.52,-36,15
2020-04-18,77.2,-33,NA
2020-04-19,69.39,-35,NA
2020-04-20,82.75,-35,13
2020-04-21,84.86,-33,13
2020-04-22,82.73,-36,13
2020-04-23,87.42,-37,12
2020-04-24,91.64,-37,14
2020-04-25,96.93,-33,NA
2020-04-26,89.33,-38,NA
2020-04-27,84.96,-33,12
2020-04-28,92.54,-34,5
2020-04-29,95.12,-34,13
2020-04-30,91.42,-33,11
2020-05-01,105.06,-34,12
2020-05-02,108.56,-26,NA
2020-05-03,99.84,-28,NA
2020-05-04,94.08,-32,11
2020-05-05,102.75,-31,10
2020-05-06,101.68,-33,11
2020-05-07,108.6,-32,10
2020-05-08,126.02,-29,11
2020-05-09,136.84,-24,NA
2020-05-10,96.05,-24,NA
2020-05-11,NA,-29,10
2020-05-12,NA,-31,11
2020-05-13,108.69,-30,11
2020-05-14,107.38,-28,10
2020-05-15,144.07,-30,11
2020-05-16,157.55,-21,NA
2020-05-17,114.4,-22,NA
2020-05-18,104.47,-29,12
2020-05-19,114.3,-29,11
2020-05-20,132.86,-27,10
2020-05-21,141.67,-27,8
2020-05-22,167.83,-27,9
2020-05-23,185.13,-16,NA
2020-05-24,181.05,-19,NA
2020-05-25,168.43,-60,NA
2020-05-26,138.86,-24,8
2020-05-27,132.64,-24,8
2020-05-28,140.42,-23,8
2020-05-29,153.1,-25,9
2020-05-30,158.86,-12,NA
2020-05-31,155.44,-10,NA
2020-06-01,149.99,-19,6
2020-06-02,138.29,-21,7
2020-06-03,147.14,-25,7
2020-06-04,163.31,-22,6
2020-06-05,181.07,-25,8
2020-06-06,198.05,-9,NA
2020-06-07,175.44,-14,NA
2020-06-08,167.85,-20,7
2020-06-09,169.33,-20,6
2020-06-10,178.43,-22,7
2020-06-11,180.15,-23,6
2020-06-12,206.86,-24,6
2020-06-13,246.94,-9,NA
2020-06-14,228.5,-12,NA
2020-06-15,198.52,-21,5
2020-06-16,196.31,-21,5
2020-06-17,206.35,-24,6
2020-06-18,207.48,-20,5
2020-06-19,256.07,-23,5
2020-06-20,280.64,-8,NA
2020-06-21,248.88,-11,NA
2020-06-22,213.21,-25,6
2020-06-23,213.73,-24,5
2020-06-24,211.37,-24,6
2020-06-25,217.19,-25,5
2020-06-26,260.77,-25,6
2020-06-27,282.69,-18,NA
2020-06-28,291.03,-8,NA
2020-06-29,226.06,-22,5
2020-06-30,217.46,-23,6
2020-07-01,223.36,-25,5
2020-07-02,248.02,-26,5
2020-07-03,305.39,-40,9
2020-07-04,236.41,-25,NA
2020-07-05,369.02,-16,NA
2020-07-06,225.18,-27,6
2020-07-07,213.26,-26,6
2020-07-08,221.14,-29,6
2020-07-09,229.54,-26,5
2020-07-10,279.14,-26,7
2020-07-11,299.63,-11,NA
2020-07-12,292.46,-12,NA
2020-07-13,224.67,-24,6
2020-07-14,227.21,-26,6
2020-07-15,230.4,-26,7
2020-07-16,235.55,-27,6
2020-07-17,274.74,-26,8
2020-07-18,306.41,-10,NA
2020-07-19,315.04,-12,NA
2020-07-20,235.42,-26,6
2020-07-21,217.66,-27,6
2020-07-22,219.11,-29,6
2020-07-23,241.59,-26,5
2020-07-24,299.45,-27,7
2020-07-25,305.16,-13,NA
2020-07-26,332.19,-16,NA
2020-07-27,238.07,-26,6
2020-07-28,238.48,-26,6
2020-07-29,229.97,-27,5
2020-07-30,239.17,-26,6
2020-07-31,307.85,-26,7
2020-08-01,321.35,-11,NA
2020-08-02,318.17,-10,NA
2020-08-03,239.91,-25,5
2020-08-04,230.9,-26,6
2020-08-05,238.43,-27,6
2020-08-06,253.37,-26,5
2020-08-07,296.13,-26,5
2020-08-08,341.2,-9,NA
2020-08-09,348.49,-10,NA
2020-08-10,255.46,-25,5
2020-08-11,232.51,-25,5
2020-08-12,226.2,-24,6
2020-08-13,248.13,-22,5
2020-08-14,277.77,-23,6
2020-08-15,281.85,-8,NA
2020-08-16,289.76,-7,NA
2020-08-17,211.74,NA,5
2020-08-18,199.57,NA,5
2020-08-19,213.05,NA,7
2020-08-20,292.83,NA,4
2020-08-21,269.68,NA,6
2020-08-24,199.12,NA,6
2020-08-25,176.93,NA,4
2020-08-26,178.88,NA,6
2020-08-27,188.32,NA,5
2020-08-28,244.5,NA,6
2020-08-31,189.69,NA,5
2020-09-01,181.6,NA,5
2020-09-02,185.11,NA,5
2020-09-03,198.93,NA,4
2020-09-04,270.11,NA,5
2020-09-08,175.5,NA,-7
2020-09-09,177.73,NA,-2
2020-09-10,166.2,NA,4
2020-09-11,186.23,-21,5
2020-09-12,213.99,-11,NA
2020-09-13,163.82,-13,NA
2020-09-14,164.6,-21,5
2020-09-15,158.16,-20,6
2020-09-16,149.62,-22,6
2020-09-17,161.09,-22,4
2020-09-18,191.78,-21,5
2020-09-19,216.62,-14,NA
2020-09-20,172.65,-8,NA
2020-09-21,152.26,-20,5
2020-09-22,145.38,-19,5
2020-09-23,149.93,-20,6
2020-09-24,158.35,-17,4
2020-09-25,201.72,-20,5
2020-09-26,230.55,-11,3
2020-09-27,206.35,-9,2
