date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,171.05,NA,NA
2020-02-16,156.7,NA,NA
2020-02-17,151.61,-27,NA
2020-02-18,118.43,2,NA
2020-02-19,116.49,-4,NA
2020-02-20,130.09,-3,NA
2020-02-21,167.76,-3,NA
2020-02-22,154.56,NA,NA
2020-02-23,155.9,NA,NA
2020-02-24,110.72,0,NA
2020-02-25,90.42,8,NA
2020-02-26,107.84,0,NA
2020-02-27,131.77,11,NA
2020-02-28,180.83,8,NA
2020-02-29,192.43,NA,NA
2020-03-01,176.68,NA,NA
2020-03-02,126.68,-1,NA
2020-03-03,123.12,5,NA
2020-03-04,112.13,0,NA
2020-03-05,140.01,-14,NA
2020-03-06,221.98,-10,NA
2020-03-07,221.98,NA,NA
2020-03-08,187.33,NA,NA
2020-03-09,132.57,-1,NA
2020-03-10,109.05,3,NA
2020-03-11,128.22,-3,NA
2020-03-12,158.58,3,NA
2020-03-13,263.94,-3,NA
2020-03-14,271.72,NA,NA
2020-03-15,218.7,NA,NA
2020-03-16,157.1,-16,NA
2020-03-17,148.66,-6,NA
2020-03-18,153.49,-16,NA
2020-03-19,174.46,-17,NA
2020-03-20,202.48,-21,NA
2020-03-21,187.67,NA,NA
2020-03-22,128.22,NA,NA
2020-03-23,108.38,-22,NA
2020-03-24,95.11,-23,NA
2020-03-25,97.39,-27,NA
2020-03-26,98.46,-26,NA
2020-03-27,103.62,-23,NA
2020-03-28,97.12,NA,NA
2020-03-29,74.33,NA,NA
2020-03-30,83.51,-28,NA
2020-03-31,76.27,-33,NA
2020-04-01,75.4,-30,NA
2020-04-02,80.63,-31,NA
2020-04-03,73.59,-35,NA
2020-04-04,65.95,NA,NA
2020-04-05,55.16,NA,NA
2020-04-06,50.74,-37,NA
2020-04-07,55.56,-39,NA
2020-04-08,62.47,-34,NA
2020-04-09,66.35,-37,NA
2020-04-10,70.71,-42,NA
2020-04-11,65.95,NA,NA
2020-04-12,46.72,NA,NA
2020-04-13,66.76,-35,NA
2020-04-14,72.18,-29,NA
2020-04-15,69.37,-29,NA
2020-04-16,73.39,-28,NA
2020-04-17,83.65,-31,NA
2020-04-18,76.01,NA,NA
