date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,125.3,-3,NA
2020-02-16,101.4,1,NA
2020-02-17,100.95,-11,4
2020-02-18,105.49,-13,5
2020-02-19,106.03,-1,1
2020-02-20,114.93,2,1
2020-02-21,138.42,2,0
2020-02-22,127.99,-1,NA
2020-02-23,92.6,2,NA
2020-02-24,111.11,1,0
2020-02-25,114.29,1,0
2020-02-26,89.29,-3,4
2020-02-27,103.72,-18,8
2020-02-28,126.56,-8,3
2020-02-29,126.05,1,NA
2020-03-01,94.85,4,NA
2020-03-02,104.09,2,0
2020-03-03,111.46,2,-1
2020-03-04,109.58,3,-1
2020-03-05,123.73,3,0
2020-03-06,129.9,-2,2
2020-03-07,136.75,2,NA
2020-03-08,91.82,-1,NA
2020-03-09,107.3,4,-1
2020-03-10,111.18,2,0
2020-03-11,109.31,3,0
2020-03-12,109.79,2,0
2020-03-13,106.38,0,2
2020-03-14,100.75,-2,NA
2020-03-15,80.02,-10,NA
2020-03-16,90.52,-15,5
2020-03-17,89.74,-19,8
2020-03-18,85.37,-21,9
2020-03-19,81.28,-23,10
2020-03-20,87.25,-27,14
2020-03-21,74.16,-24,NA
2020-03-22,62.6,-25,NA
2020-03-23,68.29,-34,13
2020-03-24,54.01,-47,20
2020-03-25,58.75,-48,19
2020-03-26,59.5,-48,21
2020-03-27,63.65,-48,23
2020-03-28,47.53,-40,NA
2020-03-29,48.76,-37,NA
2020-03-30,55.47,-50,21
2020-03-31,54.69,-53,22
2020-04-01,65.16,-52,21
2020-04-02,64.47,-52,21
2020-04-03,63.35,-52,23
2020-04-04,53.73,-40,NA
2020-04-05,43.57,-37,NA
2020-04-06,65.7,-52,20
2020-04-07,61.64,-54,22
2020-04-08,70.47,-54,20
2020-04-09,63.14,-54,24
2020-04-10,65.22,-59,27
2020-04-11,56.05,-38,NA
2020-04-12,35.32,-41,NA
2020-04-13,58.88,-52,23
2020-04-14,63.72,-54,22
2020-04-15,73.75,-52,21
2020-04-16,68.94,-53,22
2020-04-17,85.44,-54,25
2020-04-18,79.24,-35,NA
2020-04-19,60.69,-37,NA
2020-04-20,88.51,-48,18
2020-04-21,76.78,-52,22
2020-04-22,82.68,-52,20
2020-04-23,82.07,-51,22
2020-04-24,92.77,-51,22
2020-04-25,87.73,-35,NA
2020-04-26,78.69,-31,NA
2020-04-27,88.17,-46,16
2020-04-28,91.61,-48,11
2020-04-29,86.98,-47,19
2020-04-30,86.02,-48,19
2020-05-01,112.17,-47,17
2020-05-02,100.65,-30,NA
2020-05-03,86.09,-32,NA
2020-05-04,104.94,-42,15
2020-05-05,101.36,-46,16
2020-05-06,112.55,-42,15
2020-05-07,114.25,-43,16
2020-05-08,110.84,-44,18
2020-05-09,113.81,-25,NA
2020-05-10,81.49,-26,NA
2020-05-11,NA,-40,15
2020-05-12,NA,-41,14
2020-05-13,130.58,-40,12
2020-05-14,115.75,-40,17
2020-05-15,135.66,-39,15
2020-05-16,136.86,-26,NA
2020-05-17,93.9,-28,NA
2020-05-18,116.02,-36,15
2020-05-19,142.96,-37,13
2020-05-20,164.51,-36,11
2020-05-21,147.9,-37,11
2020-05-22,166.35,-40,11
2020-05-23,161.13,-24,NA
2020-05-24,125.95,-23,NA
2020-05-25,124.75,-70,NA
2020-05-26,155.57,-34,10
2020-05-27,150.63,-34,11
2020-05-28,153.63,-32,12
2020-05-29,160.42,-32,13
2020-05-30,153.32,-13,NA
2020-05-31,121.14,-15,NA
2020-06-01,134.03,-28,7
2020-06-02,150.46,-27,8
2020-06-03,143.98,-27,8
2020-06-04,162.87,-29,7
2020-06-05,165.43,-30,9
2020-06-06,163.59,-13,NA
2020-06-07,142.48,-10,NA
2020-06-08,167,-26,6
2020-06-09,159.32,-28,7
2020-06-10,139.45,-29,10
2020-06-11,170.03,-28,7
2020-06-12,194.72,-28,7
2020-06-13,175.32,-6,NA
2020-06-14,163.55,-8,NA
2020-06-15,152.71,-23,5
2020-06-16,167.98,-26,5
2020-06-17,167.78,-27,4
2020-06-18,173.71,-28,4
2020-06-19,204.23,-29,4
2020-06-20,195.81,-10,NA
2020-06-21,132.12,-4,NA
2020-06-22,165.8,-27,5
2020-06-23,168.05,-28,7
2020-06-24,171.29,-26,4
2020-06-25,193.08,-27,4
2020-06-26,208.69,-29,4
2020-06-27,216.47,-10,NA
2020-06-28,182.44,-6,NA
2020-06-29,170.51,-26,4
2020-06-30,177.94,-25,4
2020-07-01,181.25,-26,3
2020-07-02,209.92,-32,3
2020-07-03,197.65,-54,9
2020-07-04,161.27,-28,NA
2020-07-05,173.34,-16,NA
2020-07-06,182.3,-31,6
2020-07-07,177.46,-29,6
2020-07-08,180.94,-26,5
2020-07-09,179.41,-26,6
2020-07-10,207.5,-30,8
2020-07-11,211.05,-9,NA
2020-07-12,177.63,-8,NA
2020-07-13,185.2,-24,4
2020-07-14,191.92,-25,5
2020-07-15,183.05,-25,4
2020-07-16,181.52,-26,7
2020-07-17,237.16,-29,6
2020-07-18,219.47,-9,NA
2020-07-19,171.91,-12,NA
2020-07-20,185.51,-26,5
2020-07-21,184.49,-27,5
2020-07-22,182.17,-25,5
2020-07-23,203.58,-25,5
2020-07-24,227.31,-29,5
2020-07-25,221.68,-11,NA
2020-07-26,188.14,-10,NA
2020-07-27,159.39,-27,6
2020-07-28,185.27,-27,5
2020-07-29,177.33,-27,5
2020-07-30,197.03,-27,4
2020-07-31,197,-31,4
2020-08-01,197.17,-10,NA
2020-08-02,141.53,-13,NA
2020-08-03,162.02,-27,6
2020-08-04,168.84,-27,6
2020-08-05,179.88,-26,4
2020-08-06,176.34,-26,5
2020-08-07,199.28,-28,4
2020-08-08,225.16,-10,NA
2020-08-09,171.53,-11,NA
2020-08-10,172.93,-25,5
2020-08-11,176.34,-25,5
2020-08-12,172.14,-25,5
2020-08-13,197.44,-27,5
2020-08-14,207.33,-30,5
2020-08-15,202.45,-12,NA
2020-08-16,162.26,-12,NA
2020-08-17,166.42,-27,4
2020-08-18,173.03,-26,5
2020-08-19,178.93,-26,4
2020-08-20,192.23,-25,4
2020-08-21,199.83,-28,4
2020-08-24,169.86,-24,4
2020-08-25,167.54,-24,4
2020-08-26,158.71,-24,6
2020-08-27,176.82,-23,4
2020-08-28,180.53,-27,8
2020-08-31,152.81,-23,3
2020-09-01,165.05,-24,4
2020-09-02,175.08,-22,4
2020-09-03,190.35,-24,2
2020-09-04,220.18,-31,4
2020-09-07,175.21,-68,NA
2020-09-08,146.78,-27,6
2020-09-09,162.5,-23,3
2020-09-10,170.3,-24,2
2020-09-11,182.95,-24,-1
2020-09-12,199.35,-7,NA
2020-09-13,151.99,-8,NA
2020-09-14,157.35,-18,1
2020-09-15,157.28,-19,2
2020-09-16,161.71,-20,1
2020-09-17,171.74,-20,2
2020-09-18,199.28,-21,1
2020-09-19,187.59,-4,NA
2020-09-20,151.82,-5,NA
2020-09-21,153.9,-18,2
2020-09-22,151.62,-21,3
2020-09-23,159.7,-17,2
2020-09-24,169.49,-20,3
2020-09-25,195.87,-21,2
2020-09-26,197.58,-5,-2
2020-09-27,159.6,-3,-3
2020-09-28,154.48,-18,6
2020-09-29,155.47,-17,3
2020-09-30,155.03,-18,5
2020-10-01,162.77,-16,2
2020-10-02,175.76,-18,1
2020-10-03,183.19,-7,-2
2020-10-04,132.94,-12,-2
2020-10-05,145.48,-17,1
2020-10-06,151.99,-17,2
2020-10-07,140.71,-18,2
2020-10-08,161.78,-18,2
2020-10-09,203.27,-17,2
2020-10-10,202.76,-1,-2
2020-10-11,155.17,0,-3
2020-10-12,156.29,-17,3
2020-10-13,156.29,-17,3
2020-10-14,150.97,-17,3
2020-10-15,160.21,-17,5
2020-10-16,196.32,-18,4
2020-10-17,187.35,-7,0
2020-10-18,126.76,-6,0
2020-10-19,144.8,-15,3
2020-10-20,152.64,-16,4
2020-10-21,146.2,-16,4
2020-10-22,155.51,-16,6
2020-10-23,175.21,-19,5
2020-10-24,179.85,-1,-1
2020-10-25,123.59,-4,-1
2020-10-26,133.72,-15,4
2020-10-27,145.93,-16,6
2020-10-28,137.85,-15,4
2020-10-29,145.11,-17,5
2020-10-30,171.97,-17,5
2020-10-31,147.97,-3,-1
2020-11-01,107.13,-11,2
2020-11-02,121.48,-15,5
2020-11-03,124.31,-17,3
