date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,136.17,NA,NA
2020-02-16,107.03,NA,NA
2020-02-17,129.14,-20,NA
2020-02-18,117.17,-9,NA
2020-02-19,106.85,0,NA
2020-02-20,125.67,1,NA
2020-02-21,140.59,6,NA
2020-02-22,125.24,NA,NA
2020-02-23,93.32,NA,NA
2020-02-24,110.15,1,NA
2020-02-25,107.98,1,NA
2020-02-26,116.83,4,NA
2020-02-27,119.08,5,NA
2020-02-28,152.39,8,NA
2020-02-29,132.87,NA,NA
2020-03-01,113.18,NA,NA
2020-03-02,110.06,7,NA
2020-03-03,136.69,0,NA
2020-03-04,120.21,1,NA
2020-03-05,116.83,7,NA
2020-03-06,156.46,8,NA
2020-03-07,155.77,NA,NA
2020-03-08,127.23,NA,NA
2020-03-09,130.36,6,NA
2020-03-10,129.31,7,NA
2020-03-11,114.83,2,NA
2020-03-12,128.79,7,NA
2020-03-13,144.93,4,NA
2020-03-14,124.72,NA,NA
2020-03-15,93.32,NA,NA
2020-03-16,95.75,-17,NA
2020-03-17,103.9,-26,NA
2020-03-18,98.87,-29,NA
2020-03-19,110.49,-22,NA
2020-03-20,121.08,-33,NA
2020-03-21,101.56,NA,NA
2020-03-22,71.21,NA,NA
2020-03-23,116.83,-37,NA
2020-03-24,92.89,-44,NA
2020-03-25,101.39,-40,NA
2020-03-26,116.48,-44,NA
2020-03-27,114.31,-39,NA
2020-03-28,88.38,NA,NA
2020-03-29,98.61,NA,NA
2020-03-30,94.8,-29,NA
2020-03-31,78.49,-38,NA
2020-04-01,84.56,-35,NA
2020-04-02,91.15,-32,NA
2020-04-03,82.39,-32,NA
2020-04-04,72.33,NA,NA
2020-04-05,70.86,NA,NA
2020-04-06,91.93,-35,NA
2020-04-07,89.94,-41,NA
2020-04-08,90.81,-38,NA
2020-04-09,93.15,-35,NA
2020-04-10,104.34,-38,NA
2020-04-13,106.07,-29,NA
2020-04-14,100.87,-37,NA
2020-04-15,108.76,-37,NA
2020-04-16,119.77,-34,NA
2020-04-17,107.72,-34,NA
2020-04-20,111.45,-35,NA
2020-04-21,106.07,-38,NA
2020-04-22,94.54,-37,NA
2020-04-23,110.32,-32,NA
2020-04-24,124.37,-31,NA
2020-04-27,108.07,-33,NA
2020-04-28,105.55,-32,NA
2020-04-29,108.67,-32,NA
2020-04-30,133.39,-29,NA
2020-05-01,161.32,-32,NA
2020-05-04,132.96,-32,NA
2020-05-05,124.63,-34,NA
2020-05-06,113.96,-31,NA
2020-05-07,116.83,-32,NA
2020-05-08,149.61,-29,NA
2020-05-11,NA,-31,NA
2020-05-12,NA,-37,NA
2020-05-13,150.3,-25,NA
2020-05-14,157.85,-31,NA
2020-05-15,158.02,-30,NA
2020-05-18,156.2,-27,NA
2020-05-19,148.22,-33,NA
2020-05-20,158.89,-28,NA
2020-05-21,174.67,-28,NA
2020-05-22,252.65,-30,NA
2020-05-25,211.27,-57,NA
2020-05-26,171.12,-34,NA
2020-05-27,153.25,-32,NA
2020-05-28,147.7,-30,NA
2020-05-29,237.73,-24,NA
2020-06-01,193.84,-26,NA
2020-06-02,157.76,-30,NA
2020-06-03,171.64,-29,NA
2020-06-04,157.85,-26,NA
2020-06-05,231.83,-20,NA
2020-06-08,174.33,-24,NA
2020-06-09,187.6,-25,NA
2020-06-10,173.98,-22,NA
2020-06-11,209.37,-24,NA
2020-06-12,271.64,-21,NA
2020-06-15,191.5,-28,NA
2020-06-16,205.2,-24,NA
2020-06-17,200.09,-24,NA
2020-06-18,220.29,-27,NA
2020-06-19,291.76,-24,NA
2020-06-22,195.66,-29,NA
2020-06-23,208.33,-32,NA
2020-06-24,231.05,-25,NA
2020-06-25,230.18,-21,NA
2020-06-26,304.51,-24,NA
2020-06-29,181.79,-30,NA
2020-06-30,228.45,-30,NA
2020-07-01,230.7,-24,NA
2020-07-02,302.08,-29,NA
2020-07-03,428.79,-39,NA
2020-07-06,236.86,-32,NA
2020-07-07,235.47,-29,NA
2020-07-08,206.16,-27,NA
2020-07-09,241.11,-27,NA
2020-07-10,314.14,-23,NA
2020-07-13,199.83,-27,NA
2020-07-14,213.96,-29,NA
2020-07-15,216.48,-23,NA
2020-07-16,245.62,-23,NA
2020-07-17,295.66,-19,NA
2020-07-20,204.77,-29,NA
2020-07-21,192.89,-30,NA
2020-07-22,200.35,-29,NA
2020-07-23,223.59,-20,NA
2020-07-24,308.24,-26,NA
2020-07-27,211.97,-28,NA
2020-07-28,214.48,-30,NA
2020-07-29,225.5,-25,NA
2020-07-30,240.94,-20,NA
2020-07-31,278.66,-22,NA
2020-08-03,217.78,-29,NA
2020-08-04,216.65,-29,NA
2020-08-05,234.78,-25,NA
2020-08-06,244.32,-22,NA
2020-08-07,281.7,-23,NA
2020-08-10,210.58,-28,NA
2020-08-11,180.83,-30,NA
2020-08-12,160.8,-23,NA
2020-08-13,194.88,-21,NA
2020-08-14,293.32,-23,NA
2020-09-11,247.09,-20,NA
2020-09-14,180.57,-21,NA
2020-09-15,183.52,-19,NA
2020-09-16,159.84,-15,NA
2020-09-17,198.61,-22,NA
2020-09-18,224.8,-16,NA
2020-09-21,177.97,-23,NA
2020-09-22,170.95,-23,NA
2020-09-23,162.45,-18,NA
2020-09-24,185.52,-12,NA
2020-09-25,249.96,-17,NA
2020-09-28,171.47,-18,NA
2020-09-29,140.59,-17,NA
2020-09-30,154.99,-19,NA
2020-10-01,184.48,-10,NA
2020-10-02,217.35,-16,NA
2020-10-05,153.08,-16,NA
2020-10-06,147.18,-18,NA
2020-10-07,146.05,-13,NA
2020-10-08,175.2,-12,NA
2020-10-09,237.47,-14,NA
2020-10-12,218.65,-20,NA
2020-10-13,167.22,-18,NA
2020-10-14,165.39,-16,NA
2020-10-15,197.22,-15,NA
2020-10-16,239.9,-17,NA
2020-10-19,150.39,-18,NA
2020-10-20,160.8,-14,NA
2020-10-21,169.12,0,NA
2020-10-22,205.72,-13,NA
2020-10-23,259.67,-13,NA
2020-10-26,150.82,-16,NA
2020-10-27,142.32,-16,NA
2020-10-28,132.44,-16,NA
2020-10-29,163.23,-10,NA
2020-10-30,210.41,-8,NA
2020-11-02,152.56,-14,NA
2020-11-03,159.58,-18,NA
