date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,122.76,-2,NA
2020-02-16,84.42,0,NA
2020-02-17,117.67,-10,4
2020-02-18,117.34,-5,2
2020-02-19,117.08,6,0
2020-02-20,118.34,0,2
2020-02-21,130.96,3,3
2020-02-22,124.39,7,NA
2020-02-23,92.62,5,NA
2020-02-24,121.3,6,0
2020-02-25,117.77,4,1
2020-02-26,117.48,4,0
2020-02-27,132.46,6,-2
2020-02-28,154.82,6,-2
2020-02-29,159.24,4,NA
2020-03-01,101.43,5,NA
2020-03-02,115.25,7,-2
2020-03-03,121.63,9,-3
2020-03-04,117.21,4,2
2020-03-05,119.44,4,3
2020-03-06,169.07,2,0
2020-03-07,133.16,7,NA
2020-03-08,102.89,9,NA
2020-03-09,118.27,7,0
2020-03-10,130.17,7,-2
2020-03-11,120.33,5,0
2020-03-12,130.07,3,-1
2020-03-13,149.04,1,0
2020-03-14,136.15,7,NA
2020-03-15,91.06,5,NA
2020-03-16,110.76,2,0
2020-03-17,97.74,-10,5
2020-03-18,101.43,-11,5
2020-03-19,109.93,-14,6
2020-03-20,111.36,-15,7
2020-03-21,92.36,-6,NA
2020-03-22,64.49,-11,NA
2020-03-23,84.62,-17,9
2020-03-24,85.18,-21,9
2020-03-25,81.83,-24,10
2020-03-26,84.49,-22,11
2020-03-27,90.5,-23,NA
2020-03-28,76.28,-15,NA
2020-03-29,58.94,-23,NA
2020-03-30,73.92,-23,10
2020-03-31,75.12,-27,11
2020-04-01,78.87,-27,11
2020-04-02,79.24,-28,11
2020-04-03,73.99,-31,NA
2020-04-04,50.27,-28,NA
2020-04-05,47.04,-38,NA
2020-04-06,74.72,-37,NA
2020-04-07,83.75,-36,NA
2020-04-08,77.28,-38,NA
2020-04-09,81.16,-39,NA
2020-04-10,88.87,-42,NA
2020-04-11,72.86,-28,NA
2020-04-12,50.2,-36,NA
2020-04-13,80.27,-34,NA
2020-04-14,90.9,-31,NA
2020-04-15,82.86,-32,NA
2020-04-16,96.41,-30,NA
2020-04-17,105.78,-29,NA
2020-04-18,86.58,-18,NA
2020-04-19,66.18,-29,NA
2020-04-20,99.93,-28,NA
2020-04-21,104.39,-27,11
2020-04-22,99.1,-28,12
2020-04-23,91.89,-29,NA
2020-04-24,124.49,-30,NA
2020-04-25,107.18,-20,NA
2020-04-26,79.63,-24,NA
2020-04-27,107.84,-24,10
2020-04-28,114.72,-25,4
2020-04-29,113.39,-28,10
2020-04-30,123.62,-27,10
2020-05-01,125.75,-24,NA
2020-05-02,112.19,-11,NA
2020-05-03,86.78,-18,NA
2020-05-04,121.2,-22,7
2020-05-05,122.26,-22,7
2020-05-06,128.11,-22,8
2020-05-07,131.56,-23,9
2020-05-08,146.61,-23,NA
2020-05-09,136.88,-10,NA
2020-05-10,97.24,-20,NA
2020-05-11,NA,-18,7
2020-05-12,NA,-19,8
2020-05-13,141.93,-21,9
2020-05-14,141.63,-17,7
2020-05-15,185.55,-18,10
2020-05-16,154.98,-6,NA
2020-05-17,120.86,-14,NA
2020-05-18,137.18,-18,7
2020-05-19,143.22,-18,7
2020-05-20,134.95,-20,10
2020-05-21,150.47,-23,9
2020-05-22,188.24,-21,9
