date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,203.04,1,NA
2020-02-16,108.94,-2,NA
2020-02-17,158.02,-32,NA
2020-02-18,139.29,1,0
2020-02-19,127.18,2,0
2020-02-20,128.85,-1,0
2020-02-21,165.42,2,0
2020-02-22,204.48,-4,NA
2020-02-23,104.88,-1,NA
2020-02-24,114.4,5,-1
2020-02-25,111.39,3,-1
2020-02-26,115.42,2,-2
2020-02-27,122.7,2,-1
2020-02-28,151.59,5,-1
2020-02-29,164.13,0,NA
2020-03-01,95.24,1,NA
2020-03-02,114.95,3,-1
2020-03-03,113.15,2,0
2020-03-04,115.97,2,0
2020-03-05,125.29,5,-1
2020-03-06,152.82,5,-1
2020-03-07,154.81,-9,NA
2020-03-08,97.88,4,NA
2020-03-09,115.2,6,-1
2020-03-10,120.38,1,0
2020-03-11,117.59,2,0
2020-03-12,114.57,1,1
2020-03-13,126.88,0,4
2020-03-14,122.07,-9,NA
2020-03-15,99.03,-21,NA
2020-03-16,98.83,-24,NA
2020-03-17,89.21,-35,NA
2020-03-18,73.22,-44,NA
2020-03-19,74.31,-41,NA
2020-03-20,88.17,-41,NA
2020-03-21,85.2,-39,NA
2020-03-22,61.46,-56,NA
2020-03-23,70.45,-44,NA
2020-03-24,66.79,-47,NA
2020-03-25,61.78,-49,NA
2020-03-26,66.42,-48,NA
2020-03-27,73.04,-47,NA
2020-03-28,69.41,-48,NA
2020-03-29,52.24,-60,NA
2020-03-30,63.63,-49,NA
2020-03-31,74.74,-50,NA
2020-04-01,62.13,-52,NA
2020-04-02,69.01,-52,NA
2020-04-03,86.37,-50,NA
2020-04-04,72.8,-54,NA
2020-04-05,50.02,-63,NA
2020-04-06,72.7,-52,NA
2020-04-07,70.85,-52,NA
2020-04-08,83.86,-55,NA
2020-04-09,92.75,-54,NA
2020-04-10,100.12,-54,NA
2020-04-11,80.94,-54,NA
2020-04-12,48.13,-60,NA
2020-04-13,75.86,-48,NA
2020-04-14,75.01,-47,NA
2020-04-15,73.34,-49,NA
2020-04-16,75.64,-51,NA
2020-04-17,94.64,-47,NA
2020-04-18,92.95,-45,NA
2020-04-19,65.77,-60,NA
2020-04-20,96.81,-48,NA
2020-04-21,92.6,-47,NA
2020-04-22,96.09,-48,NA
2020-04-23,92.13,-48,NA
2020-04-24,115.72,-44,NA
2020-04-25,123.87,-48,NA
2020-04-26,114.87,-55,NA
2020-04-27,106.13,-46,NA
2020-04-28,109.59,-48,NA
2020-04-29,112.98,-49,NA
2020-04-30,113.03,-50,NA
2020-05-01,145.89,-45,NA
2020-05-02,146.09,-43,NA
2020-05-03,101.22,-52,NA
2020-05-04,125.26,-41,NA
2020-05-05,123.04,-40,NA
2020-05-06,138.29,-42,NA
2020-05-07,125.86,-42,NA
2020-05-08,152.07,-42,NA
2020-05-09,180.79,-38,NA
2020-05-10,113.38,-50,NA
2020-05-11,NA,-40,NA
2020-05-12,NA,-39,NA
2020-05-13,144.49,-43,NA
2020-05-14,139.36,-41,NA
2020-05-15,172.25,-37,NA
2020-05-16,189.16,-38,NA
2020-05-17,146.06,-46,NA
2020-05-18,160.09,-38,NA
2020-05-19,150.8,-38,NA
2020-05-20,153.16,-40,NA
2020-05-21,174.84,-37,NA
2020-05-22,215.6,-37,NA
2020-05-23,228.85,-33,NA
2020-05-24,180.52,-38,NA
2020-05-25,237.67,-67,NA
2020-05-26,177.03,-34,NA
2020-05-27,168.06,-35,NA
2020-05-28,187.42,-35,NA
2020-05-29,227.35,-34,NA
2020-05-30,248.95,-23,NA
2020-05-31,181.51,-35,NA
2020-06-01,176.51,-31,NA
2020-06-02,182.29,-35,NA
2020-06-03,175.39,-36,NA
2020-06-04,190.68,-35,NA
2020-06-05,229.02,-33,NA
2020-06-06,195.12,-26,NA
2020-06-07,138.09,-39,NA
2020-06-08,166.67,-35,NA
2020-06-09,188.96,-33,NA
2020-06-10,206.23,-34,NA
2020-06-11,227.88,-34,NA
2020-06-12,284.63,-32,NA
2020-06-13,315.97,-23,NA
2020-06-14,219.51,-35,NA
2020-06-15,210.91,-32,NA
2020-06-16,213.98,-33,NA
