date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,137.74,-1,0
2020-02-16,100.12,1,0
2020-02-17,100.9,-11,3
2020-02-18,101.93,0,0
2020-02-19,104.49,3,-1
2020-02-20,114.51,1,0
2020-02-21,137.71,3,-2
2020-02-22,150.07,1,-1
2020-02-23,93.62,1,1
2020-02-24,97.77,2,1
2020-02-25,103.26,1,1
2020-02-26,109.62,3,0
2020-02-27,113.11,2,-1
2020-02-28,144.31,3,-4
2020-02-29,150.94,0,-2
2020-03-01,97.42,3,-2
2020-03-02,103.25,2,0
2020-03-03,110.78,2,-1
2020-03-04,114.88,5,-1
2020-03-05,122.33,2,-2
2020-03-06,157.44,4,-3
2020-03-07,161.61,4,-2
2020-03-08,107.01,2,-1
2020-03-09,105.48,0,2
2020-03-10,115.88,1,-1
2020-03-11,113.63,3,-1
2020-03-12,111.31,0,-2
2020-03-13,114.48,-2,0
2020-03-14,102.59,-6,5
2020-03-15,73.89,-6,3
2020-03-16,79.95,-21,10
2020-03-17,79.22,-25,10
2020-03-18,73.79,-27,11
2020-03-19,66.41,-35,15
2020-03-20,75.77,-34,13
2020-03-21,62.35,-22,9
2020-03-22,43.3,-32,10
2020-03-23,62.98,-40,16
2020-03-24,65.67,-42,16
2020-03-25,69.76,-41,14
2020-03-26,73.11,-43,15
2020-03-27,71.66,-43,16
2020-03-28,61.67,-31,12
2020-03-29,56.85,-34,8
2020-03-30,59.57,-42,17
2020-03-31,65.62,-43,16
2020-04-01,66.67,-42,15
2020-04-02,67.74,-44,16
2020-04-03,66.96,-45,19
2020-04-04,56.65,-34,14
2020-04-05,44.92,-36,11
2020-04-06,63.07,-44,17
2020-04-07,66.46,-45,16
2020-04-08,70.83,-43,15
2020-04-09,69.36,-46,16
2020-04-10,79.66,-47,17
2020-04-11,64.28,-33,12
2020-04-12,38.38,-42,12
2020-04-13,63.4,-44,18
2020-04-14,65.84,-43,18
2020-04-15,75.49,-41,15
2020-04-16,78.74,-43,15
2020-04-17,79.8,-42,17
2020-04-18,77.91,-32,10
2020-04-19,52.94,-35,11
2020-04-20,77.33,-42,15
2020-04-21,91.59,-42,15
2020-04-22,67.95,-43,19
2020-04-23,79.87,-43,16
2020-04-24,84.51,-42,17
2020-04-25,82.94,-25,9
2020-04-26,70.52,-32,6
2020-04-27,76.75,-41,17
2020-04-28,75.3,-42,10
2020-04-29,84.35,-40,14
2020-04-30,93.24,-41,13
2020-05-01,103.08,-40,12
2020-05-02,95.56,-25,6
2020-05-03,68.08,-30,8
2020-05-04,83.22,-40,16
