date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,130.39,4,NA
2020-02-16,80.24,1,NA
2020-02-17,115.25,2,1
2020-02-18,113.61,5,0
2020-02-19,112.44,5,1
2020-02-20,121.77,-1,3
2020-02-21,138.55,0,1
2020-02-22,194.55,0,NA
2020-02-23,105.28,5,NA
2020-02-24,122.97,-11,NA
2020-02-25,107.26,-30,NA
2020-02-26,126.08,-8,1
2020-02-27,127.78,2,0
2020-02-28,141.22,1,-1
2020-02-29,139.12,0,NA
2020-03-01,95.79,4,NA
2020-03-02,117.59,5,-3
2020-03-03,132.2,5,-2
2020-03-04,111.67,3,2
2020-03-05,134.4,0,-2
2020-03-06,149.85,2,0
2020-03-07,153.36,2,NA
2020-03-08,105.68,3,NA
2020-03-09,115.71,6,-2
2020-03-10,118.46,2,1
2020-03-11,128.79,6,-1
2020-03-12,131.9,0,-2
2020-03-13,135.21,-2,-1
2020-03-14,125.64,4,NA
2020-03-15,90.71,8,NA
2020-03-16,105.42,-3,2
2020-03-17,99.7,-15,NA
2020-03-18,101.27,-16,NA
2020-03-19,108.19,-20,NA
2020-03-20,106.82,-22,NA
2020-03-21,96.16,-12,NA
2020-03-22,70.88,-16,NA
2020-03-23,97.43,-25,NA
2020-03-24,85.52,-32,NA
2020-03-25,89.3,-32,NA
2020-03-26,96.29,-33,NA
2020-03-27,96.39,-33,NA
2020-03-28,87.7,-21,NA
2020-03-29,68.81,-20,NA
2020-03-30,92.34,-30,NA
2020-03-31,83.42,-36,NA
2020-04-01,90.3,-36,NA
2020-04-02,83.82,-37,NA
2020-04-03,95.42,-36,NA
2020-04-04,78.1,-19,NA
2020-04-05,59.58,-15,NA
2020-04-06,83.22,-33,NA
2020-04-07,79.3,-37,NA
2020-04-08,88.97,-35,NA
2020-04-09,93.71,-37,NA
2020-04-10,88.4,-46,NA
2020-04-11,86.33,-22,NA
2020-04-12,54.8,-30,NA
2020-04-13,91.88,-32,NA
2020-04-14,86.53,-34,NA
2020-04-15,103.24,-31,NA
2020-04-16,97.86,-35,NA
2020-04-17,114.31,-33,NA
2020-04-18,105.32,-21,NA
2020-04-19,66.57,-22,NA
2020-04-20,97.83,-31,NA
2020-04-21,102.27,-31,NA
2020-04-22,100.7,-33,NA
2020-04-23,106.35,-35,NA
2020-04-24,116.25,-31,NA
2020-04-25,121.56,-13,NA
2020-04-26,90.17,-17,NA
2020-04-27,104.88,-26,NA
2020-04-28,118.99,-30,NA
2020-04-29,104.38,-30,NA
2020-04-30,117.79,-29,NA
2020-05-01,141.96,-28,NA
2020-05-02,137.08,-7,NA
2020-05-03,109.8,-12,NA
2020-05-04,123.77,-24,NA
2020-05-05,119.63,-25,NA
2020-05-06,124.84,-26,NA
2020-05-07,142.9,-30,NA
2020-05-08,127.15,-31,NA
2020-05-09,148.81,-8,NA
2020-05-10,114.01,-12,NA
2020-05-11,NA,-21,NA
2020-05-12,NA,-21,NA
2020-05-13,130.29,-24,NA
2020-05-14,127.05,-32,NA
2020-05-15,148.85,-26,NA
2020-05-16,151.49,-7,NA
2020-05-17,115.28,-8,NA
2020-05-18,136.48,-19,NA
2020-05-19,135.34,-21,NA
2020-05-20,142.46,-23,NA
2020-05-21,150.55,-23,NA
2020-05-22,160.95,-22,NA
2020-05-23,169.91,-6,NA
2020-05-24,141.96,-6,NA
2020-05-25,129.49,-48,NA
2020-05-26,142.59,-21,NA
2020-05-27,142.36,-21,NA
2020-05-28,163.19,-20,NA
2020-05-29,164.36,-22,NA
2020-05-30,172.18,5,NA
2020-05-31,148.98,0,NA
2020-06-01,158.78,-17,NA
2020-06-02,163.76,-19,NA
2020-06-03,154.06,-17,NA
2020-06-04,166.1,-20,NA
2020-06-05,165.4,-21,NA
2020-06-06,154.36,2,NA
