date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,133.61,-2,0
2020-02-16,112.4,2,0
2020-02-17,129.68,-26,5
2020-02-18,122.04,2,0
2020-02-19,106.27,1,0
2020-02-20,111.76,2,0
2020-02-21,141.18,2,1
2020-02-22,140.73,3,-1
2020-02-23,118.08,4,-1
2020-02-24,112.27,4,0
2020-02-25,105.03,2,0
2020-02-26,106.8,1,-1
2020-02-27,122.49,1,1
2020-02-28,142.89,2,0
2020-02-29,140.02,1,-1
2020-03-01,115.53,4,-1
2020-03-02,114.98,4,0
2020-03-03,109.43,3,-1
2020-03-04,112.97,3,-1
2020-03-05,118.94,3,-1
2020-03-06,142.45,1,1
2020-03-07,142.43,3,-2
2020-03-08,115.53,2,-2
2020-03-09,116.8,2,-1
2020-03-10,112.79,2,0
2020-03-11,109.21,1,0
2020-03-12,119.42,1,-1
2020-03-13,129.26,-1,1
2020-03-14,120.95,1,2
2020-03-15,90.02,-4,3
2020-03-16,95.86,-15,5
2020-03-17,91.27,-21,9
2020-03-18,85.55,-25,10
2020-03-19,90.32,-28,11
2020-03-20,93.1,-30,14
2020-03-21,82.03,-22,10
2020-03-22,64.95,-27,8
2020-03-23,67.56,-35,15
2020-03-24,66.81,-38,15
2020-03-25,62.8,-41,17
2020-03-26,71.95,-40,17
2020-03-27,79.86,-40,18
2020-03-28,65.91,-31,13
2020-03-29,62.26,-32,10
2020-03-30,72.11,-39,14
2020-03-31,55.9,-44,19
2020-04-01,60.92,-45,18
2020-04-02,61.31,-45,19
2020-04-03,69.82,-44,20
2020-04-04,60.85,-32,13
2020-04-05,52.15,-36,11
2020-04-06,65.62,-43,17
2020-04-07,61.89,-44,18
2020-04-08,64.68,-45,17
2020-04-09,65.37,-47,20
2020-04-10,72.72,-51,23
2020-04-11,66.01,-33,12
2020-04-12,47.7,-39,11
2020-04-13,64.54,-47,19
2020-04-14,69.38,-44,18
2020-04-15,79.15,-44,17
2020-04-16,76.91,-44,18
2020-04-17,83.13,-45,20
2020-04-18,77.26,-30,13
2020-04-19,70.31,-33,9
2020-04-20,78.44,-41,16
2020-04-21,74.05,-43,17
2020-04-22,82.18,-43,17
2020-04-23,81.28,-43,19
2020-04-24,87.27,-44,21
2020-04-25,89.38,-28,10
2020-04-26,61.95,-36,11
2020-04-27,82.99,-42,16
2020-04-28,78.95,-42,12
2020-04-29,88.86,-43,16
2020-04-30,82.84,-44,20
2020-05-01,104.01,-42,18
2020-05-02,103.46,-26,9
2020-05-03,79.73,-28,8
2020-05-04,94.35,-38,14
2020-05-05,89.82,-40,15
2020-05-06,87.68,-41,17
2020-05-07,101.5,-40,15
2020-05-08,105.86,-41,19
2020-05-09,103.41,-25,10
2020-05-10,88.77,-24,6
2020-05-11,NA,-38,15
2020-05-12,NA,-38,14
2020-05-13,107.28,-39,13
2020-05-14,109.44,-38,15
2020-05-15,134.66,-39,15
2020-05-16,135.7,-22,6
2020-05-17,108.92,-26,6
2020-05-18,115.33,-34,13
2020-05-19,122.73,-35,13
2020-05-20,128.13,-36,13
2020-05-21,127.57,-36,13
2020-05-22,145.49,-38,16
2020-05-23,149.51,-20,5
2020-05-24,122.15,-22,4
2020-05-25,123.27,-72,19
2020-05-26,132.09,-35,11
2020-05-27,136.74,-34,11
2020-05-28,132.63,-35,13
2020-05-29,151.16,-33,13
2020-05-30,158.71,-9,4
2020-05-31,137.28,-12,3
2020-06-01,132.56,-31,9
2020-06-02,130.38,-32,10
2020-06-03,142.21,-33,10
2020-06-04,141.07,-33,11
2020-06-05,164.22,-33,12
2020-06-06,170.19,-10,3
2020-06-07,149.19,-12,2
2020-06-08,143.64,-31,9
2020-06-09,151.06,-31,9
2020-06-10,142.65,-33,10
2020-06-11,151.42,-31,10
2020-06-12,182.65,-31,10
2020-06-13,192.83,-7,2
2020-06-14,157.78,-15,2
2020-06-15,147.3,-31,8
2020-06-16,152.94,-30,8
2020-06-17,150.21,-32,9
2020-06-18,160.89,-32,9
2020-06-19,184.74,-33,9
2020-06-20,192.57,-10,2
2020-06-21,153.56,-11,0
2020-06-22,151.93,-34,9
2020-06-23,168.15,-33,9
2020-06-24,163.66,-32,7
2020-06-25,170.83,-31,8
2020-06-26,205.01,-32,8
2020-06-27,214.83,-9,1
2020-06-28,178.95,-8,1
2020-06-29,165.25,-31,7
2020-06-30,164.44,-30,7
2020-07-01,171.69,-32,7
2020-07-02,201.99,-34,7
2020-07-03,211.18,-56,13
2020-07-04,171.01,-25,2
2020-07-05,182.05,-16,1
2020-07-06,167.69,-36,8
2020-07-07,159.89,-33,8
2020-07-08,163.67,-32,8
2020-07-09,176.53,-31,8
2020-07-10,205.82,-33,9
2020-07-11,200.55,-9,1
2020-07-12,181.37,-11,1
2020-07-13,158.86,-32,8
2020-07-14,160.89,-31,7
2020-07-15,166.68,-31,7
2020-07-16,174.66,-31,8
2020-07-17,205.14,-33,9
2020-07-18,208.94,-6,1
2020-07-19,177.8,-10,1
2020-07-20,168.77,-33,8
2020-07-21,158.54,-32,9
2020-07-22,163.02,-31,9
2020-07-23,170.27,-31,9
2020-07-24,199.1,-33,10
2020-07-25,210.77,-8,1
2020-07-26,176.85,-9,1
2020-07-27,166.48,-33,8
2020-07-28,162.62,-32,8
2020-07-29,166.57,-33,8
2020-07-30,172,-33,8
2020-07-31,193.6,-35,10
2020-08-01,200.13,-8,2
2020-08-02,165.14,-9,1
2020-08-03,161.49,-33,8
2020-08-04,153.79,-34,10
2020-08-05,172.34,-32,7
2020-08-06,172.95,-32,9
2020-08-07,251.41,-33,9
2020-08-08,214.19,-9,1
2020-08-09,179.78,-9,0
2020-08-10,169.22,-33,7
2020-08-11,166.99,-32,7
2020-08-12,166.07,-33,7
