date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,108.09,2,NA
2020-02-16,69.31,0,NA
2020-02-17,87.75,-16,5
2020-02-18,79.56,0,1
2020-02-19,87.03,-1,1
2020-02-20,95.17,-5,3
2020-02-21,108.22,-2,1
2020-02-22,104.96,2,NA
2020-02-23,74.81,-1,NA
2020-02-24,79.25,-1,2
2020-02-25,85.75,-2,-1
2020-02-26,94.58,0,-3
2020-02-27,101.44,-2,-3
2020-02-28,118.77,-2,-4
2020-02-29,108.78,7,NA
2020-03-01,77.14,6,NA
2020-03-02,82.43,3,-3
2020-03-03,82.95,4,-4
2020-03-04,81.46,-3,0
2020-03-05,96.1,0,-3
2020-03-06,113.97,-3,-2
2020-03-07,122.96,1,NA
2020-03-08,90.22,4,NA
2020-03-09,94.45,-14,2
2020-03-10,99.2,-12,-1
2020-03-11,100.36,-15,-2
2020-03-12,100.62,-19,0
2020-03-13,113.89,-20,5
2020-03-14,107.7,1,NA
2020-03-15,71.31,-2,NA
2020-03-16,84.51,-16,4
2020-03-17,77.76,-17,5
2020-03-18,85.64,-20,5
2020-03-19,89.8,-21,5
2020-03-20,79.38,-26,13
2020-03-21,70.21,-13,NA
2020-03-22,46.43,-18,NA
2020-03-23,54.6,-29,13
2020-03-24,60.94,-27,11
2020-03-25,66.13,-29,9
2020-03-26,75.94,-28,9
2020-03-27,74.5,-29,11
2020-03-28,64.82,-17,NA
2020-03-29,56.39,-18,NA
2020-03-30,65.67,-26,10
2020-03-31,71.14,-28,10
2020-04-01,63.64,-29,7
2020-04-02,68.93,-30,9
2020-04-03,65.92,-33,14
2020-04-04,54.65,-26,NA
2020-04-05,45.1,-26,NA
2020-04-06,61.02,-32,12
2020-04-07,58.6,-36,13
2020-04-08,63.82,-37,13
2020-04-09,66.59,-35,12
2020-04-10,69.54,-41,NA
2020-04-11,64.36,-23,NA
2020-04-12,40.73,-36,NA
2020-04-13,78.25,-35,12
2020-04-14,72.91,-33,12
2020-04-15,76.73,-32,10
2020-04-16,78.07,-33,10
2020-04-17,77.86,-33,13
2020-04-18,73.01,-16,NA
2020-04-19,48.48,-28,NA
2020-04-20,75.42,-27,9
2020-04-21,77.4,-29,8
2020-04-22,74.32,-34,12
2020-04-23,80.97,-31,11
2020-04-24,89.34,-31,13
2020-04-25,81.61,-15,NA
2020-04-26,65.74,-20,NA
2020-04-27,83.31,-26,9
2020-04-28,81.79,-29,3
2020-04-29,88.21,-29,9
2020-04-30,89.01,-28,8
2020-05-01,93.53,-28,8
2020-05-02,98.15,-10,NA
2020-05-03,69.65,-19,NA
2020-05-04,86.77,-23,7
2020-05-05,94.45,-26,7
2020-05-06,92.68,-28,6
2020-05-07,97.35,-30,7
2020-05-08,99,-30,12
2020-05-09,108.81,-13,NA
2020-05-10,74.86,-12,NA
2020-05-11,NA,-23,7
2020-05-12,NA,-23,6
2020-05-13,99.61,-24,7
2020-05-14,108.47,-27,5
2020-05-15,115.9,-29,10
2020-05-16,112.04,-14,NA
2020-05-17,88.65,-17,NA
2020-05-18,101.64,-22,7
2020-05-19,102.39,-24,5
2020-05-20,122.57,-27,6
2020-05-21,126.04,-28,7
2020-05-22,160.73,-28,8
2020-05-23,140.4,-7,NA
2020-05-24,101.49,-14,NA
2020-05-25,97.02,-55,NA
2020-05-26,108.12,-24,6
2020-05-27,110.35,-22,6
2020-05-28,122.03,-25,6
2020-05-29,143.76,-24,9
2020-05-30,150.92,0,NA
2020-05-31,97.95,-6,NA
2020-06-01,115.41,-21,4
2020-06-02,118.49,-21,4
2020-06-03,112.63,-23,4
2020-06-04,122.98,-23,5
2020-06-05,161.25,-24,8
2020-06-06,186.03,-2,NA
2020-06-07,109.01,-10,NA
2020-06-08,104.42,-28,10
2020-06-09,130.1,-21,5
2020-06-10,132.13,-22,5
2020-06-11,135.46,-22,4
2020-06-12,149.49,-23,6
2020-06-13,137.49,-4,NA
2020-06-14,108.76,-10,NA
2020-06-15,134.57,-22,5
2020-06-16,121.75,-22,4
2020-06-17,129.58,-24,4
2020-06-18,135.49,-23,5
2020-06-19,156.93,-25,5
2020-06-20,160.94,-6,NA
2020-06-21,97.95,-11,NA
2020-06-22,113.66,-25,7
2020-06-23,114.41,-24,5
2020-06-24,112.92,-25,5
2020-06-25,125.58,-25,6
2020-06-26,149.1,-27,11
2020-06-27,154.7,-8,NA
2020-06-28,106.45,-14,NA
2020-06-29,116.62,-25,6
2020-06-30,125.71,-26,4
2020-07-01,132.05,-27,3
2020-07-02,165.25,-31,5
2020-07-03,163.82,-42,9
2020-07-04,139.7,-22,NA
2020-07-05,118.72,-17,NA
2020-07-06,136.41,-29,6
2020-07-07,125.37,-28,6
2020-07-08,121.19,-27,7
2020-07-09,133.69,-29,7
2020-07-10,149.74,-29,7
2020-07-11,158.53,-12,NA
2020-07-12,110.66,-16,NA
2020-07-13,125.71,-28,6
2020-07-14,130.53,-27,6
2020-07-15,131,-28,6
2020-07-16,136.7,-30,6
2020-07-17,156.83,-29,8
2020-07-18,157.96,-14,NA
2020-07-19,107.88,-22,NA
2020-07-20,128.38,-28,5
2020-07-21,132.92,-29,7
2020-07-22,126.04,-30,6
2020-07-23,133,-30,6
2020-07-24,152.31,-31,9
2020-07-25,154.6,-16,NA
2020-07-26,110.73,-22,NA
2020-07-27,123.78,-27,5
2020-07-28,118.75,-29,6
2020-07-29,119.75,-30,6
2020-07-30,129.15,-31,6
2020-07-31,141.47,-30,7
2020-08-01,169.85,-15,NA
2020-08-02,105.65,-17,NA
2020-08-03,132.82,-24,3
2020-08-04,130.02,-26,3
2020-08-05,127.4,-28,4
2020-08-06,141.58,-28,4
2020-08-07,148.97,-28,7
2020-08-08,149.82,-10,NA
2020-08-09,106.11,-16,NA
2020-08-10,123.37,-25,5
2020-08-11,127.45,-27,5
2020-08-12,129.4,-29,5
2020-08-13,125.99,-28,6
2020-08-14,147.92,-29,8
2020-08-15,150.08,-11,NA
2020-08-16,96.58,-17,NA
2020-08-17,123.11,NA,4
2020-08-18,117.98,NA,3
2020-08-19,110.63,NA,4
2020-08-20,129.38,NA,4
2020-08-21,157.22,NA,6
2020-08-24,118.72,NA,4
2020-08-25,117.36,NA,5
2020-08-26,112.92,NA,4
2020-08-27,103,NA,9
2020-08-28,132.18,NA,7
2020-08-31,111.12,NA,4
2020-09-01,123.04,NA,1
2020-09-02,122.16,NA,3
2020-09-03,135.44,NA,1
2020-09-04,170.11,NA,4
2020-09-08,123.24,NA,2
2020-09-09,116.72,NA,2
2020-09-10,128.69,NA,1
2020-09-11,148.07,-23,2
2020-09-12,149.36,-14,NA
2020-09-13,98.07,-14,NA
2020-09-14,122.96,-15,2
2020-09-15,126.91,-17,2
2020-09-16,133.85,-15,1
2020-09-17,127.25,-20,2
2020-09-18,144.07,-20,4
2020-09-19,142.17,-6,NA
2020-09-20,107.73,-9,NA
2020-09-21,107.42,-19,5
2020-09-22,113.02,-19,4
2020-09-23,106.09,-24,9
2020-09-24,118.23,-20,6
2020-09-25,138.19,-20,5
2020-09-26,120.54,-9,2
2020-09-27,87.9,-12,NA
2020-09-28,116.31,-18,6
2020-09-29,109.22,-19,3
2020-09-30,108.22,-19,1
2020-10-01,129.2,-18,-1
2020-10-02,147.74,-20,1
2020-10-03,131.2,-10,-1
2020-10-04,95.51,-13,1
2020-10-05,105.52,-20,2
2020-10-06,110.45,-18,2
2020-10-07,114.51,-19,2
2020-10-08,109.63,-19,3
2020-10-09,119.16,-20,8
2020-10-10,112.1,-17,8
2020-10-11,83.03,-14,NA
2020-10-12,118.41,-23,5
2020-10-13,106.45,-16,3
2020-10-14,111.97,-18,2
2020-10-15,117.9,-20,4
2020-10-16,138.57,-19,5
2020-10-17,148.59,-8,1
2020-10-18,98.36,-16,NA
2020-10-19,112.81,-18,4
2020-10-20,114.1,-17,3
2020-10-21,121.8,-17,3
2020-10-22,118.64,-20,3
2020-10-23,142.27,-23,4
2020-10-24,137.67,-9,4
