date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,130.6,0,0
2020-02-16,100.11,-3,0
2020-02-17,121.99,-12,5
2020-02-18,106.86,0,0
2020-02-19,114.52,0,-1
2020-02-20,119.75,-1,1
2020-02-21,134.65,0,0
2020-02-22,134.01,2,-1
2020-02-23,101.29,0,-1
2020-02-24,106.68,0,2
2020-02-25,109.33,0,1
2020-02-26,110.87,-1,0
2020-02-27,116.06,-2,2
2020-02-28,147.8,0,0
2020-02-29,143.99,-2,-1
2020-03-01,109.38,0,-2
2020-03-02,110.74,1,1
2020-03-03,117.55,-1,-1
2020-03-04,117.62,0,-1
2020-03-05,121.13,1,-1
2020-03-06,146.33,0,1
2020-03-07,150.35,3,-2
2020-03-08,107.52,-1,-1
2020-03-09,113.9,0,1
2020-03-10,110.43,-2,0
2020-03-11,110.99,-1,0
2020-03-12,111.63,-2,1
2020-03-13,129.88,1,1
2020-03-14,116.83,0,4
2020-03-15,90.76,-6,2
2020-03-16,97.84,-12,6
2020-03-17,90.55,-18,7
2020-03-18,83.56,-22,10
2020-03-19,91.4,-24,11
2020-03-20,89.1,-27,13
2020-03-21,73.6,-17,10
2020-03-22,57.61,-27,NA
2020-03-23,69.66,-30,13
2020-03-24,70.44,-35,13
2020-03-25,68.58,-40,15
2020-03-26,66.4,-40,17
2020-03-27,70.71,-40,19
2020-03-28,59.26,-30,12
2020-03-29,52.77,-32,NA
2020-03-30,70.28,-37,15
2020-03-31,70.64,-39,15
2020-04-01,71.58,-39,14
2020-04-02,74.54,-39,15
2020-04-03,80.21,-40,16
2020-04-04,66.29,-29,10
2020-04-05,50.53,-31,NA
2020-04-06,71.54,-38,14
2020-04-07,75.39,-40,13
2020-04-08,73.97,-40,13
2020-04-09,81.05,-42,17
2020-04-10,83.65,-51,21
2020-04-11,71.42,-32,11
2020-04-12,44.36,-42,NA
2020-04-13,72.85,-37,17
2020-04-14,76.05,-37,14
2020-04-15,82.59,-37,14
2020-04-16,81.28,-37,15
2020-04-17,88.56,-39,18
2020-04-18,83.17,-25,8
2020-04-19,65.87,-29,NA
2020-04-20,88.58,-36,12
2020-04-21,89.66,-40,13
2020-04-22,90.51,-39,12
2020-04-23,97.11,-39,17
2020-04-24,104.73,-38,14
2020-04-25,88.14,-28,9
2020-04-26,66.15,-31,NA
2020-04-27,99.47,-34,12
2020-04-28,103.37,-36,6
2020-04-29,101.45,-37,14
2020-04-30,103.46,-37,15
2020-05-01,118.01,-37,13
2020-05-02,108.44,-26,4
2020-05-03,85.46,-27,NA
2020-05-04,113.39,-32,11
2020-05-05,111.72,-34,12
2020-05-06,121.7,-35,10
2020-05-07,122.09,-35,11
2020-05-08,130.96,-36,14
2020-05-09,127.32,-23,5
2020-05-10,80.69,-24,NA
2020-05-11,NA,-29,11
2020-05-12,NA,-28,9
2020-05-13,126.06,-30,9
2020-05-14,135.53,-31,11
2020-05-15,140.07,-32,12
2020-05-16,134.29,-17,4
2020-05-17,101.95,-17,4
2020-05-18,126.52,-27,12
2020-05-19,124.82,-29,10
2020-05-20,137,-29,9
2020-05-21,148.88,-30,10
2020-05-22,173.44,-30,8
2020-05-23,143.88,-20,3
2020-05-24,125.46,-24,0
2020-05-25,119.84,-69,17
2020-05-26,141.1,-28,7
2020-05-27,139.98,-28,7
2020-05-28,159.31,-28,8
2020-05-29,192.68,-28,9
2020-05-30,163.74,-10,1
2020-05-31,124.96,-12,0
2020-06-01,150.8,-24,6
2020-06-02,172.46,-25,5
2020-06-03,164.95,-25,5
2020-06-04,183.99,-26,7
2020-06-05,200.2,-26,7
2020-06-06,188.28,-12,-1
2020-06-07,146.63,-10,-1
2020-06-08,164.93,-23,5
2020-06-09,158.39,-24,6
2020-06-10,167.27,-26,7
2020-06-11,180.89,-25,6
2020-06-12,203.58,-27,5
2020-06-13,192.62,-10,0
2020-06-14,139.13,-11,-1
2020-06-15,160.2,-23,6
2020-06-16,194.79,-24,5
2020-06-17,186.1,-25,4
2020-06-18,220.9,-26,6
2020-06-19,229.57,-26,4
2020-06-20,200.3,-10,-1
2020-06-21,150.51,-12,0
2020-06-22,177.62,-25,7
2020-06-23,193.19,-25,5
2020-06-24,183.09,-24,4
2020-06-25,213.28,-25,5
2020-06-26,246.08,-25,6
2020-06-27,207.46,-8,2
2020-06-28,172.45,-9,0
2020-06-29,185.94,-27,7
2020-06-30,190.89,-27,6
2020-07-01,202.07,-29,4
2020-07-02,210.39,-32,5
2020-07-03,206.12,-53,10
2020-07-04,146.12,-31,-1
2020-07-05,152.02,-15,-1
2020-07-06,193.88,-29,6
2020-07-07,211.19,-28,5
2020-07-08,220.35,-26,5
2020-07-09,252.75,-26,6
2020-07-10,257.52,-28,7
2020-07-11,229.77,-12,-1
2020-07-12,196.12,-11,1
2020-07-13,194.72,-26,5
2020-07-14,207.91,-26,4
2020-07-15,193,-27,5
2020-07-16,200.41,-26,6
2020-07-17,222.32,-28,5
2020-07-18,197.61,-11,0
2020-07-19,180.32,-14,0
2020-07-20,170.39,-26,6
2020-07-21,175.62,-27,5
2020-07-22,170.51,-27,6
2020-07-23,189.1,-27,6
2020-07-24,217.04,-28,5
2020-07-25,204.72,-13,-1
2020-07-26,168.97,-14,-1
2020-07-27,169.8,-26,8
2020-07-28,170.27,-26,4
2020-07-29,176.26,-28,5
2020-07-30,185.12,-29,8
2020-07-31,198.19,-27,4
2020-08-01,186.31,-14,2
2020-08-02,154.86,-11,1
2020-08-03,172.25,-27,7
2020-08-04,193.24,-28,4
2020-08-05,194.02,-27,4
2020-08-06,196.77,-27,4
2020-08-07,227.75,-29,4
2020-08-08,205.94,-14,-2
2020-08-09,179.15,-13,-1
2020-08-10,173.01,-27,6
2020-08-11,175.41,-28,4
2020-08-12,176.74,-27,4
2020-08-13,193.46,-27,4
