date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,127.87,-2,0
2020-02-16,98.05,-3,0
2020-02-17,116.1,-13,4
2020-02-18,109.93,4,0
2020-02-19,107.49,1,1
2020-02-20,94.01,-5,6
2020-02-21,99.37,-32,17
2020-02-22,120.42,5,1
2020-02-23,89.52,3,0
2020-02-24,106.23,2,1
2020-02-25,110.83,2,0
2020-02-26,121.74,2,-1
2020-02-27,121.8,3,-2
2020-02-28,143.59,2,-2
2020-02-29,156.89,0,-3
2020-03-01,104.49,-1,-2
2020-03-02,118.88,4,-2
2020-03-03,123.22,3,-1
2020-03-04,118.13,2,-1
2020-03-05,118.52,1,0
2020-03-06,151.42,0,0
2020-03-07,149.46,3,-2
2020-03-08,104.49,0,-1
2020-03-09,116.54,3,0
2020-03-10,121.23,2,-1
2020-03-11,116.73,1,-1
2020-03-12,120.6,1,-1
2020-03-13,137.44,-1,0
2020-03-14,127.1,0,0
2020-03-15,85.85,-8,3
2020-03-16,103.84,-10,4
2020-03-17,97.06,-14,7
2020-03-18,96.1,-17,8
2020-03-19,103.15,-18,8
2020-03-20,112.7,-19,9
2020-03-21,94.49,-10,7
2020-03-22,67.65,-20,8
2020-03-23,86.51,-21,10
2020-03-24,85.11,-20,10
2020-03-25,81.2,-24,12
2020-03-26,84.59,-25,11
2020-03-27,100.5,-26,12
2020-03-28,89.33,-17,7
2020-03-29,67.18,-24,7
2020-03-30,81.22,-25,11
2020-03-31,77.13,-29,14
2020-04-01,79.79,-32,14
2020-04-02,82.48,-31,14
2020-04-03,94.78,-32,15
2020-04-04,78.45,-21,10
2020-04-05,59.59,-29,9
2020-04-06,82.44,-30,12
2020-04-07,84.36,-31,13
2020-04-08,89.89,-34,14
2020-04-09,92.69,-35,14
2020-04-10,94.42,-49,19
2020-04-11,84.51,-30,9
2020-04-12,56.13,-38,9
2020-04-13,79.58,-39,17
2020-04-14,94.45,-31,12
2020-04-15,94.4,-33,14
2020-04-16,99.31,-32,13
2020-04-17,113.46,-34,14
2020-04-18,94.01,-23,9
2020-04-19,77.4,-29,8
2020-04-20,92.29,-32,14
2020-04-21,99.5,-30,12
2020-04-22,102.19,-31,12
2020-04-23,96.57,-33,14
2020-04-24,111.52,-32,14
2020-04-25,99.29,-20,8
2020-04-26,80.27,-26,7
2020-04-27,103.06,-29,11
2020-04-28,107.39,-30,7
2020-04-29,110.46,-31,12
2020-04-30,102.18,-34,16
2020-05-01,131.37,-30,12
2020-05-02,113.97,-15,6
2020-05-03,91.58,-22,5
2020-05-04,114.9,-28,9
2020-05-05,113.87,-28,11
2020-05-06,109.19,-29,12
2020-05-07,122.99,-29,11
2020-05-08,140.95,-30,13
2020-05-09,138.35,-19,5
2020-05-10,103.4,-22,3
2020-05-11,NA,-26,10
2020-05-12,NA,-27,10
2020-05-13,131.71,-26,10
2020-05-14,134.78,-27,8
2020-05-15,162.3,-29,11
2020-05-16,152.9,-13,5
2020-05-17,121.35,-20,4
2020-05-18,132.3,-25,10
2020-05-19,125.91,-28,13
2020-05-20,124.48,-28,13
2020-05-21,133.36,-29,13
2020-05-22,173.22,-27,11
2020-05-23,170.34,-14,4
2020-05-24,132.18,-24,3
2020-05-25,131.6,-61,17
2020-05-26,148.81,-24,8
2020-05-27,139.93,-25,10
2020-05-28,141.5,-25,11
2020-05-29,159.5,-27,12
2020-05-30,155.46,-4,4
2020-05-31,126.95,-12,3
2020-06-01,144.27,-21,6
2020-06-02,143.66,-22,7
2020-06-03,145.78,-22,7
2020-06-04,152.6,-23,7
2020-06-05,176.88,-25,8
2020-06-06,175.31,-12,3
2020-06-07,139.61,-15,2
2020-06-08,154.79,-20,6
2020-06-09,152.88,-21,7
2020-06-10,160.83,-24,7
2020-06-11,162.97,-24,8
2020-06-12,192.57,-25,8
2020-06-13,202.62,-6,1
2020-06-14,148.49,-13,3
2020-06-15,141.72,-24,10
2020-06-16,140.73,-23,10
2020-06-17,153.61,-24,8
2020-06-18,169.06,-23,6
2020-06-19,189.79,-29,9
2020-06-20,187.15,-9,2
2020-06-21,139.4,-14,1
2020-06-22,159.17,-25,6
2020-06-23,163.81,-23,7
2020-06-24,169.73,-23,7
2020-06-25,165,-23,7
2020-06-26,189.86,-25,7
2020-06-27,202.58,-7,1
2020-06-28,151.34,-14,2
2020-06-29,164.4,-23,6
2020-06-30,163.82,-24,7
2020-07-01,167.18,-26,6
2020-07-02,186.07,-29,5
2020-07-03,183.01,-52,12
2020-07-04,162.81,-26,3
2020-07-05,148.53,-21,2
2020-07-06,165.28,-31,7
2020-07-07,156.6,-26,8
2020-07-08,159.74,-27,8
2020-07-09,167.44,-26,7
2020-07-10,192.85,-29,7
2020-07-11,203.94,-10,2
2020-07-12,149.03,-18,2
2020-07-13,157.49,-25,6
2020-07-14,166.4,-24,6
2020-07-15,174.62,-25,7
2020-07-16,171.56,-25,6
2020-07-17,200.04,-29,7
2020-07-18,208.01,-14,3
2020-07-19,148.32,-18,2
2020-07-20,165.96,-26,6
2020-07-21,165.47,-25,6
2020-07-22,168.72,-25,7
2020-07-23,169.29,-25,7
2020-07-24,195.47,-27,7
2020-07-25,213.66,-10,2
2020-07-26,156.92,-16,2
2020-07-27,167.17,-25,6
2020-07-28,168.06,-25,7
2020-07-29,172.24,-26,7
2020-07-30,174.15,-25,6
2020-07-31,189.79,-28,6
2020-08-01,204.42,-13,3
2020-08-02,148.19,-16,1
2020-08-03,147.28,-28,7
2020-08-04,150.08,-36,12
2020-08-05,161.06,-27,7
2020-08-06,170.96,-26,6
2020-08-07,194.9,-28,8
2020-08-08,205.09,-9,2
2020-08-09,154.49,-16,1
2020-08-10,160.97,-24,6
2020-08-11,158.99,-24,5
2020-08-12,164.87,-26,5
2020-08-13,167.02,-27,5
2020-08-14,193.35,-27,6
2020-08-15,196.69,-16,2
2020-08-16,149.26,-16,2
2020-08-17,162.85,-24,4
