date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,145.02,-3,NA
2020-02-16,149.43,-1,NA
2020-02-17,116.37,-10,5
2020-02-18,110.28,-5,3
2020-02-19,102,4,2
2020-02-20,107.96,0,1
2020-02-21,127.25,-2,1
2020-02-22,126.68,2,NA
2020-02-23,82.36,-5,NA
2020-02-24,108.19,8,1
2020-02-25,115.04,2,1
2020-02-26,114.91,4,-1
2020-02-27,129.85,3,-2
2020-02-28,153.93,-2,-1
2020-02-29,138.96,3,NA
2020-03-01,103.74,4,NA
2020-03-02,112.5,6,0
2020-03-03,123.98,2,-1
2020-03-04,112.63,-2,3
2020-03-05,126.46,1,-2
2020-03-06,169.67,-1,-1
2020-03-07,160.28,0,NA
2020-03-08,108.98,3,NA
2020-03-09,119.8,-6,3
2020-03-10,130.14,-7,0
2020-03-11,126.84,-6,0
2020-03-12,125.95,-7,-1
2020-03-13,138.55,-10,3
2020-03-14,131.41,1,NA
2020-03-15,88.74,-5,NA
2020-03-16,99.27,-7,4
2020-03-17,103.68,-13,7
2020-03-18,97.02,-15,7
2020-03-19,101.46,-15,7
2020-03-20,100.41,-21,13
2020-03-21,91.94,-18,NA
2020-03-22,57.87,-22,NA
2020-03-23,75.7,-26,NA
2020-03-24,74.27,-30,NA
2020-03-25,79.16,-33,NA
2020-03-26,81.63,-33,NA
2020-03-27,87.31,-34,NA
2020-03-28,64.09,-23,NA
2020-03-29,55.65,-31,NA
2020-03-30,69.19,-31,NA
2020-03-31,73.6,-36,NA
2020-04-01,75.7,-33,NA
2020-04-02,71.48,-34,NA
2020-04-03,74.14,-36,NA
2020-04-04,60.12,-33,NA
2020-04-05,48.98,-35,NA
2020-04-06,68.31,-33,NA
2020-04-07,74.94,-37,NA
2020-04-08,78.65,-36,NA
2020-04-09,76.97,-35,NA
2020-04-10,77.63,-53,NA
2020-04-11,61.39,-35,NA
2020-04-12,45.05,-40,NA
2020-04-13,83.03,-32,NA
2020-04-14,84.07,-33,NA
2020-04-15,81.76,-30,NA
2020-04-16,82.36,-33,NA
2020-04-17,79.41,-35,NA
2020-04-18,77,-23,NA
2020-04-19,46.54,-35,NA
2020-04-20,90.51,-26,NA
2020-04-21,98.16,-31,NA
2020-04-22,77.19,-34,NA
2020-04-23,97.21,-31,NA
2020-04-24,104.28,-31,NA
2020-04-25,85.18,-23,NA
2020-04-26,68.91,-27,NA
2020-04-27,92.32,-25,NA
2020-04-28,95.46,-31,NA
2020-04-29,101.74,-29,NA
2020-04-30,114.18,-29,NA
2020-05-01,120.34,-29,NA
2020-05-02,102.25,-24,NA
2020-05-03,81.66,-26,NA
2020-05-04,104.16,-21,NA
2020-05-05,105.71,-27,NA
2020-05-06,107.07,-27,10
2020-05-07,118.75,-27,8
2020-05-08,128.24,-32,NA
2020-05-09,121.57,-21,NA
2020-05-10,89.59,-27,NA
2020-05-11,NA,-21,NA
2020-05-12,NA,-23,9
2020-05-13,112.98,-24,9
2020-05-14,124.02,-25,9
2020-05-15,142.83,-26,NA
2020-05-16,119.38,-17,NA
2020-05-17,94.96,-22,NA
2020-05-18,125.92,-14,7
2020-05-19,135.12,-17,8
2020-05-20,134.64,-20,7
2020-05-21,154.28,-19,6
2020-05-22,173.13,-25,8
2020-05-23,143.94,-22,NA
2020-05-24,110.69,-17,NA
2020-05-25,117.67,-58,NA
2020-05-26,133.53,-16,7
2020-05-27,133.44,-16,6
2020-05-28,148.16,-17,7
2020-05-29,169.26,-21,8
2020-05-30,166.31,-9,NA
2020-05-31,121.19,-13,NA
2020-06-01,139.66,-15,5
2020-06-02,149.75,-18,5
2020-06-03,144.89,-18,5
2020-06-04,161.2,-19,3
2020-06-05,199.43,-25,7
2020-06-06,200.79,-10,NA
2020-06-07,142.01,-16,NA
2020-06-08,119.67,-17,9
2020-06-09,132.87,-16,6
2020-06-10,146.99,-18,4
2020-06-11,162.34,-19,4
2020-06-12,185.66,-23,6
2020-06-13,166.69,-13,NA
2020-06-14,136.33,-13,NA
2020-06-15,148.1,-17,4
2020-06-16,142.61,-19,5
2020-06-17,151.24,-19,5
2020-06-18,155.27,-20,4
2020-06-19,198.03,-24,6
2020-06-20,226.17,-11,NA
2020-06-21,118.24,-17,NA
2020-06-22,143.15,-20,8
2020-06-23,143.53,-23,7
2020-06-24,148.35,-22,7
2020-06-25,159.17,-22,5
2020-06-26,172.02,-25,9
2020-06-27,179.35,-12,NA
2020-06-28,132.23,-14,NA
2020-06-29,153.9,-20,6
2020-06-30,157.46,-23,6
2020-07-01,154.54,-23,5
2020-07-02,198.13,-25,4
2020-07-03,191.81,-48,NA
2020-07-04,152.66,-29,NA
2020-07-05,165.32,-19,NA
2020-07-06,158.41,-25,NA
2020-07-07,137.94,-26,9
2020-07-08,154.03,-23,7
2020-07-09,168.18,-26,6
2020-07-10,184.61,-29,NA
2020-07-11,228.14,-17,NA
2020-07-12,135.82,-16,NA
2020-07-13,147.87,-22,7
2020-07-14,154.76,-23,6
2020-07-15,165.96,-24,6
2020-07-16,158.98,-26,6
2020-07-17,182.42,-28,NA
2020-07-18,181.38,-16,NA
2020-07-19,132.01,-21,NA
2020-07-20,154.92,-25,NA
2020-07-21,155.74,-28,NA
2020-07-22,153.17,-26,7
2020-07-23,194.54,-28,5
2020-07-24,204.98,-29,NA
2020-07-25,192.7,-20,NA
2020-07-26,140.29,-19,NA
2020-07-27,157.71,-25,NA
2020-07-28,158.09,-26,7
2020-07-29,164.63,-24,6
2020-07-30,156.41,-26,5
2020-07-31,184.8,-28,NA
2020-08-01,190.42,-13,NA
2020-08-02,141.24,-15,NA
2020-08-03,161.52,-22,6
2020-08-04,157.8,-27,6
2020-08-05,152.57,-26,6
2020-08-06,182.65,-27,4
2020-08-07,195.18,-27,NA
2020-08-08,195.24,-17,NA
2020-08-09,137.53,-18,NA
2020-08-10,153.05,-23,NA
2020-08-11,180.2,-24,7
2020-08-12,160.69,-25,7
2020-08-13,167.13,-25,5
2020-08-14,194.38,-26,NA
2020-08-15,193.02,-15,NA
2020-08-16,136.39,-21,NA
2020-08-17,159.26,NA,6
2020-08-18,156,NA,6
2020-08-19,154.76,NA,4
2020-08-20,158.34,NA,4
2020-08-21,203.71,NA,6
2020-08-24,141.47,NA,5
2020-08-25,142.7,NA,5
2020-08-26,169.07,NA,4
2020-08-31,147.72,NA,4
2020-09-01,182.52,NA,4
2020-09-02,155.2,NA,5
2020-09-03,168.88,NA,2
2020-09-04,218.85,NA,5
2020-09-08,155.55,NA,4
2020-09-09,193.69,NA,2
2020-09-10,190.74,NA,1
2020-09-11,273.13,-27,2
2020-09-12,186.26,-11,NA
2020-09-13,125.22,-23,NA
2020-09-14,154.54,-16,3
2020-09-15,158.03,-18,3
2020-09-16,163.04,-18,2
2020-09-17,169.86,-18,1
2020-09-18,180.62,-21,4
2020-09-19,185.69,-12,NA
2020-09-20,125.25,-18,NA
2020-09-21,126.24,-17,6
2020-09-22,127,-17,7
2020-09-23,127.51,-19,8
2020-09-24,135.06,-18,4
2020-09-25,170.24,-21,6
2020-09-26,150.92,-15,NA
2020-09-27,115.89,-18,NA
2020-09-28,125.48,-13,5
2020-09-29,130.77,-16,3
2020-09-30,130.62,-16,3
2020-10-01,135.44,-15,0
2020-10-02,164.18,-19,3
2020-10-03,150.95,-10,NA
2020-10-04,106.63,-20,NA
2020-10-05,124.68,-20,3
2020-10-06,127.79,-21,4
2020-10-07,132.55,-19,4
2020-10-08,150.41,-20,4
2020-10-09,140.07,-29,11
2020-10-10,136.77,-15,NA
2020-10-11,119.16,-17,NA
2020-10-12,141.88,-18,6
2020-10-13,128.55,-18,5
2020-10-14,140.45,-17,4
2020-10-15,135.69,-17,4
2020-10-16,163.1,-19,5
2020-10-17,168.97,-12,NA
2020-10-18,116.72,-18,NA
2020-10-19,119.96,-13,4
2020-10-20,128.81,-14,4
2020-10-21,119.42,-14,4
2020-10-22,135.15,-15,3
2020-10-23,162.88,-18,7
2020-10-24,145.02,-7,NA
2020-10-25,99.56,-16,NA
2020-10-26,123.95,-13,5
2020-10-27,131.15,-17,5
2020-10-28,118.53,-17,6
2020-10-29,134.33,-18,4
2020-10-30,153.24,-18,5
2020-10-31,139.85,-13,NA
2020-11-01,106.85,-15,NA
2020-11-02,117.93,-12,4
2020-11-03,129.66,-23,4
