date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,128.69,-4,NA
2020-02-16,103.8,-2,NA
2020-02-17,104.26,-4,1
2020-02-18,110.02,-1,1
2020-02-19,106.84,-1,0
2020-02-20,115.47,1,0
2020-02-21,131.7,-1,-1
2020-02-22,129.79,4,NA
2020-02-23,88.26,6,NA
2020-02-24,100.5,3,0
2020-02-25,107.21,1,1
2020-02-26,87.5,-16,8
2020-02-27,105.52,-11,6
2020-02-28,138.38,-3,2
2020-02-29,135.87,3,NA
2020-03-01,87.24,11,NA
2020-03-02,107.21,3,0
2020-03-03,116.99,1,0
2020-03-04,112.46,2,-1
2020-03-05,119.27,5,0
2020-03-06,137.39,1,0
2020-03-07,151.47,4,NA
2020-03-08,91.4,3,NA
2020-03-09,107.01,3,0
2020-03-10,112.93,1,0
2020-03-11,106.84,-1,0
2020-03-12,106.08,1,1
2020-03-13,117.92,-1,1
2020-03-14,98.18,1,NA
2020-03-15,73.92,-5,NA
2020-03-16,87.57,-10,5
2020-03-17,90.58,-16,7
2020-03-18,80.13,-17,10
2020-03-19,86.55,-20,12
2020-03-20,94.88,-26,13
2020-03-21,70.45,-24,NA
2020-03-22,46.51,-25,NA
2020-03-23,70.84,-25,12
2020-03-24,72.43,-31,15
2020-03-25,67.64,-39,19
2020-03-26,63.5,-39,20
2020-03-27,71.7,-41,22
2020-03-28,50.21,-34,NA
2020-03-29,42.35,-32,NA
2020-03-30,66.25,-39,18
2020-03-31,67.77,-41,20
2020-04-01,71.34,-43,19
2020-04-02,72.73,-41,19
2020-04-03,81.36,-45,19
2020-04-04,66.15,-36,NA
2020-04-05,47.04,-33,NA
2020-04-06,76.07,-42,16
2020-04-07,80.2,-43,18
2020-04-08,85.59,-43,18
2020-04-09,75.27,-45,21
2020-04-10,82.41,-57,NA
2020-04-11,70.78,-38,NA
2020-04-12,44.36,-47,NA
2020-04-13,72.33,-43,20
2020-04-14,87.9,-42,20
2020-04-15,79.27,-43,21
2020-04-16,89.16,-41,20
2020-04-17,79.6,-46,NA
2020-04-18,84.99,-35,NA
2020-04-19,62.21,-30,NA
2020-04-20,95.7,-39,16
2020-04-21,91.34,-41,19
2020-04-22,92.36,-42,19
2020-04-23,92.99,-40,19
2020-04-24,110.55,-44,20
2020-04-25,79.4,-35,NA
2020-04-26,66.58,-35,NA
2020-04-27,90.68,-37,15
2020-04-28,92.96,-41,11
2020-04-29,95.27,-39,19
2020-04-30,97.06,-39,20
2020-05-01,113.12,-40,16
2020-05-02,101.88,-33,NA
2020-05-03,84.43,-27,NA
2020-05-04,104.36,-33,12
2020-05-05,110.21,-36,17
2020-05-06,110.15,-35,14
2020-05-07,117.26,-35,15
2020-05-08,131.5,-37,17
2020-05-09,121.72,-27,NA
2020-05-10,76.89,-26,NA
2020-05-11,NA,-30,13
2020-05-12,NA,-31,14
2020-05-13,123.21,-30,13
2020-05-14,116,-32,13
2020-05-15,138.35,-34,15
2020-05-16,142.98,-21,NA
2020-05-17,91.21,-21,NA
2020-05-18,124.17,-28,13
2020-05-19,130.05,-27,14
2020-05-20,137.69,-29,12
2020-05-21,159.9,-29,12
2020-05-22,169.59,-35,12
2020-05-23,156.5,-23,NA
2020-05-24,122.78,-28,NA
2020-05-25,121.42,-78,NA
2020-05-26,147.34,-30,11
2020-05-27,139.11,-26,11
