date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,133.89,-2,NA
2020-02-16,113.82,-4,NA
2020-02-17,130,-19,NA
2020-02-18,103.59,4,NA
2020-02-19,100.23,-1,NA
2020-02-20,112.52,-2,NA
2020-02-21,144.43,3,NA
2020-02-22,142.98,0,NA
2020-02-23,108.63,-5,NA
2020-02-24,106.95,5,NA
2020-02-25,110.46,2,NA
2020-02-26,110.53,-3,NA
2020-02-27,121.3,-4,NA
2020-02-28,179.08,-1,NA
2020-02-29,150.53,2,NA
2020-03-01,137.18,-2,NA
2020-03-02,107.4,7,NA
2020-03-03,110.92,-1,NA
2020-03-04,106.11,-1,NA
2020-03-05,118.09,-1,NA
2020-03-06,173.44,-1,NA
2020-03-07,175.27,2,NA
2020-03-08,142.21,-4,NA
2020-03-09,140.08,3,NA
2020-03-10,127.86,-4,NA
2020-03-11,152.82,-4,NA
2020-03-12,161.3,-2,NA
2020-03-13,193.44,-3,NA
2020-03-14,189.31,2,NA
2020-03-15,156.87,-7,NA
2020-03-16,143.66,-26,NA
2020-03-17,109.47,-30,NA
2020-03-18,125.57,-32,NA
2020-03-19,131.98,-35,NA
2020-03-20,134.12,-33,NA
2020-03-21,73.89,-14,NA
2020-03-22,68.63,-18,NA
2020-03-23,68.63,-28,NA
2020-03-24,76.79,-38,NA
2020-03-25,63.44,-40,NA
2020-03-26,71.98,-43,NA
2020-03-27,68.55,-45,NA
2020-03-28,41.3,-17,NA
2020-03-29,40.31,-34,NA
2020-03-30,58.17,-44,NA
2020-03-31,52.9,-49,NA
2020-04-01,48.93,-49,NA
2020-04-02,55.19,-49,NA
2020-04-03,59.01,-48,NA
2020-04-04,40.38,-32,NA
2020-04-05,30.08,-34,NA
2020-04-06,47.56,-46,NA
2020-04-07,48.93,-51,NA
2020-04-08,63.36,-51,NA
2020-04-09,56.49,-51,NA
2020-04-10,58.02,-57,NA
2020-04-11,43.89,-26,NA
2020-04-12,37.79,-38,NA
2020-04-13,55.95,-46,NA
2020-04-14,52.52,-48,NA
2020-04-15,56.11,-44,NA
2020-04-16,55.11,-48,NA
2020-04-17,62.52,-45,NA
2020-04-18,54.58,-26,NA
2020-04-19,48.17,-31,NA
2020-04-20,70.15,-43,NA
2020-04-21,61.15,-45,NA
2020-04-22,66.26,-45,NA
2020-04-23,77.48,-46,NA
2020-04-24,81.98,-46,NA
2020-04-25,67.94,-26,NA
2020-04-26,59.31,-28,NA
2020-04-27,75.57,-37,NA
2020-04-28,76.95,-42,NA
2020-04-29,76.03,-43,NA
2020-04-30,86.18,-45,NA
2020-05-01,119.69,-41,NA
2020-05-02,89.08,-17,NA
2020-05-03,105.65,-17,NA
2020-05-04,94.27,-36,NA
2020-05-05,100.15,-40,NA
2020-05-06,100.84,-39,NA
2020-05-07,103.13,-43,NA
2020-05-08,136.79,-37,NA
2020-05-09,110.31,-18,NA
2020-05-10,93.82,-17,NA
2020-05-11,NA,-34,NA
2020-05-12,NA,-35,NA
2020-05-13,113.59,-33,NA
2020-05-14,120.76,-35,NA
2020-05-15,170.46,-35,NA
2020-05-16,124.66,-15,NA
2020-05-17,131.83,-17,NA
2020-05-18,121.76,-28,NA
