date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,129.01,3,-1
2020-02-16,90.26,1,-1
2020-02-17,110.38,-25,3
2020-02-18,104.15,1,1
2020-02-19,107.84,1,-1
2020-02-20,107.88,-2,2
2020-02-21,133.79,0,-1
2020-02-22,127.32,7,-2
2020-02-23,80.41,2,-1
2020-02-24,100.83,-1,1
2020-02-25,111.01,2,-1
2020-02-26,108.9,0,0
2020-02-27,113.66,0,-1
2020-02-28,138.3,-2,0
2020-02-29,139.76,5,-3
2020-03-01,96.82,3,-2
2020-03-02,105.39,1,0
2020-03-03,116.01,-16,5
2020-03-04,116.78,-1,0
2020-03-05,119.02,-1,-1
2020-03-06,132.51,-17,4
2020-03-07,130.17,9,-1
2020-03-08,94.45,2,-1
2020-03-09,110.76,-16,4
2020-03-10,108.5,-14,5
2020-03-11,110.38,-14,4
2020-03-12,102.24,-18,6
2020-03-13,113.48,-24,7
2020-03-14,97.9,-4,4
2020-03-15,61.91,-18,5
2020-03-16,73.72,-38,12
2020-03-17,65.89,-44,16
2020-03-18,60.87,-48,18
2020-03-19,62.57,-51,19
2020-03-20,62.82,-52,21
2020-03-21,58.62,-28,11
2020-03-22,41.1,-39,12
2020-03-23,50.6,-57,23
2020-03-24,44.33,-61,27
2020-03-25,52.71,-60,25
2020-03-26,57.8,-61,24
2020-03-27,62.05,-60,24
2020-03-28,55.79,-34,13
2020-03-29,45.85,-45,12
2020-03-30,53.92,-61,23
2020-03-31,45.93,-64,27
2020-04-01,52.63,-63,25
2020-04-02,55.63,-64,26
2020-04-03,56.88,-63,26
2020-04-04,50.5,-39,14
2020-04-05,40.09,-49,13
2020-04-06,51.63,-64,24
2020-04-07,51.55,-65,26
2020-04-08,53.93,-65,25
2020-04-09,57.18,-66,26
2020-04-10,63.18,-68,27
2020-04-11,55.04,-37,13
2020-04-12,24.36,-62,NA
2020-04-13,52.63,-63,25
2020-04-14,54.64,-64,26
2020-04-15,60.36,-63,25
2020-04-16,62.68,-63,26
2020-04-17,69.22,-61,25
2020-04-18,63.95,-34,13
2020-04-19,43.64,-48,14
2020-04-20,62.33,-61,23
2020-04-21,64.17,-62,24
2020-04-22,64.47,-62,25
2020-04-23,60.23,-62,27
2020-04-24,75.46,-60,24
2020-04-25,57.71,-36,15
2020-04-26,49.66,-47,14
2020-04-27,69.68,-59,22
2020-04-28,70.42,-60,15
2020-04-29,66.95,-60,25
2020-04-30,78.05,-59,23
2020-05-01,92.84,-57,21
2020-05-02,84.04,-26,8
2020-05-03,64.3,-40,8
2020-05-04,84.18,-57,18
2020-05-05,86.22,-57,20
2020-05-06,86.41,-56,21
2020-05-07,93.86,-55,21
2020-05-08,94.05,-54,22
2020-05-09,103.29,-22,8
2020-05-10,69.03,-33,7
2020-05-11,NA,-54,19
2020-05-12,NA,-54,20
2020-05-13,96.71,-53,21
2020-05-14,109.54,-54,19
2020-05-15,116.95,-53,18
2020-05-16,112.82,-20,7
2020-05-17,81.92,-32,8
2020-05-18,102.36,-52,18
2020-05-19,108.72,-51,19
2020-05-20,111.65,-52,19
2020-05-21,114.28,-51,18
2020-05-22,125.01,-51,17
2020-05-23,115.78,-13,6
2020-05-24,86.83,-26,6
2020-05-25,88.51,-79,21
2020-05-26,111.87,-50,17
2020-05-27,110.18,-51,19
2020-05-28,121.19,-49,17
2020-05-29,132.12,-47,16
2020-05-30,133.34,-1,4
2020-05-31,96.92,-14,5
2020-06-01,118.72,-48,15
2020-06-02,120.64,-47,16
2020-06-03,121.67,-49,16
2020-06-04,128.04,-48,17
2020-06-05,139.48,-46,14
2020-06-06,135.09,0,4
2020-06-07,99.14,-18,4
2020-06-08,119.53,-48,15
2020-06-09,122.94,-46,16
