date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,138.64,2,-1
2020-02-16,105.73,1,-2
2020-02-17,118.05,-22,5
2020-02-18,139.95,-2,1
2020-02-19,96.54,2,0
2020-02-20,101.38,2,0
2020-02-21,128.51,2,-1
2020-02-22,138.24,9,-2
2020-02-23,104.28,5,-2
2020-02-24,92.12,3,0
2020-02-25,92.64,2,0
2020-02-26,93.48,3,-1
2020-02-27,103,1,0
2020-02-28,127.73,2,-2
2020-02-29,133.28,3,-2
2020-03-01,100.73,3,-2
2020-03-02,99.04,4,0
2020-03-03,101.18,2,0
2020-03-04,99.32,2,-1
2020-03-05,103.62,2,0
2020-03-06,128.54,-2,-1
2020-03-07,142.02,3,-1
2020-03-08,101.65,-1,-1
2020-03-09,95.52,-3,1
2020-03-10,92.67,-4,1
2020-03-11,94.33,-4,0
2020-03-12,98.12,-6,2
2020-03-13,110.29,-5,2
2020-03-14,100.75,0,4
2020-03-15,95.17,-1,4
2020-03-16,76.73,-15,8
2020-03-17,69.91,-23,11
2020-03-18,64.3,-28,15
2020-03-19,60.41,-32,18
2020-03-20,68.74,-34,19
2020-03-21,59.8,-24,14
2020-03-22,49.28,-27,11
2020-03-23,60.08,-35,16
2020-03-24,58.57,-39,20
2020-03-25,54.86,-40,20
2020-03-26,62.74,-40,20
2020-03-27,69.99,-40,20
2020-03-28,42.23,-32,20
2020-03-29,36.54,-35,15
2020-03-30,55.1,-45,20
2020-03-31,56.45,-47,21
2020-04-01,54.84,-47,22
2020-04-02,56.62,-47,23
2020-04-03,59.07,-46,26
2020-04-04,58.61,-31,16
2020-04-05,52.6,-34,12
2020-04-06,62.48,-45,21
2020-04-07,64.29,-47,21
2020-04-08,62.87,-47,22
2020-04-09,62.05,-48,24
2020-04-10,76.88,-53,24
2020-04-11,70.84,-31,14
2020-04-12,33.11,-47,NA
2020-04-13,61.89,-44,22
2020-04-14,67.57,-45,23
2020-04-15,70.82,-44,22
2020-04-16,72.09,-45,22
2020-04-17,85.88,-45,22
2020-04-18,83.98,-28,12
2020-04-19,71.5,-30,9
2020-04-20,75.53,-43,19
2020-04-21,77.79,-44,20
2020-04-22,85.23,-44,18
2020-04-23,83.34,-44,20
2020-04-24,91.22,-43,20
2020-04-25,92.82,-23,10
2020-04-26,75.28,-26,7
2020-04-27,90.86,-41,16
2020-04-28,81.2,-44,15
2020-04-29,92.31,-43,18
2020-04-30,102.18,-43,17
2020-05-01,116.97,-42,17
2020-05-02,104.76,-25,8
2020-05-03,90.02,-25,5
2020-05-04,103.14,-40,15
2020-05-05,92.08,-41,17
2020-05-06,101.09,-41,16
2020-05-07,106.62,-41,17
2020-05-08,123.87,-43,17
2020-05-09,104.58,-22,11
2020-05-10,80.94,-22,6
2020-05-11,NA,-40,16
2020-05-12,NA,-40,16
2020-05-13,96.9,-40,18
2020-05-14,119.76,-40,16
2020-05-15,141.17,-42,14
2020-05-16,109.98,-22,11
