date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,151.66,2,NA
2020-02-16,139.04,4,NA
2020-02-17,123.1,-14,NA
2020-02-18,110.91,1,0
2020-02-19,113.76,4,0
2020-02-20,117.6,3,0
2020-02-21,163.05,4,-1
2020-02-22,159.16,8,NA
2020-02-23,134.77,0,NA
2020-02-24,104.36,2,1
2020-02-25,114.66,2,1
2020-02-26,105.6,2,1
2020-02-27,114.47,-13,6
2020-02-28,156.02,0,1
2020-02-29,150.9,6,NA
2020-03-01,140.23,6,NA
2020-03-02,113.99,5,0
2020-03-03,109.49,5,0
2020-03-04,119.64,5,-1
2020-03-05,128.42,4,-1
2020-03-06,165.28,-1,0
2020-03-07,161.43,7,NA
2020-03-08,140.46,8,NA
2020-03-09,107.12,4,-2
2020-03-10,118.6,3,0
2020-03-11,130.12,4,-1
2020-03-12,114.66,5,-1
2020-03-13,129.22,0,1
2020-03-14,119.07,3,NA
2020-03-15,102.18,-8,NA
2020-03-16,86.67,-9,5
2020-03-17,99.1,-10,6
2020-03-18,99.43,-13,NA
2020-03-19,97.68,-15,NA
2020-03-20,104.03,-23,NA
2020-03-21,79.46,-29,NA
2020-03-22,68.12,-29,NA
2020-03-23,78.08,-35,NA
2020-03-24,68.36,-44,NA
2020-03-25,74.15,-44,NA
2020-03-26,72.15,-45,NA
2020-03-27,67.93,-48,NA
2020-03-28,56.55,-43,NA
2020-03-29,48.43,-45,NA
2020-03-30,72.72,-46,NA
2020-03-31,73.72,-44,NA
2020-04-01,65.75,-47,NA
2020-04-02,71.92,-44,NA
2020-04-03,84.44,-46,NA
2020-04-04,81.21,-39,NA
2020-04-05,52.89,-42,NA
2020-04-06,70.4,-42,NA
2020-04-07,68.64,-43,NA
2020-04-08,77.13,-44,NA
2020-04-09,76.99,-45,NA
2020-04-10,84.87,-55,NA
2020-04-11,75.57,-39,NA
2020-04-12,49.15,-52,NA
2020-04-13,72.58,-45,NA
2020-04-14,84.25,-42,NA
2020-04-15,79.65,-42,NA
2020-04-16,90.46,-41,NA
2020-04-17,87.19,-46,NA
2020-04-18,81.88,-38,NA
2020-04-19,70.92,-41,NA
2020-04-20,96.11,-38,NA
2020-04-21,89.56,-41,NA
2020-04-22,91.13,-41,NA
2020-04-23,92.17,-42,NA
2020-04-24,99.34,-43,NA
2020-04-25,91.32,-34,NA
2020-04-26,61.2,-41,NA
2020-04-27,94.54,-38,NA
2020-04-28,90.23,-38,NA
2020-04-29,93.74,-39,NA
2020-04-30,100.05,-38,NA
2020-05-01,117.17,-40,NA
2020-05-02,109.54,-31,NA
2020-05-03,102.28,-32,NA
2020-05-04,105.83,-31,NA
2020-05-05,97.82,-32,NA
2020-05-06,116.6,-36,NA
2020-05-07,112.43,-35,NA
2020-05-08,139.99,-36,NA
2020-05-09,128.37,-28,NA
2020-05-10,108.59,-24,NA
2020-05-11,NA,-30,NA
2020-05-12,NA,-28,NA
2020-05-13,127.66,-30,NA
2020-05-14,125.09,-31,NA
2020-05-15,136.24,-30,NA
2020-05-16,157.64,-22,NA
2020-05-17,107.83,-25,NA
2020-05-18,118.17,-22,NA
2020-05-19,150.66,-24,NA
2020-05-20,165.75,-27,NA
2020-05-21,181.26,-25,NA
2020-05-22,201.19,-32,NA
2020-05-23,171.3,-24,NA
2020-05-24,139.23,-32,NA
2020-05-25,159.06,-72,NA
2020-05-26,159.54,-20,NA
2020-05-27,159.2,-22,NA
2020-05-28,170.45,-21,NA
2020-05-29,172.58,-25,NA
2020-05-30,157.73,-16,NA
2020-05-31,141.6,-14,NA
2020-06-01,148.58,-17,NA
2020-06-02,141.98,-19,NA
2020-06-03,154.22,-20,NA
2020-06-04,168.88,-19,NA
2020-06-05,204.51,-23,NA
2020-06-06,189.99,-18,NA
2020-06-07,169.4,-15,NA
2020-06-08,171.11,-18,NA
2020-06-09,161.05,-17,NA
2020-06-10,165.04,-16,NA
2020-06-11,173.86,-18,NA
2020-06-12,202.61,-23,NA
2020-06-13,192.03,-14,NA
2020-06-14,182.16,-15,NA
2020-06-15,153.61,-19,NA
2020-06-16,157.26,-16,NA
2020-06-17,161.48,-21,NA
2020-06-18,182.83,-19,NA
2020-06-19,240.28,-22,NA
2020-06-20,207.97,-8,NA
2020-06-21,163.71,-13,NA
2020-06-22,171.68,-20,NA
2020-06-23,154.6,-16,NA
2020-06-24,170.54,-18,3
2020-06-25,181.45,-18,NA
2020-06-26,227.42,-22,NA
2020-06-27,215.13,-5,NA
2020-06-28,191.75,-17,NA
2020-06-29,165.99,-21,NA
2020-06-30,171.11,-22,NA
2020-07-01,184.96,-28,NA
2020-07-02,211.24,-35,NA
2020-07-03,228.51,-60,NA
2020-07-04,176.71,-39,NA
2020-07-05,212.43,-20,NA
2020-07-06,176,-26,NA
2020-07-07,153.13,-21,NA
2020-07-08,176.8,-20,NA
2020-07-09,192.84,-20,NA
2020-07-10,237.76,-25,NA
2020-07-11,231.69,-9,NA
2020-07-12,195.87,-15,NA
2020-07-13,174.38,-19,NA
2020-07-14,177.8,-18,NA
2020-07-15,175.9,-20,NA
2020-07-16,193.26,-21,NA
2020-07-17,224.43,-23,NA
2020-07-18,236.34,-7,NA
2020-07-19,203.32,-15,NA
2020-07-20,167.46,-20,NA
2020-07-21,163.24,-18,NA
2020-07-22,178.23,-18,NA
2020-07-23,178.89,-20,NA
2020-07-24,233.35,-23,NA
2020-07-25,219.78,3,NA
2020-07-26,203.89,-14,NA
2020-07-27,158.06,-21,NA
2020-07-28,157.73,-20,NA
2020-07-29,164.47,-22,NA
2020-07-30,187.52,-21,NA
2020-07-31,224.43,-23,NA
2020-08-01,189.75,-8,NA
2020-08-02,181.88,-16,NA
2020-08-03,172.15,-21,NA
2020-08-04,149.81,-18,NA
2020-08-05,160.91,-19,NA
2020-08-06,192.17,-20,NA
2020-08-07,223.48,-23,NA
2020-08-08,209.2,-2,NA
2020-08-09,193.98,-15,NA
2020-08-10,161.29,-21,NA
2020-08-11,163.71,-20,NA
2020-08-12,181.07,-22,NA
2020-08-13,199.48,-22,NA
2020-08-14,235.58,-23,NA
2020-08-15,219.83,-7,NA
2020-08-16,185.39,-15,NA
2020-09-11,205.69,-21,NA
2020-09-12,205.08,-3,NA
2020-09-13,167.22,-20,NA
2020-09-14,147.82,-16,NA
2020-09-15,145.4,-15,0
2020-09-16,148.39,-18,-2
2020-09-17,161.15,-20,NA
2020-09-18,205.03,-21,NA
2020-09-19,208.06,-1,NA
2020-09-20,166.27,-13,NA
2020-09-21,139.9,-16,NA
2020-09-22,145.92,-16,1
2020-09-23,138.24,-14,2
2020-09-24,147.91,-16,3
2020-09-25,206.93,-13,1
2020-09-26,201.38,8,NA
2020-09-27,155.17,-10,NA
2020-09-28,130.93,-11,4
2020-09-29,129.41,-14,2
2020-09-30,137.33,-15,2
2020-10-01,153.51,-14,1
2020-10-02,187.43,-15,0
2020-10-03,189.99,-2,NA
2020-10-04,144.45,-13,NA
2020-10-05,141.56,-17,3
2020-10-06,146.87,-13,-1
2020-10-07,128.8,-16,1
2020-10-08,142.41,-15,1
2020-10-09,191.46,-16,0
2020-10-10,218.6,4,NA
2020-10-11,169.02,-11,NA
2020-10-12,142.27,-20,4
2020-10-13,137.76,-15,3
2020-10-14,139.37,-17,2
2020-10-15,140.09,-14,4
2020-10-16,201.38,-18,2
2020-10-17,194.35,-1,NA
2020-10-18,157.69,-11,NA
2020-10-19,127.8,-15,5
2020-10-20,133.11,-13,3
2020-10-21,144.45,-15,3
2020-10-22,152.8,-14,3
2020-10-23,188,-14,4
2020-10-24,217.84,3,NA
2020-10-25,157.12,-14,NA
2020-10-26,119.73,-12,4
2020-10-27,128.23,-12,2
2020-10-28,129.6,-13,3
2020-10-29,130.83,-14,4
2020-10-30,180.69,-17,3
2020-10-31,149.67,-8,NA
2020-11-01,121.3,-19,NA
2020-11-02,113.71,-15,5
2020-11-03,113.05,-15,1
