date,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,153.05,-2,1
2020-02-16,131.59,2,-2
2020-02-17,126.56,-31,7
2020-02-18,103.53,-12,5
2020-02-19,116.5,-10,2
2020-02-20,122.13,-7,1
2020-02-21,141.57,-10,3
2020-02-22,144.11,1,-1
2020-02-23,122.11,5,-2
2020-02-24,106.03,4,-1
2020-02-25,103.82,2,0
2020-02-26,105.08,2,0
2020-02-27,103.61,0,2
2020-02-28,137.98,1,0
2020-02-29,147.87,2,-1
2020-03-01,121.38,5,-2
2020-03-02,101.2,4,0
2020-03-03,111.72,3,-2
2020-03-04,106.64,2,0
2020-03-05,115.91,3,-1
2020-03-06,132.74,1,0
2020-03-07,143.35,2,-1
2020-03-08,129.55,5,-2
2020-03-09,111.34,1,0
2020-03-10,106.3,0,0
2020-03-11,109.33,2,0
2020-03-12,102.85,1,0
2020-03-13,112.97,-4,4
2020-03-14,120.69,1,2
2020-03-15,96.6,0,2
2020-03-16,85.67,-16,7
2020-03-17,72.8,-24,11
2020-03-18,82.15,-28,12
2020-03-19,69.87,-32,16
2020-03-20,78.37,-36,17
2020-03-21,91.2,-24,10
2020-03-22,72.14,-27,8
2020-03-23,61.4,-38,16
2020-03-24,60.7,-44,19
2020-03-25,61.49,-41,19
2020-03-26,67.24,-42,18
2020-03-27,76.2,-43,20
2020-03-28,77.23,-34,12
2020-03-29,49.33,-36,12
2020-03-30,56.02,-45,19
2020-03-31,65.44,-45,18
2020-04-01,65.46,-45,19
2020-04-02,52.13,-48,23
2020-04-03,57.06,-49,25
2020-04-04,64.86,-36,14
2020-04-05,53.72,-38,11
2020-04-06,63.42,-46,18
2020-04-07,64.33,-48,19
2020-04-08,64.42,-47,20
2020-04-09,55.43,-50,23
2020-04-10,70.31,-51,24
2020-04-11,74.87,-36,13
2020-04-12,50.58,-48,11
2020-04-13,53.97,-48,21
2020-04-14,72.58,-46,18
2020-04-15,74.43,-46,19
2020-04-16,73.29,-44,19
2020-04-17,83.13,-46,21
2020-04-18,72.26,-35,15
2020-04-19,85.39,-32,8
2020-04-20,78.85,-48,18
2020-04-21,73.77,-46,19
2020-04-22,78.18,-45,20
2020-04-23,87.6,-44,18
2020-04-24,90.86,-46,21
2020-04-25,102.58,-31,11
2020-04-26,69.44,-31,9
2020-04-27,68.64,-45,20
2020-04-28,80.56,-44,12
2020-04-29,89.83,-43,17
2020-04-30,80.25,-44,19
2020-05-01,89.07,-45,21
2020-05-02,111.93,-27,8
2020-05-03,97.36,-26,6
2020-05-04,90.81,-41,15
2020-05-05,95.78,-41,15
2020-05-06,98.01,-40,16
2020-05-07,99.56,-40,16
2020-05-08,118.09,-41,17
2020-05-09,99.26,-29,12
2020-05-10,92.14,-24,5
